,items
0,SI Fixim 100mg Tablet DT
1,SI Fixim 200mg Tablet DT
2,SI Fixim 400mg Tablet DT
3,SI Fixim 50mg Syrup
4,SI Fixim 50mg Tablet DT
5,SI Fixim CV 200 mg/125 mg Tablet
6,SI Fixim O 200mg/200mg Tablet
7,SI Fixim XL 100 mg/500 mg Tablet
8,SI Fixim XL 200 mg/500 mg Tablet
9,SI Fixim XL Kid Tablet
10,SI Fixim XL Kid Tablet
11,SIGNOFLAM 200 MG TABLET SR
12,SII HibPro Vaccine
13,SII Q-VAC Vaccine
14,SII TD-Vac Vaccine
15,SII TD-Vac Vaccine
16,SII-Onco-BCG Injection
17,SILKEE PINK SYRUP
18,SIN 10mg Tablet
19,SIN 20mg Tablet
20,SINAREST SUSPENSION
21,SITELODIP 2.5MG TABLET
22,SITROMIDE 250MG TABLET
23,SIVYLAR 140 MG CAPSULE
24,Si-On Syrup
25,Si-On Syrup
26,Siacef 1gm Injection
27,Siacef 1gm Injection
28,Siaclo 100mg Tablet
29,Siadex-P Oral Suspension
30,Siadex-P Oral Suspension
31,Siadine Ointment
32,Siaflox-OZ 200mg/500mg Tablet
33,Siagene Oral Gel
34,Sial 200mg Tablet
35,Sialar-FC Cream
36,Sialar-FC Cream
37,Sialid 100mg Tablet
38,Siamol-DC 20mg/500mg Tablet
39,Siamox 250mg Tablet
40,Sianor Eye Drop
41,Sianorm 5mg Injection
42,Sianorm 5mg Injection
43,Siaomez 20mg Capsule
44,Siaomez-D 10mg/20mg Capsule
45,Siapain Relief 50mg/500mg Tablet
46,Siarab 20mg Tablet
47,Siarab-D 10mg/20mg Tablet
48,Siate 0.2% Mouth Wash
49,Siatram 50mg Injection
50,Siazolam 0.25mg Tablet
51,Siazolam 0.5mg Tablet
52,Sibagef Tablet
53,Sibagem 200mg Injection
54,Sibanda 40 Tablet
55,Sibastin M 10mg/10mg Tablet
56,Sibastin Tablet
57,Sibatax 100mg Injection
58,Sibatax 260mg Injection
59,Sibatax 30mg Injection
60,Sibatere 20 Injection Combipack
61,Sibatere 80 Injection Combipack
62,Sibazol 4mg Injection
63,Sibbidex OR 120mg Capsule
64,Sibdom 10mg Tablet DT
65,Sibelium 10mg Tablet
66,Sibelium 5mg Tablet
67,Sibergel Forte Oral Suspension
68,Sibet 300mg Tablet
69,Sibet 400mg Tablet
70,Sibet P 300 mg/500 mg Capsule
71,Sibixime LB 200mg Tablet
72,Siblocef 1000mg Injection
73,Siblocef SB 1000mg/500mg Injection
74,Sibocure 400 Tablet
75,Sibofix 200 Tablet
76,Sibofix 400 Tablet
77,Sibofix 550 Tablet
78,Sibofix Suspension
79,Sibolone Tablet
80,Sibs 5mg/2.5mg Tablet
81,Sicam 20mg Tablet DT
82,Sicam Injection
83,Sicastat 1% Solution
84,Sicef 500mg Injection
85,Sichlor 250mg Tablet
86,Sichlor 250mg Tablet
87,Sicip 500mg Tablet
88,Sick 200mg Tablet SR
89,Sick 200mg Tablet SR
90,Sick MR 100mg/325mg/250mg Tablet
91,Sick P 100mg/325mg Tablet
92,Sick SP 100mg/325mg/15mg Tablet
93,Sick T 100mg/4mg Tablet
94,Sick T 100mg/8mg Tablet
95,Siclo 200mg Tablet SR
96,Siclo MR 100mg/325mg/250mg Tablet
97,Siclo Plus 100mg/325mg Tablet
98,Siclo Plus Oral Suspension Strawberry
99,Siclo Sera 100mg/325mg/10mg Tablet
100,Siclo-P 100mg/500mg Tablet
101,Sicloflam 100mg/325mg/15mg Tablet
102,Siclomox P 125mg/125mg Tablet DT
103,Siclomox-S Capsule
104,Siclozone CN Cream
105,Sicoff-AM Expectorant
106,Sicoff-AM Expectorant
107,Sicoril Oral Suspension
108,Sicreptin 1.25mg Tablet
109,Sicriptin 1.25 Tablet
110,Sicriptin 10mg Tablet
111,Sicriptin 5mg Tablet
112,Sicriptin Tablet
113,Sicriptin Usp 2.5mg Tablet
