,items
0,SK Dox Tablet
1,SK-D3 Nano Shot
2,SKELACT 50 MG TABLET
3,SKZ 2% Cream
4,Skab 1% Soap
5,Skabiz 5% Cream
6,Skabkill Lotion
7,Skabkill Ointment
8,Skabkill Ointment
9,Skacip 250mg Tablet
10,Skacip 250mg Tablet
11,Skacip 500mg Tablet
12,Skacip TZ 500mg/600mg Tablet
13,Skacip TZ 500mg/600mg Tablet
14,Skafim 200mg Tablet
15,Skafim 200mg Tablet
16,Skalia-KZ Shampoo
17,Skalia-KZ Shampoo
18,Skalop ND 200mg/4mg Capsule
19,Skane 150mg Tablet
20,Skanzole 150mg Tablet
21,Skarpan 40mg Tablet
22,Skarpan DSR 30mg/40mg Capsule
23,Skaxim 500mg Tablet
24,Skeen Cream
25,Skeen Plus Cream
26,Skeen Soap
27,Skelebenz 15 Capsule ER
28,Skelebenz 30 Capsule ER
29,Skelt MR 250mg/50mg/500mg Tablet
30,Skeltab-D 50mg/400mg Tablet
31,Skf O Suspension
32,Skf Suspension
33,Skiazone 1000 Injection
34,Skiazone 250mg Injection
35,Skiazone 500mg Injection
36,Skicast-L Tablet
37,Skicef 1500mg Injection
38,Skidox-LB Capsule
39,Skifi 100mg Dry Syrup
40,Skifi 100mg Tablet DT
41,Skifi 200mg Tablet
42,Skifi 200mg Tablet MD
43,Skifi 50mg Dry Syrup
44,Skifi 50mg Dry Syrup
45,Skifi 50mg Tablet DT
46,Skifi AZ 200mg/500mg Tablet
47,Skifi AZ 200mg/500mg Tablet
48,Skifi AZ Tablet
49,Skifi CV Tablet
50,Skilor 5mg Tablet
51,Skin Fair Cream
52,Skin Met Cream
53,Skin Rite Cream
54,Skin Serch Cream
55,Skin Serch Cream
56,Skin Shine Cream
57,Skinate 60mg Injection
58,Skinate 60mg Injection
59,Skinbrite Cream
60,Skincet M 5mg/10mg Tablet
61,Skindid-B Cream
62,Skinfit Cream
63,Skinflu 150mg Tablet
64,Skinflu 150mg Tablet
65,Skinfyne 250mg Tablet
66,Skingud Cream
67,Skinheal Forte 50mg/250mg Tablet
68,Skinlife Cream
69,Skinlife Cream
70,Skinlite Cream
71,Skinlite Cream
72,Skinlite Ever Cream
73,Skinlong Cream
74,Skinmine Cream
75,Skinn-C Soap
76,Skinsect Gbhc Soap
77,Skinserch-GM Cream
78,Skinshine Cream
79,Skinshine Cream
80,Skinshine Ointment
81,Skinstar Cream
82,Skinther 150mg Injection
83,Skinther L 80mg/480mg Tablet
84,Skinther L 80mg/480mg Tablet
85,Skintin 12mg Tablet
86,Skintin 6mg Tablet
87,Skintin 6mg Tablet
88,Skintop Cream
89,Skinurge Cream
90,Skinzol 1% Gel
91,Skinzol 100mg Capsule
92,Skinzol 100mg Capsule
93,Skinzol 200mg Capsule
94,Skishine Cream
95,Skitofine 250 Tablet
96,Skitofine 500 Tablet
97,Skitofine 500 Tablet
98,Skitofine Cream
99,Skizit 250mg Tablet
100,Skizit 250mg Tablet
101,Skizoril 100mg Tablet
102,Skizoril 200 Tablet
103,Skizoril 25mg Tablet
104,Skizoril 50mg Tablet
105,Skizoril MD 100 Tablet
106,Skizoril MD 200 Tablet
107,Skizoril MD 50 Tablet
108,Skizotus 100mg Tablet
109,Skizotus 200mg Tablet
110,Skizotus 300mg Tablet
111,Skizotus 50mg Tablet
112,Skizotus OD Tablet
113,Skodex Syrup
114,Skodil 5mg Tablet
115,Skodof OZ 200mg/500mg Tablet
116,Skom 20mg Capsule
117,Skom 20mg Capsule
118,Skom D 10mg/20mg Capsule
119,Skom D 10mg/20mg Capsule
120,Skomyce 250mg Tablet
121,Skomyce 500mg Tablet
122,Skoomox CV 500mg/125mg Tablet
123,Skoradic  Cream
124,Skoragaba 750mcg/75mg Tablet
125,Skoramont 5mg/10mg Tablet
126,Skoratrex 250mg Tablet
127,Skycef 1000mg Injection
128,Skycef 250mg Injection
129,Skycef S 1000mg/500mg Injection
130,Skycef SB 1000 mg/1000 mg Injection
131,Skycef SB 1000 mg/1000 mg Injection
132,Skycef SB 1000 mg/500 mg Powder for Injection
133,Skycef SB 1000 mg/500 mg Powder for Injection
134,Skycef SB 2000 mg/1000 mg Injection
135,Skycef SB 500 mg/500 mg Injection
136,Skycett 5mg Tablet
137,Skycett Cold Tablet
138,Skycett M Kid 2.5mg/5mg Tablet
139,Skycett M Plus 5mg/10mg Tablet
140,Skydec 25mg Injection
141,Skydec 25mg Injection
142,Skydec 50mg Injection
143,Skydec 50mg Injection
144,Skylide 100mg/500mg Tablet
145,Skylide DS Oral Suspension
146,Skylide Oral Suspension
147,Skylon Antiseptic Solution
148,Skylor 10 Tablet
149,Skymol 100mg/500mg Tablet
150,Skymox-D Capsule
151,Skynim-P Tablet
152,Skynim-P Tablet
153,Skypen D 10mg/20mg Tablet
154,Skypen D 10mg/20mg Tablet
155,Skyrex A Syrup
156,Skyrex A Syrup
157,Skyrex Syrup
158,Skyrox Kid 75mg Tablet
159,Skyryl 5 mg/25 mg/500 mg Tablet
160,Skyryl M Tablet
161,Skyryl Plus Tablet
162,Skyryl Plus Tablet
163,Skyto 200mcg Tablet
