,items
0,SWELINEX PLUS GEL
1,SWIFTIN 10 MG TABLET
2,SWIFTIN 10 MG TABLET
3,SWIFTIN D  TABLET 10 MG/30 MG
4,SWITHRO 200MG/5ML REDIMIX
5,SWITHRO 200MG/5ML REDIMIX
6,Swab OZ 200mg/500mg Tablet
7,Swab PD 10mg/40mg Tablet
8,Swabliv 5mg Tablet
9,Swabnec 100mg/500mg Tablet
10,Swabnec 100mg/500mg Tablet
11,Swabquin 300mg Tablet
12,Swabquin 300mg Tablet
13,Swabxim 200mg Tablet
14,Swabxim 200mg Tablet
15,Swabxim DS Syrup
16,Swabxim DS Syrup
17,Swactum S 1000mg/1000mg Injection
18,Swactum S 2000mg/1000mg Injection
19,Swactum S 500mg/500mg Injection
20,Swactum-S 1.5gm Injection
21,Swafizz 10mg Tablet
22,Swafizz D 50mg/10mg Tablet
23,Swaftozyme Tablet
24,Swagpan 30mg/40mg Capsule SR
25,Swagpan 30mg/40mg Capsule SR
26,Swalox 200mg Tablet
27,Swalox OZ 200mg/500mg Tablet
28,Swamiclav 625 Tablet
29,Swamiclav BID Dry Syrup
30,Swapanz 40mg Tablet
31,Swapenem 1000mg Injection
32,Swapod 200mg Tablet
33,Swapod 50mg Dry Syrup
34,Swapod 50mg Dry Syrup
35,Swapracet 10mg/30mg Tablet
36,Swapralid P 100mg/500mg Tablet
37,Swaxime 100mg Tablet
38,Sweazi 250mg Tablet
39,Swecef 250mg Tablet
40,Swecef 500mg Tablet
41,Swecef 750mg Injection
42,Swedeclox Capsule
43,Swedeclox Capsule
44,Swedeclox Kid Tablet
45,Sweep Dp 100mg/10mg Tablet
46,Swelheal D 48mg/90mg/100mg/50mg Tablet
47,Swelin-D 50mg/10mg Tablet
48,Swelinex Gel
49,Swelinex-DT Tablet
50,Swellno 40mg Injection
51,Swemeta-P Nasal Drops
52,Swemeta-P Nasal Drops
53,Swemox 250mg Capsule
54,Swemox 250mg Capsule
55,Swemox 500mg Capsule
56,Swemox CL 1000mg/200mg Injection
57,Swemox CL 625 Tablet
58,Swemox CL Dry Syrup
59,Swemox-D Capsule
60,Swi FE 20mg Injection
61,Swi FE 20mg Injection
62,Swicexin 500mg Capsule
63,Swich 100 DT Tablet
64,Swich 100 Dry Syrup
65,Swich 200 Tablet
66,Swich 50 Dry Syrup
67,Swich 50mg Tablet DT
68,Swich CV 100 Dry Syrup
69,Swich CV 325 Tablet
70,Swich CV 50 Dry Syrup
71,Swich Drops
72,Swich O Tablet
73,Swich Plus 200mg/500mg Tablet
74,Swich XP 1000mg Injection
75,Swich-XP 125 Injection
76,Swich-XP 250 Injection
77,Swich-XP 500 Injection
78,Swicof Syrup
79,Swidex  Syrup
80,Swidex  Syrup
81,Swidex Suspension
82,Swidom O 10 mg/20 mg Capsule
83,Swidox 100mg Capsule
84,Swidril Syrup
85,Swidril Syrup
86,Swidril Syrup
87,Swiflox 500mg Tablet
88,Swiflox Drop
89,Swiflox FC Cream
90,Swiflox TZ Tablet
91,Swift 500mg Capsule
92,Swift Gel
93,Swift MR Tablet
94,Swiftflo-D Tablet MR
95,Swiftin 5mg Tablet
96,Swiftolac Syrup
97,Swiftor 10mg Tablet
98,Swiftor 20mg Tablet
99,Swiftor 20mg Tablet
100,Swilac Oral Solution
101,Swilactin 4mg Tablet
102,Swilactin Syrup
103,Swilax 5mg Tablet
104,Swiloric 100mg Tablet
105,Swimet 2 mg/500 mg Tablet
106,Swimox 125mg Syrup
107,Swimox 125mg Tablet
108,Swimox 125mg Tablet
109,Swimpan 40mg Tablet
110,Swimrab LS 75mg/20mg Capsule SR
111,Swipol 1.5gm Injection
112,Swiquin 300mg Tablet
113,Swirlz Solution
114,Swirox 150mg Tablet
115,Swiscab Lotion
116,Swish Mouth Wash
117,Swisnac SP 100mg/325mg/15mg Tablet
118,Swispas 20 mg/500 mg Tablet
119,Swispas M 10 mg/250 mg Tablet
120,Swiss Nitrocin 5mg Injection
121,Swissdol 100mg Injection
122,Swissdol P 325mg/37.5mg Tablet
123,Swissdol P 325mg/37.5mg Tablet
124,Swissdox 300mg Tablet
125,Swissdox 300mg Tablet
126,Swissgest 200mg Injection
127,Swissgest 200mg Soft Gelatin Capsule
128,Swisspan 40mg Tablet
129,Swisspan D SR Capsule
130,Swisspan D Tablet
131,Swisspan D Tablet
132,Swistaz 4000mg/500mg Injection
133,Swistaz 4000mg/500mg Injection
134,Switglim M 0.5mg/500mg Tablet
135,Switglim MP 1mg/500mg/15mg Tablet
136,Switglim MP 2 Tablet
137,Switglim MP 2mg/500mg/7.5mg Tablet
138,Switglim MV 1mg/500mg/0.2mg Tablet
139,Switglim MV 1mg/500mg/0.3mg Tablet
140,Switglim MV 2/0.3 Tablet ER
141,Switglim MV 2mg/500mg/0.2mg Tablet ER
142,Switglim-M 1/1000 Tablet PR
143,Switglim-M 1/500 Tablet
144,Switglim-M 1/500 Tablet
145,Switglim-M 2/1000 Tablet PR
146,Switglim-M 2/500 Tablet PR
147,Switglim-M 2/500 Tablet PR
148,Switglim-M 3mg/1000mg Tablet
149,Switglim-M 3mg/500mg Tablet
150,Switglim-M 4mg/1000mg Tablet
151,Switglim-M 4mg/500mg Tablet
152,Swithro 100mg/5ml Redimix
153,Swithro 500mg Tablet
154,Swithromb Ointment
155,Swizime 100mg Tablet DT
156,Swizime 200mg Tablet
157,Swizime Kid 125mg Tablet
158,Swizip 1000mg/125mg Injection
159,Swizip 4000mg/500mg Injection
160,Swizpod 200mg Tablet DT
161,Swonam 1000mg Injection
162,Sworm 400mg Tablet
163,Sworm 400mg Tablet
164,Sworm 400mg Tablet
