,items
0,SYL FORTE 500 MG TABLET
1,SYMBAL 1500 MG TABLET
2,SYMBAL 500 MG TABLET
3,SYMBAL M 40 MG TABLET
4,SYMBAL M 60 MG TABLET
5,SYMBIOTIK XL 1000 MG/200 MG INJECTION
6,SYMBIVA 100 MCG RHEOCAP
7,SYMOXYL KID 125 MG TABLET
8,SYMOXYL ORAL SUSPENSION
9,SYNASMA SYRUP
10,SYNCEFIX 250 MG/NA CAPSULE
11,SYNTHETIC OXYTOCIN INJECTION
12,SYNTHOTIL 5 IU INJECTION
13,SYSCAN 0.3% EYE DROP
14,SYSCAN CT 150 MG/1000 MG KIT
15,SYSTACLOT 125MG INJECTION
16,Sy Fixime 200mg Tablet
17,Syband Suspension
18,Syband Tablet
19,Syband Tablet
20,Sybil  375mg Tablet
21,Sybil  Duo Tablet
22,Sycacin 100mg Injection
23,Sycacin 250mg Injection
24,Sycacin 500mg Injection
25,Sycef 100mg Tablet
26,Sycef 100mg Tablet
27,Sycef 100mg Tablet
28,Sycef 200mg Tablet
29,Sycef 250mg Tablet
30,Sycef 250mg Tablet
31,Sycef 250mg Tablet
32,Sycef 500mg Tablet
33,Sycef Tablet
34,Sycet 10mg Tablet
35,Sychitol 600000IU Injection
36,Sychlor 250mg Capsule
37,Sychlor 500mg Capsule
38,Sychlor 500mg Capsule
39,Sychozine 100mg Tablet
40,Sychozine 50mg Tablet
41,Sycip 250mg Tablet
42,Sycip T 250mg/300mg Tablet
43,Sycip T Forte Tablet
44,Syclav 1000mg/200mg Injection
45,Syclav 500mg/125mg Tablet
46,Syclav Syrup
47,Syclav Syrup
48,Sycline 2.5mg Tablet MD
49,Sycline 5mg Tablet MD
50,Syclof-P Tablet
51,Syclof-SP Tablet
52,Syclof-T 4 Tablet
53,Syclop 100mg Tablet
54,Syclop 25mg Tablet
55,Sycloz 100mg Tablet
56,Sycloz 100mg Tablet
57,Sycloz 25mg Tablet
58,Sycloz 50mg Tablet
59,Syco Forte 50 mg/2 mg/5 mg Tablet
60,Syco Plus 5 mg/2 mg Tablet
61,Sycodep 2 mg/25 mg Tablet
62,Sycodone 1mg Tablet
63,Sycodone 1mg Tablet
64,Sycodone 2mg Tablet
65,Sycodone 3mg Tablet
66,Sycodone Plus 3 mg/2 mg Tablet
67,Sycold DS Oral Suspension
68,Sycomed 10mg Tablet
69,Sycomed ET 0.5mg/10mg Tablet
70,Sycomip 10mg Tablet
71,Sycomip 25mg Tablet
72,Sycomip 50mg Tablet
73,Sycomip 75mg Tablet SR
74,Syconil 25mg Tablet
75,Syconil 50mg Tablet
76,Syconil 75mg Tablet
77,Sycoril 100mg Tablet
78,Sycoril 25mg Tablet
79,Sycoril 25mg Tablet
80,Sycose 10 mg/1 mg Tablet
81,Sycot 2.5mg/2mg Tablet
82,Sycot 5mg/2mg Tablet
83,Sycyp Oral Suspension
84,Sydel M 80mg/500mg Tablet
85,Sydic Injection
86,Sydic Injection
87,Sydic-P Tablet
88,Sydol 100mg Injection
89,Sydol Forte Tablet
90,Sydol P 50mg/325mg Tablet
91,Sydom D 10mg/20mg Tablet
92,Sydox 200mg Tablet
93,Sydrot M 80mg/250mg Tablet
94,Sydrox 125mg Tablet DT
95,Sydrox 125mg Tablet DT
96,Sydrox 250mg Tablet DT
97,Sydrox 500mg Tablet
98,Syfex 250mg Tablet DT
99,Syfix 50mg Tablet
100,Syfix CV 200 mg/125 mg Tablet
101,Syflores 100mg Tablet
102,Syflores 200mg Tablet
103,Syflox 200mg Tablet
104,Syflox 500mg Tablet
105,Syflox TZ 200mg/600mg Tablet
106,Syflox TZ 200mg/600mg Tablet
107,Syform 500mg Tablet
108,Syfun 150mg Tablet
109,Syfur 500mg Tablet
110,Sygest 100mg Injection
111,Sygest 200mg Injection
112,Syhep Syrup
113,Syhep Syrup
114,Syklo-MF Tablet
115,Sykomin 50mg Tablet
116,Sykomin 50mg Tablet
117,Sykomin 75mg Tablet SR
118,Sykuf LS Syrup
119,Sykuf LS Syrup
120,Sykuf-AM Syrup
121,Sykuf-D Syrup
122,Syl 250mg Injection
123,Syl 250mg Tablet
124,Syl Forte 250mg Tablet
125,Syl Plus Tablet
126,Sylate 250 Tablet
127,Sylate 250mg/2ml Injection
128,Sylate 500 Tablet
129,Sylate Injection
130,Sylate T 250 mg/250 mg Tablet
131,Sylate T 500 mg/250 mg Tablet
132,Sylate-M 500 Tablet
133,Sylcoff-D Syrup Sugar Free
134,Sylcoff-X Syrup Sugar Free
135,Sylev A 5mg/75mg Tablet SR
136,Sylev A 5mg/75mg Tablet SR
137,Sylev A 5mg/75mg Tablet SR
138,Sylev Tablet
139,Sylev-M Oral Suspension
140,Sylev-M Tablet
141,Sylev-M Tablet
142,Sylex 500mg Tablet
143,Syliv Syrup
144,Sylkam 0.25mg Tablet
145,Sylkam 0.5mg Tablet
146,Sylkam 1mg 1mg Tablet
147,Sylkam 1mg Tablet
148,Syloliv 140mg Tablet
149,Syloliv Suspension
150,Sylone Cream
151,Sylonex 20mg Capsule
152,Sylonex 30mg Capsule
153,Sylonex 40 Tablet
154,Sylonex 40 Tablet
155,Sylonex 60mg Tablet
156,Sylonine 400mg Tablet
157,Sylor 5mg Tablet
158,Sylox 200 Tablet
159,Sylox 50mg Oral Suspension
160,Sylox-OZ Oral Suspension
161,Sylox-OZ Oral Suspension
162,Sylron 250mg Injection
163,Sylron 250mg Injection
164,Sylron 250mg Tablet
165,Sylron 500mg Tablet
166,Sylron TX 250 mg/250 mg Tablet
167,Sylstep 500mg Tablet
168,Sylstep 500mg Tablet
169,Sylstep TX 250 mg/250 mg Tablet
170,Sylstep TX 250mg/250mg Tablet
171,Sylstep TX 250mg/250mg Tablet
172,Sylster TX 250mg/250mg Tablet
173,Sylster TX 250mg/250mg Tablet
174,Symbal 20 Tablet
175,Symbal 30 Tablet
176,Symbal 40 Tablet
177,Symbal 60 Tablet
178,Symbal M 20mg/500mcg Tablet
179,Symbicort 160mcg/4.5mcg Turbuhaler
180,Symbicort 320mcg/9mcg Turbuhaler
181,Symbicort 80mcg/4.5mcg Turbuhaler
182,Symbiotik Capsule
183,Symbiotik F 250mg/250mg/60Millionspores Tablet
184,Symbiotik P Tablet
185,Symbiotik Tablet
186,Symbiotik Tablet
187,Symbiotik XL 625 Tablet
188,Symbiotik XL Plus 500mg/125mg Tablet
189,Symbiotik XL Suspension
190,Symbiva 100mcg Capsule
191,Symbiva 100mcg Inhaler
192,Symbiva 200 mcg Inhaler
193,Symbiva 200mcg Capsule
194,Symbiva 400mcg Inhaler
195,Symbiva 6 mcg/100 mcg Octacap
196,Symbiva 6 mcg/200 mcg Octacap
