,items
0,TC Forte Tablet
1,TC Lone 40mg Injection
2,TC Plus Tablet
3,TCN Eye Drop
4,TCR 100ml Expectorant
5,TCR D Syrup
6,TCS Ointment
7,TCS Ointment
8,TCV 500mg/125mg Tablet
9,TCV DS Dry Syrup
10,TCV DS Dry Syrup
11,TCV Dry Syrup
12,TCV Injection
13,Tca Gaba 75mg/10mg Tablet
14,Tcef 1000mg Injection
15,Tcef 1000mg Injection
16,Tcef O 50mg Syrup
17,Tcin 500 Tablet
18,Tcin OZ Oral Suspension
19,Tcoglob 1mg Capsule
20,Tcon 150mg Tablet
21,Tcr-B Tablet
22,Tcr-Bro Tablet
23,Tcr-Bro Tablet
24,Tcr-D Tablet
25,Tcris Cream
26,Tcris Cream
27,Tcris Cream
28,Tcris Cream
29,Tct Forte Tablet
30,Tct Forte Tablet
