,items
0,TEC-MF 500mg/250mg Tablet
1,TECARD-A 5MG/50MG TABLET
2,TEF 800mg Tablet
3,TEF 800mg Tablet
4,TELBRIT CT 40MG/12.5MG TABLET
5,TELBRIT H 40MG/12.5MG TABLET
6,TELCROS CT 40MG/12.5MG TABLET
7,TELEACT 25 MG TABLET
8,TELEACT 50 MG TABLET
9,TELEKAST D TABLET
10,TELIPRIL 2.5 MG TABLET
11,TELIPRIL 2.5 MG TABLET
12,TELMITRAX-H 40MG/12.5MG TABLET
13,TELMITRAX-H 40MG/12.5MG TABLET
14,TELMIYUG 10 MG TABLET
15,TELRIDE AM H TABLET
16,TELRIDE AM H TABLET
17,TELSARTAN ATR TABLET
18,TELSARTAN R 2.5MG TABLET
19,TELSARTAN R 5MG TABLET
20,TELSARTAN-H NEW 40MG TABLET
21,TELSAT 40MG TABLET
22,TEMAX 20MG TABLET
23,TEMOREL 20MG CAPSULE
24,TEMOZAM 100 MG CAPSULE
25,TEMOZAM 20 MG CAPSULE
26,TEMOZAM 20 MG CAPSULE
27,TENOLOL 75 MG TABLET
28,TERAM 5MG TABLET
29,TERAPRESS 5 MG TABLET
30,TESS TABLET
31,TESTOFIL 40 MG CAPSULE
32,TETAZ 20MG TABLET
33,TETRALID CREAM
34,TEZCORT 3S OINTMENT
35,TEZCORT 6S OINTMENT
36,Teakol 500mg/0.2mg Tablet
37,Team G Expectorant
38,Team G Expectorant
39,Team G Oral Drops
40,Team G Oral Drops
41,Tear Aid Eye Drop
42,Tear Drops
43,Tear Drops Gel
44,Tear E Eye Drop
45,Tear Safe 0.5% Eye Drop
46,Tearclub Eye Drop
47,Tearclub Gel Eye Drop
48,Tearfilm Eye Drop
49,Tearflo Eye Drop
50,Teargems Eye Drop
51,Teargems Eye Drop
52,Tearguard 0.5% Eye Drop
53,Tearguard Plus Eye Drop
54,Tearlub 0.5% Eye Drop
55,Tearmax Eye Drop
56,Tearmist Eye Drop
57,Tearops Eye Drop
58,Tearpac Eye Drop
59,Tears IT 0.5% Eye Drop
60,Tears IT 0.5% Eye Drop
61,Tears Naturale Forte Ophthalmic Solution
62,Tears Naturale II Lubricant Eye Drops
63,Tears Run Eye Drop
64,Tears Ultra Eye Drop
65,Tearsflow 0.5% Eye Drop
66,Tearsflow 1% Eye Drop
67,Tearsol Eye Drop
68,Tearwell 0.5 Eye Drop
69,Tearwyn Eye Drop
70,Teba 20mg Tablet
71,Teba M 500mg/20mg Tablet
72,Tebact Injection
73,Tebahist 8mg Tablet
74,Tebfin 500mg Tablet
75,Tebif CO2 Cream
76,Tebif Gel
77,Tebif Tablet
78,Tebina 125mg Tablet DT
79,Tebina 500 Tablet
80,Tebina Cream
81,Tebina Tablet
82,Tebisure 250mg Tablet
83,Tebokan Forte Tablet
84,Tebria 20mg Injection
85,Tebrosal Tablet
86,Tecard 25mg Tablet
87,Tecard 50mg Tablet
88,Tecard 50mg Tablet
89,Tecbeta 25mg Tablet
90,Tecbeta 50mg Tablet
91,Tecbeta AM 5mg/50mg Tablet
92,Tecbeta AM 5mg/50mg Tablet
93,Teccef 1000mg Injection
94,Tecdol-R Capsule
95,Tecdol-SP Tablet
96,Tecdol-TP Tablet
97,Tecef 250mg Injection
98,Tecef 500mg Injection
99,Tecef Injection
100,Tecef-S 1gm/0.5gm Injection
101,Tecef-S 250mg/125mg Injection
102,Tecef-S 500mg/250mg Injection
103,Tecef-S 500mg/250mg Injection
104,Tecef-T 1000mg/125mg Injection
105,Tecentriq 1200mg Injection
106,Tecep 100mg Dry Syrup
107,Tecep 200mg Tablet DT
108,Tecep 200mg Tablet DT
109,Tecep CV 200mg/125mg Tablet
110,Tecep CV Oral Suspension
111,Tecfidera 120mg Capsule
112,Tecfo-S 1.5gm Injection
113,Techbactam 1000mg/500mg Injection
114,Techbactam 1000mg/500mg Injection
115,Techdec 50mg Injection
116,Techdec 50mg Injection
117,Techflox 200mg Tablet
118,Techflox MZ Syrup
119,Techflox OZ 200mg/500mg Tablet
120,Techgest 200mg Tablet
121,Techgest 300mg Tablet
122,Techlor 40 mg/12.5 mg Tablet
123,Techlor 80 Tablet
124,Techrax Tablet
125,Techtran Suspension
126,Techtran Suspension
127,Teclee 0.03% Ointment
128,Tecline 50mg Injection
129,Teclobet Cream
130,Teclobet Cream
131,Teclobet Cream
132,Teclomol-Z Tablet
133,Teclozep 0.5mg Tablet
134,Teclozep 0.5mg Tablet
135,Teclozep Forte Tablet
136,Teclozep Forte Tablet
137,Tecnum 1000mg Injection
138,Teco-P 200mg Injection
139,Teco-P 200mg Injection
140,Teco-P 400mg Injection
141,Tecob 1500mcg Injection
142,Tecocef 500 Tablet
143,Tecocide 200mg Injection
144,Tecocide 200mg Injection
145,Tecocide 400mg Injection
146,Tecol 10mg Tablet
147,Tecold Oral Suspension
148,Tecom 200mg Injection
149,Tecon 400mg Injection
150,Teconin 200mg Injection
151,Teconin 400mg Injection
152,Teconip 200 Injection
153,Teconip 400 Injection
154,Teconyx 200 Injection
155,Teconyx 400 Injection
156,Tecop 400mg Injection
157,Tecoplan 200mg Injection
158,Tecoplan 400mg Injection
159,Tecoplus 400mg Injection
160,Tecoren 200mg Injection
161,Tecoril Syrup
162,Tecoril Syrup
163,Tecort 40mg Injection
164,Tecort 40mg Injection
165,Tecotiv 400mg Injection
166,Tecotiv 400mg Injection
167,Tecotop 200mg Injection
168,Tecotop 200mg Injection
169,Tecotop 400mg Injection
170,Tecovel M 5mg/10mg Tablet
171,Tecpan 40mg Injection
172,Tecpan 40mg Tablet
173,Tecpan-D Tablet
174,Tecpan-DSR Capsule
175,Tecpara 500mg Tablet
176,Tecpara AC Tablet
177,Tecpara D Tablet
178,Tecpara D Tablet
179,Tecri 20mg Injection
180,Tecri 20mg Tablet
181,Tecri-D 10mg/20mg Tablet
182,Tecri-DSR 30mg/20mg Capsule
183,Tecrom 1000mg Injection
184,Tecrosis F Ointment
185,Tector 200mcg Tablet
186,Tecum 0.03% Ointment
187,Tecum 0.1% Lotion
188,Tecum 0.1% Ointment
189,Tecum 0.1% Ointment
190,Tecvas 20mg Tablet
191,Tecvert 16mg Tablet
192,Tecvert 8mg Tablet
193,Tecxone Forte 1000mg/500mg Injection
194,Teczal 5mg Tablet
195,Teczine 10 Tablet
196,Teczine AM Capsule
197,Teczine CP Tablet
198,Teczine M Kid Tablet
199,Teczine M Syrup
200,Teczine M Tablet
201,Teczine Syrup
202,Teczine Tablet
203,Teczo DM 10mg/40mg Tablet
204,Teczo DM 10mg/40mg Tablet
205,Tedasun-D Tablet
206,Tederm Forte 0.1% Ointment
207,Tedin 120mg Tablet
208,Tedin 30mg Syrup
209,Tedoxim 100mg Tablet
210,Tedoxim 100mg Tablet
211,Tedoxim 200mg Tablet
212,Tedral 24mg/130mg Tablet
213,Tedral SA 48 mg/198 mg Tablet
214,Tedykoff Cough Syrup
215,Tedykoff LX 1.5mg/5ml/1.5mg/5ml Linctus
216,Tedykoff Syrup
217,Tee 50 Eye Drop
218,Tee 75mg Injection
219,Teecob P 750mcg/75mg Capsule
220,Teedep 10mg Tablet
221,Teefa L 80mg/480mg Tablet
222,Teefa L Dry Syrup
223,Teeflox Plus 500mg/600mg Tablet
224,Teemol 0.5% Eye Drop
225,Teen AC 5% Gel
226,Teenim P 100mg/325mg Tablet
227,Teenim P 100mg/325mg Tablet
228,Teenol 100mg Tablet
229,Teenol 50mg Tablet
230,Teep 200mg Tablet SR
231,Teep 200mg Tablet SR
232,Teepan 40mg Injection
233,Teepan 40mg Tablet
234,Teepan D 10mg/40mg Tablet
235,Teepan D 30mg/40mg Capsule SR
236,Teepro CZ 250 mg/50 mg/325 mg Tablet
237,Teepro Tablet
238,Teepro-CZ Tablet
239,Teerab D 10mg/20mg Tablet
240,Teerab D 30mg/20mg Capsule SR
241,Teerab IT 20mg/150mg Capsule
242,Teerab IT 20mg/150mg Capsule
243,Teerax Injection
244,Teerax-S Injection
245,Teerax-T Injection
246,Teerax-T Injection
247,Teeth Guard 0.2% Mouth Wash
248,Teevir Tablet
249,Teezflox 200mg Tablet
250,Teezkof Syrup
251,Teezkof Syrup
252,Teeznac P 100mg/500mg Tablet
253,Teezol LC 1% Lotion
254,Teezol Lotion
255,Teezol Topical Powder
256,Teezol-B Lotion
257,Tef Cream
258,Tef Tablet
259,Tefcyte 450mg Tablet
260,Tefdin 250mg Tablet
261,Tefdin 60mg Tablet
262,Teferon 100mcg Powder for Injection
263,Teferon 120 Injection
264,Teferon 80mcg Powder for Injection
265,Tefi O 50mg Syrup
266,Tefi O 50mg Syrup
267,Tefilox 200mg/200mg Tablet
268,Tefix 100mg Tablet DT
269,Tefix 200mg Tablet DT
270,Tefix 50mg Tablet DT
271,Tefix 50mg Tablet DT
272,Tefixim 100mg Tablet DT
273,Tefixim 200mg Tablet DT
274,Tefixim 50mg Tablet
275,Tefixim AZ 200mg/250mg Tablet
276,Tefixim CV 200mg/125mg Tablet
277,Tefixim O 200mg/200mg Tablet
278,Teflam Tablet
279,Teflaz 6mg Tablet
280,Teflep 6mg Tablet
281,Tefloc 100mg Tablet DT
282,Tefloc 200 Tablet DT
283,Tefloc 50mg Dry Syrup
284,Tefloc 50mg Dry Syrup
285,Tefloc AZ 200mg/250mg Tablet
286,Tefloc CL 200mg/125mg Tablet
287,Tefloc CL Dry Syrup
288,Tefloc O 200mg/200mg Tablet
289,Tefloc O Dry Syrup
290,Tefloc O Dry Syrup
291,Tefloc OZ 200mg/500mg Tablet
292,Teflocin 200mg Tablet
293,Teflocin 50mg Syrup
294,Teflocin OZ 200mg/500mg Tablet
295,Teflocin OZ Syrup
296,Tefloxin 200mg/600mg Tablet
297,Tefonil 1% Cream
298,Tefonil 250mg Tablet
299,Tefonil 250mg Tablet
300,Tefozid 1000mg Injection
301,Tefozid 1000mg Injection
302,Tefozid 125mg Injection
303,Tefozid 125mg Injection
304,Tefozid 250mg Injection
305,Tefozid 250mg Injection
306,Tefsole 10mg Tablet
307,Tefur 250mg Tablet
308,Tegafi 100mg/224mg Capsule
309,Tegamox 500mg Capsule
310,Tegamox 500mg Capsule
311,Tegaser 6mg Tablet
312,Tegaspa 6mg Tablet
313,Teggo 16mg Tablet
314,Tegibs 2mg Tablet
315,Tegibs 6mg Tablet
316,Teglin 50mg Injection
317,Teglipt 20mg Tablet
318,Teglipt M 1000mg/20mg Tablet SR
319,Teglipt M 500mg/20mg Tablet
320,Tegliptin Tablet
321,Tegliptin-M 1000mg Tablet SR
322,Tegliptin-M 500mg Tablet SR
323,Tegma Tablet
324,Tegma-M 500mg/20mg Tablet
325,Tegma-M Forte 1000mg/20mg Tablet
326,Tegmox 500mg Capsule
327,Tegnect 20mg Tablet
328,Tegnect M 500mg/20mg Tablet ER
329,Tegnect M Forte 1000mg/20mg Tablet ER
330,Tegod 6mg Tablet
331,Tegot 20mg Tablet
332,Tegot M 500mg/20mg Tablet
333,Tegretol 100mg Tablet
334,Tegretol 300mg Tablet
335,Tegril 200mg Tablet CR
