,items
0,TG 50mg Injection
1,TG Act 10 Tablet
2,TG Act 5mg Tablet
3,TG Bro Syrup
4,TG Cef 1000mg Injection
5,TG Cef 125mg Injection
6,TG Cef 250mg Injection
7,TG Cef 500mg Injection
8,TG Cef S 1000 mg/500 mg Injection
9,TG Cef S 1000 mg/500 mg Injection
10,TG Cef S 250 mg/125 mg Injection
11,TG Cef S 500 mg/250 mg Injection
12,TG Chek 160mg Tablet
13,TG Fit 160mg Tablet
14,TG Goal 145 Tablet
15,TG Goal 160mg Tablet
16,TG Hex Syrup
17,TG Rose 10mg Tablet
18,TG Rose 20mg Tablet
19,TG Rose CV 10mg/75mg Capsule
20,TG Rose Gold 75mg/10mg/75mg Capsule
21,TG Rose Gold 75mg/20mg/75mg Capsule
22,TG-Bact Injection
23,TG-Tor 10 Tablet
24,TG-Tor 10 Tablet
25,TG-Tor 20 Tablet
26,TG-Tor 20 Tablet
27,TG-Tor 40 Tablet
28,TG-Tor 5 Tablet
29,TG-Tor 80 Tablet
30,TG-Tor EZ Tablet
31,TG-Tor F 160 Tablet
32,TGR Tablet
33,Tgbest 50mg Injection
34,Tgcef 125mg injection
35,Tgcef 1gm injection
36,Tgcef 250mg injection
37,Tgcef 500mg injection
38,Tgcef TZ 1000 mg/125 mg Injection
39,Tgcef TZ 250 mg/31.25 mg Injection
40,Tgclyn 50mg Injection
41,Tgkem 50mg Injection
42,Tgkem 50mg Kit
43,Tgl 20mg Tablet
44,Tgl 20mg Tablet
45,Tgl MF Forte 1000mg/20mg Tablet
46,Tglo 200mg Tablet
47,Tgm 500mg/20mg Tablet SR
48,Tgmet 1gm Tablet SR
49,Tgmet 1gm Tablet SR
50,Tgmet-G 1mg/500mg Capsule
51,Tgmet-P 15mg/500mg Tablet
52,Tgmet-P 30mg/500mg Tablet
53,Tgn 20mg Tablet
