,items
0,THEMIBUTOL PLUS 300MG/800MG TABLET
1,THEMISYLATE 250MG TABLET
2,THEMISYLATE 500MG TABLET
3,THEMISYLATE 500MG TABLET
4,THERMOL 156.25MG/5ML SYRUP
5,THERMOL 156.25MG/5ML SYRUP
6,THIOACT 4 MG TABLET
7,THIOACT D 8MG CAPSULE
8,THIOFACT 4MG TABLET
9,THIOFACT 8MG TABLET
10,THIOSOL 1 GM INJECTION
11,THIOSOL 500 MG INJECTION
12,THP 2mg Tablet
13,THROMBOPARIN 25000IU INJECTION
14,THROMBOPARIN 5000IU INJECTION
15,THT D 40mg/12.5mg Tablet
16,THYMOGLOBULIN 25 MG INJECTION
17,THYMOLIV 1.6 MG INJECTION
18,Thaangio 50mg Capsule
19,Thaiclo Gel
20,Thaikon 100mg/4mg Tablet
21,Thalide 100mg Capsule
22,Thalide 200mg Capsule
23,Thalidon 12.5mg Tablet
24,Thalidon 6.25mg Tablet
25,Thalimax 100mg Capsule
26,Thalitel 40 Tablet
27,Thalitel 80 Tablet
28,Thalitel LS Tablet
29,Thalitero 50mg Tablet
30,Thalitero Capsule
31,Thalix 100 Capsule
32,Thalix 50 Capsule
33,Thalizer 50mg Tablet
34,Thalizide 12.5mg Tablet
35,Thaloda 100mg Capsule
36,Thaloda 50 Capsule
37,Thaloma 100mg Capsule
38,Thaloma 50mg Capsule
39,Thalon 100mg Tablet
40,Thaloric 12.5 Tablet
41,Thaloric 6.25 Tablet
42,Thaloshil Capsule
43,Tham 800mg Tablet
44,Thamit 800mg Tablet
45,Thamit 800mg Tablet
46,Thamit I 300mg/800mg Tablet
47,Thamit I 300mg/800mg Tablet
48,Thamlo 250mg Injection
49,Thamlo 250mg Tablet
50,Thamlo 250mg Tablet
51,Thamlostat 250mg Tablet
52,Thamlostat 250mg Tablet
53,Thams 250mg Tablet
54,Thams 500mg Injection
55,Thams 500mg Tablet
56,Thamstat 125mg Injection
57,Thamstat 250mg Tablet
58,Thamstat 250mg Tablet
59,Thamstat 500mg Tablet
60,Thamsy 500mg Tablet
61,Thand Go Oral Suspension
62,Thank OD Forte Tablet
63,Thank OD Tablet
64,Tharmal S 2mg/325mg/5mg Tablet
