,items
0,TUFDROX CV 250 MG/62.5 MG TABLET DT
1,TUFTIL CV 250 MG/125 MG TABLET
2,TUSTAL 15MG/25MG TABLET
3,Tu Xone S 1000mg/500mg Injection
4,Tu Xone S 250mg/125mg Injection
5,Tubact Ointment
6,Tubercin 450mg Capsule
7,Tubercin Plus 450mg/300mg Tablet
8,Tuberium 150mg Injection
9,Tubervac Vaccine
10,Tubitere 120mg Injection
11,Tubitere 20mg Injection
12,Tubitere 80mg Injection
13,Tubitere Novo 20mg Injection
14,Tubitere Novo 80mg Injection
15,Tuboflam 90mg/48mg/100mg Tablet
16,Tuboflam D Tablet
17,Tubolax Forte Syrup
18,Tubro 0.3% Eye Drop
19,Tubro 0.3% Eye Drop
20,Tucanozol 150mg Tablet
21,Tucin AM Junior Syrup
22,Tucin D Junior Syrup
23,Tucin D Junior Syrup
24,Tucin D Syrup
25,Tucin Forte Syrup
26,Tucin Plus Tablet
27,Tucit 250mg Injection
28,Tucit 500mg Tablet
29,Tuclan 0.25mg Tablet
30,Tuclan 0.5mg Tablet
31,Tuclav 1000mg/200mg Injection
32,Tuclav 1000mg/200mg Injection
33,Tuclav Dry Syrup
34,Tuclav Dry Syrup
35,Tuclav Forte Dry Syrup
36,Tucral-O Suspension
37,Tudep 2 mg/25 mg Tablet
38,Tudex AM Expectorant
39,Tudex AM Syrup
40,Tudex BT 50 mg/1.5 mg/4 mg Expectorant
41,Tudex BT 50 mg/1.5 mg/4 mg Expectorant
42,Tudex CS Syrup
43,Tudex CS Syrup
44,Tudex Syrup
45,Tudofen Forte 400 mg/325 mg Tablet
46,Tudor MF 80mg/250mg Tablet
47,Tuela 80 mg/250 mg Tablet
48,Tuf Cold Tablet
49,Tuf N Tight 100mg Tablet
50,Tuf Q Tablet
51,Tufach 100mg/500mg Tablet
52,Tufacne 10 Capsule
53,Tufacne 20 Capsule
54,Tufbact 250mg Tablet
55,Tufbact 500mg Tablet
56,Tufbact 750mg Injection
57,Tufbact-CV Tablet
58,Tufcam 20mg Tablet DT
59,Tufcam Injection
60,Tufcef LB 250mg Tablet
61,Tufcid 40mg Tablet
62,Tufcid D 10mg/40mg Tablet
63,Tufcid D 30mg/40mg Capsule SR
