,items
0,tymol P Suspension
1,tymol P Suspension
2,TYGACIL 50 MG INJECTION
3,TYUAZI 200 MG/250 MG TABLET
4,Tyamlo AT Tablet
5,Tyandil 5mg Tablet
6,Tybec-N Cream
7,Tybend 400mg Tablet
8,Tybifest 250 Tablet
9,Tybifest Plus Cream
10,Tybol 1500mcg Injection
11,Tybol G 300mg/500mcg Tablet
12,Tybol P 500mcg/75mg Tablet
13,Tybol Plus Injection
14,Tybro Eye Drop
15,Tybroside 90mg/48mg/100mg Tablet
16,Tybroside 90mg/48mg/100mg Tablet
17,Tycerin GM Tablet
18,Tycet 125mg Injection
19,Tycet 250mg Injection
20,Tycet 250mg Injection
21,Tycet 500mg Injection
22,Tycet-CF 250mg Injection
23,Tycet-CF 500mg Tablet
24,Tycet-CS 500mg/500mg Injection
25,Tycet-TZ 1000mg/125mg Injection
26,Tycet-TZ 250mg/31.25mg Injection
27,Tychic A 100mg/4mg Tablet
28,Tychic A 100mg/4mg Tablet
29,Tycid-O Oral Suspension
30,Tycid-O Oral Suspension
31,Tycil 1000mg Injection
32,Tycil 100mg Tablet DT
33,Tycil 100mg Tablet DT
34,Tycil 200mg Tablet
35,Tycil 500mg Injection
36,Tycil 50mg Dry Syrup
37,Tycil 50mg Tablet
38,Tycil-Plus 1000mg/500mg Injection
39,Tycil-Plus 1000mg/500mg Injection
40,Tycin 0.3% Eye Drop
41,Tycin 100mg Injection
42,Tycin 250mg Injection
43,Tycin 500mg Injection
44,Tycin 500mg Tablet
45,Tycin 80mg Injection
46,Tycin Dry Cough Syrup
47,Tycin F Eye Drop
48,Tyclo P Oral Suspension Mango
49,Tyclo-MR Tablet
50,Tyclo-P Tablet
51,Tyclo-P Tablet
52,Tyclo-PS Tablet
53,Tycole 100 Capsule
54,Tycole 200 Capsule
55,Tycole 200 Capsule
56,Tycole-OZ Cream
57,Tycomus 0.1% Cream
58,Tycona 150mg Tablet
59,Tycovit-MP Capsule
60,Tycuf-A Syrup
61,Tycuf-A Syrup
62,Tycuf-D Syrup
63,Tycuf-D Syrup
64,Tycuf-LS Syrup
65,Tydol 100 Tablet
66,Tydol 50 Tablet
67,Tydol 75mg Tablet
68,Tyefe Tablet
69,Tyefe-O Tablet
70,Tyffort 90mg/48mg/100mg Tablet
71,Tyffort 90mg/48mg/100mg Tablet
72,Tyffort A Tablet
73,Tyfimol 500mg Tablet
74,Tyfimol 650mg Tablet
75,Tyfizox 500 mg/50 mg/500 mg Tablet
76,Tyflo OZ Tablet
77,Tyflon 200mg Tablet
78,Tyflon 200mg Tablet
79,Tyflon OZ 200mg/500mg Tablet
80,Tyflon OZ 200mg/500mg Tablet
81,Tyflox 400mg Tablet
82,Tyfo OZ 200mg/500mg Tablet
83,Tyfo OZ 200mg/500mg Tablet
84,Tyfusin 250mg Tablet
85,Tyfusin 500mg Tablet
86,Tyfy 125mg Tablet DT
87,Tyfy 125mg/5ml Syrup
88,Tyfy 250mg/5ml Syrup
89,Tyfy 300mg Tablet DT
90,Tyfy 500mg Tablet
91,Tyfy 650mg Tablet
92,Tygaray 50mg Injection
93,Tygot 50 Injection
94,Tygra 50mg Tablet
95,Tykast 5mg/10mg Tablet
96,Tykast 5mg/10mg Tablet
97,Tyken 500mg Tablet
98,Tyken 500mg Tablet
99,Tykerb 250mg Tablet
100,Tyle P Syrup
101,Tyle P Syrup
102,Tyledol 650mg Tablet
103,Tylen 100mg Tablet MD
104,Tylen 100mg/2mg Tablet MR
105,Tylen 125mg Oral Suspension
106,Tylen 200mg Tablet MD
107,Tylen 250mg Oral Suspension
108,Tylen-P 100mg/325mg Tablet
109,Tyliv 500mg Tablet
110,Tyma-L Tablet
111,Tymic 500mg/250mg Tablet
112,Tymidin 200mg Tablet
113,Tymidin 400mg Tablet
114,Tymist 20mg Tablet
115,Tymist 40mg Tablet
116,Tymist 40mg Tablet
117,Tymist-A 40mg/5mg Tablet
118,Tymist-C 40mg/12.5mg Tablet
119,Tymist-H 80mg/12.5mg Tablet
120,Tymist-H 80mg/12.5mg Tablet
121,Tymochem Forte Capsule
122,Tymocil 500mg Capsule
123,Tymocil 500mg Capsule
124,Tymocil CV Tablet
125,Tymocil-CV 625 Tablet
126,Tymocil-CV Dry Syrup Strawberry
127,Tymocil-CV Forte Dry Syrup
128,Tymocil-CV LB Tablet
129,Tymol 650mg Tablet
130,Tymolytic 100000AU Tablet
131,Tymolytic BR Tablet
132,Tymoral AP Tablet
133,Tympalin C Ear Drop
134,Tynan 25mg Injection
135,Tynan 50mg Injection
136,Tynelol 650mg Drop
137,Tynelol SR 1000 Tablet
138,Tynept OD Tablet ER
139,Tynept Tablet
140,Tynicef 250mg Tablet
141,Tynicef 250mg Tablet
142,Tyniclox D 250mg/250mg Capsule
143,Tyniclox LB Capsule
144,Tynim P 100mg/325mg Tablet
145,Tynimox 250mg Capsule
146,Tynimox DS 125mg Tablet
147,Tynimox LB Capsule
148,Tynoclav Oral Suspension
149,Tynoclav Oral Suspension
150,Tynol 250mg/5ml Suspension
151,Tynol 650mg Tablet
152,Tynol MF Forte 100 mg/250 mg Syrup
153,Tynol MF Syrup
154,Typa 40mg Injection
155,Typam 0.25mg Tablet
156,Typbar TCV Vaccine
157,Typbar Vaccine
158,Typbar-PFS Vaccine
159,Typhibev Vaccine
160,Typhicure 200mg Tablet
161,Typhicure 50mg Syrup
162,Typhicure 50mg Syrup
163,Typhicure-NZ Dry Syrup
164,Typhicure-NZ Dry Syrup
165,Typhicure-OZ 200mg/500mg Tablet
166,Typhim VI Vaccine
167,Typhivax 0.25mcg Injection
168,Typho VI 2.5mcg Injection
169,Typho VI 25mcg Injection
170,Typhonil 1000mg Injection
171,Typhoon 1000mg Injection
172,Typhoon 1000mg Injection
173,Typidol 1.5mg Tablet
174,Typidol 5mg Tablet
175,Typip 4000mg/500mg Injection
176,Typiz-TZ 4gm/0.5gm Injection
177,Typlin 10mg Tablet
178,Typlin 25mg Tablet
179,Typlin 75mg Tablet
180,Typlin C 12.5 mg/5 mg Tablet
181,Typlin C Plus 25 mg/10 mg Tablet
182,Typlin C Plus Tablet
183,Typlin C Tablet
184,Typod 100mg Tablet
185,Typod 200 Tablet DT
186,Typod CV 200mg/125mg Tablet
187,Typod CV 200mg/125mg Tablet
188,Typsi Tablet
189,Typteez 10mg Tablet
190,Tyracef 100mg Tablet DT
191,Tyracef 200mg Tablet DT
192,Tyracef DS Syrup
193,Tyracef LB 100mg Tablet DT
194,Tyracef LB 100mg Tablet DT
195,Tyracef LB 200mg Tablet
196,Tyracin 500mg Tablet
197,Tyradec 25mg Injection
198,Tyradec 50mg Injection
199,Tyradec 50mg Injection
200,Tyrael 1mg Tablet
201,Tyrael 1mg Tablet
202,Tyrael 2mg Tablet
203,Tyrael 4mg Tablet
204,Tyrael 4mg Tablet
205,Tyrael-M 1mg/500mg Tablet
206,Tyrael-M 2mg/500mg Tablet
207,Tyrazid 1000mg Injection
208,Tyrazid 250mg Injection
209,Tyret B 1% Gel
210,Tyret O 10mg Capsule
211,Tyridol 100mg Suppository
212,Tyrin Syrup
213,Tyrin Syrup
214,Tyrin Syrup
215,Tyrin-Forte 140mg/300mg Tablet
216,Tyrit Oral Suspension
217,Tyro 4% Cream
218,Tyro BR Tablet
219,Tyrob 20mg Tablet
220,Tyrob 20mg Tablet
221,Tyrodin -FSR Tablet
222,Tyrodin Cream
223,Tyrodin Plus Tablet
224,Tyrodin Tablet
225,Tyrogef 250mg Tablet
226,Tyrokinin 100mg Tablet
227,Tyrokinin 150mg Tablet
228,Tyrolin D Tablet
229,Tyrom 20mg Capsule
230,Tyrom 20mg Capsule
231,Tyrom D 10mg/20mg Capsule
232,Tyrom D 10mg/20mg Capsule
233,Tyronib 100mg Tablet
234,Tyronib 400mg Tablet
235,Tyronide DS Tablet
236,Tyrox 200mg Tablet
237,Tysabri 300mg Injection
238,Tyscral O Oral Suspension
239,Tysil D Syrup
240,Tysin D 50mg/325mg Tablet
241,Tyskoff AM Syrup
242,Tyskoff-LS Syrup
243,Tysmet-G 1 Tablet
244,Tysmet-G 2 Tablet
245,Tysure 200 mg/200 mg Tablet
246,Tytan 40mg Tablet
247,Tytan H Tablet
248,Tytan-AM Tablet
249,Tytbolt 50mg/10mg Tablet
250,Tyther 150mg Injection
251,Tytin Tablet
252,Tyto Sugar Free Syrup
253,Tyto-Spas 10mg/250mg Tablet
254,Tytrix 1000mg Injection
255,Tytrix 500mg Injection
256,Tytrix S 1000mg/500mg Injection
257,Tytro 90mg Tablet
258,Tytro T 60mg/4mg Tablet
259,Tyuchico 100 mg/4 mg Tablet
260,Tyuchico 100 mg/4 mg Tablet
261,Tyuclav 625mg Tablet
262,Tyuen D Syrup
263,Tyuen D Syrup
264,Tyuen XP Cough Syrup
265,Tyufe 200 mg/200 mg Tablet
266,Tyulose Syrup
267,Tyuric 10mg Tablet
268,Tyuric 20mg Tablet
269,Tyuric Plus 50mg/10mg Tablet
270,Tyuric Plus 50mg/20mg Tablet
271,Tyuzol Capsule SR
272,Tyuzol L Tablet
273,Tyval 25 Tablet
274,Tyval 50 Tablet
275,Tyval 75mg Tablet
276,Tyver 6mg Tablet
277,Tyxa 200mg Tablet
278,Tyxa 200mg Tablet
279,Tyxa MZ Oral Suspension
280,Tyxa OZ 200mg/500mg Tablet
281,Tyza Cream
282,Tyza Cream
283,Tyza DP Gel
284,Tyza Dusting Powder
285,Tyza Dusting Powder
286,Tyza Dusting Powder
287,Tyza M Gel
288,Tyza Tablet
289,Tyzer Oral Drops
290,Tyzit 250mg Tablet
291,Tyzit 500mg Tablet
292,Tyzit 500mg Tablet
293,Tyzo Injection
294,Tyzocort 12 Tablet
295,Tyzocort 6mg Tablet
296,Tyzole 20mg Injection
297,Tyzole-P 40mg Injection
298,Tyzole-P 40mg Injection
299,Tyzolid 600 Tablet
300,Tyzone S 500mg/500mg Injection
301,Tyzone S 500mg/500mg Injection
