,items
0,Ucam 1.37gm Syrup
1,Ucdex Syrup
2,Uceclin Cream
3,Ucecort 0.10% Cream
4,Ucef 1gm Injection
5,Ucef 250mg Tablet DT
6,Ucef 500mg Capsule
7,Ucef 500mg Injection
8,Ucef Kid 125mg Tablet DT
9,Ucef OZ 200mg/500mg Tablet
10,Ucefdys-AZ-LB Tablet
11,Ucefdys-O-LB Tablet
12,Ucefuro 250mg Tablet
13,Ucefuro 500mg Tablet
14,Ucemic Cream
15,Ucep-S 1gm/500mg Injection
16,Uceprol 200mg Capsule
17,Ucetri 10mg Tablet
18,Ucetri 5mg Tablet
19,Ucgut OD 1200mg Tablet PR
20,Uchol 300mg Tablet
21,Ucidin 150mg Tablet
22,Ucidin 300mg Tablet
23,Ucifix 100mg Tablet
24,Ucifix LB 100mg/60Million spores Tablet
25,Ucifix LB 200mg/60Million spores Tablet
26,Ucifix LB 200mg/60Million spores Tablet
27,Uciliv 300mg Tablet
28,Uciro 150mg Tablet
29,Uciro 300mg Tablet
30,Ucitum TZ 1000mg/125mg Injection
31,Uclav 500mg/125mg Tablet
32,Uclick 150mg Tablet
33,Uclick 300mg Tablet
34,Ucnin DM 10mg/20mg Tablet
35,Ucob 1500mcg Injection
36,Ucob 2500mcg Injection
37,Ucob Plus Injection
38,Ucocetry 10mg Tablet
39,Ucocetry L 5mg Tablet
40,Ucocetry LA 5mg/60mg Tablet
41,Ucocil CV 500mg/125mg Tablet
42,Ucocil CV Dry Syrup
43,Ucocil CV Injection
44,Ucocil D 250mg/250mg Capsule
45,Ucoclear Adult Nasal Spray/Drop
46,Ucocort 6mg Syrup
47,Ucocort 6mg Syrup
48,Ucocort 6mg Tablet
49,Ucoglim 1mg Tablet
50,Ucoglim 2mg Tablet
51,Ucoglim M 1mg/500mg Tablet SR
52,Ucoglim M 2mg/500mg Tablet SR
53,Ucolit 300mg Tablet
54,Ucomif-Combi-Kit
55,Ucone 150mg Tablet
56,Ucopen 1000mg Injection
57,Ucopent 40mg Injection
58,Ucopent 40mg Tablet
59,Ucopent D 30mg/40mg Capsule SR
60,Ucopeptin Oral Drops
61,Ucopeptin S Syrup
62,Ucopeptin Syrup
63,Ucopeptin Syrup
64,Ucoprein GM 50mg/750mg/250mg Tablet
65,Ucorab DSR 30mg/20mg Capsule
66,Ucosate M 50mg/750mg/250mg Tablet
67,Ucotran MF 500mg/250mg Tablet
68,Ucotryp AP 100mg/325mg Tablet
69,Ucotryp RB 90mg/48mg/100mg Tablet
70,Ucotryp Tablet
71,Ucotus-BT Syrup Sugar Free
72,Ucotus-D Syrup
73,Ucotus-L Syrup Sugar Free
74,Ucough AT Syrup
75,Ucough AT Syrup
76,Ucox O Suspension
77,Ucozeth 250mg Tablet
78,Ucozeth 500mg Tablet
79,Ucozeth DS 200mg Oral Suspension
80,Ucozeth DS 200mg Oral Suspension
81,Ucozol 150mg Tablet
82,Ucracid 1000mg Syrup
83,Ucracid-O Syrup
84,Ucral Suspension
85,Ucx 1000mg Injection
86,Ucx 500mg Injection
87,Ucx S 1000mg/500mg Injection
88,Ucx S 250mg/125mg Injection
89,Ucx S 500mg/250mg Injection
90,Ucx T 1000mg/125mg Injection
91,Ucx T Kid 250mg/31.25mg Injection
92,Ucyp Syrup
93,Ucypro Syrup
