,items
0,UD 300mg Tablet
1,UD Col 150mg Tablet
2,UD Col 300mg Tablet
3,UD Dox 300mg Tablet
4,UD Max 150 Tablet
5,UD Max 300 Tablet
6,UD Max S Tablet
7,UD Spas 20 mg/250 mg Tablet
8,UDCROS 300 MG TABLET
9,UDP 5mg Tablet
10,UDP-AT Tablet
11,Ud-Life 300 Tablet
12,Uda 150mg Tablet
13,Uda 300 Tablet
14,Uda 450 SR Tablet
15,Udaci 300mg Tablet
16,Udaliv 300mg Tablet
17,Udan 2mg Injection
18,Udan 2mg Syrup
19,Udan 4mg Tablet MD
20,Udapa 10 Tablet
21,Udapa 5 Tablet
22,Udapa M 10mg/1000mg Tablet ER
23,Udapa M 10mg/500mg Tablet ER
24,Udarkool 20mg Tablet
25,Udarkool-DSR Capsule
26,Udart 250mg Tablet
27,Udart CL 500mg/125mg Tablet
28,Udazine 25mg Tablet
29,Udazine 50mg Tablet
30,Udbest 150mg Tablet
31,Udbest 300mg Tablet
32,Udc-Sm 140mg/300mg Tablet
33,Udcament Oral Suspension
34,Udcare 300mg Tablet
35,Udchamp 150mg Tablet
36,Udchamp 300mg Tablet
37,Udcoliv 150 Tablet
38,Udcoliv 300 Tablet
39,Udcon 300 Tablet
40,Udcros 150mg Tablet
41,Udcure 300mg Tablet
42,Udcyug 150 Tablet
43,Udcyug 300 Tablet
44,Uddil Syrup
45,Udebile 150mg Tablet
46,Udebile Forte 300mg Tablet
47,Udeboost 300 Tablet
48,Udec 100mg Tablet
49,Udec S Tablet
50,Udee 300mg Capsule
51,Uden 150mg Tablet
52,Uden 300mg Tablet
53,Uden 300mg Tablet
54,Udepix 300 Tablet
55,Uderm Cream
56,Uderm GN Cream
57,Uderm Plus Cream
58,Udested 300mg Tablet
59,Udfast 300 Tablet
60,Udglaz 300 Tablet
61,Udgrace 300mg Tablet
62,Udgrace SR 450mg Tablet
63,Udiact 300 Tablet
64,Udibet 300mg Tablet
65,Udibit 150mg Tablet
66,Udibit 300mg Tablet
67,Udibon Tablet
68,Udic MR Tablet
69,Udican 150 Tablet
70,Udican 300 Tablet
71,Udiceft 150 Tablet
72,Udiceft 300 Tablet
73,Udichol 150mg Tablet
74,Udichol 300mg Tablet
75,Udichol Plus 140mg/300mg Tablet
76,Udicin 250mg Injection
77,Udicin 250mg Injection
78,Udicin 500mg Injection
79,Udiclo K 75mg Injection
80,Udiclo S 50mg/10mg Tablet
81,Udiclo SP 50mg/325mg/15mg Tablet
82,Udicol 150mg Tablet
83,Udicol 300mg Tablet
84,Udidac 300mg Tablet
85,Udidine 150mg Tablet
86,Udidol 300 Tablet
87,Udifast 150mg Tablet
88,Udifast 300mg Tablet
89,Udigal 150 Tablet
90,Udigal 300 Tablet
91,Udigard 150 Tablet
92,Udigard 300 Tablet
93,Udigen 300mg Tablet
94,Udiglac 150mg Tablet
95,Udiglak 300mg Tablet
96,Udiglobe 150 Tablet
97,Udiglobe 300 Tablet
98,Udigold 150 Tablet
99,Udigold 300 Tablet
100,Udigrand 300mg Tablet
101,Udigrot 300 Tablet
102,Udihep Forte Tablet
103,Udihep Tablet
104,Udijen 300mg Tablet
105,Udikast 300 Tablet
106,Udikem 300mg Tablet
107,Udikool 300mg Tablet
108,Udilan 10mg Tablet
109,Udilan SR Tablet
110,Udilavi 300mg Tablet
111,Udiler SL Tablet
112,Udilife 150 Tablet
113,Udilife 300mg Tablet
114,Udilite 300mg Tablet
115,Udiliv 150mg Tablet
116,Udiliv 150mg Tablet
117,Udiliv 300 Tablet
118,Udiliv 300 Tablet
119,Udiliv 450mg Tablet
120,Udiliv 600 Tablet
121,Udiliv 75mg Tablet
122,Udilock 300mg Tablet
123,Udilock 300mg Tablet
124,Udimarin Forte SR Tablet
125,Udimarin Forte Tablet
126,Udimarin Suspension
127,Udimarin Tablet
128,Udimax 150mg Tablet
129,Udimax 150mg Tablet
130,Udimax 300mg Tablet
131,Udimax 300mg Tablet
132,Udimax 300mg Tablet
133,Udimed 300mg Tablet
134,Udimera Tablet
135,Udimic 300 Tablet
136,Udimit 300 Tablet
137,Udimor 300 Tablet
138,Udimorr 300mg Tablet
139,Udimox 250mg Capsule
140,Udimox 500mg Capsule
141,Udimox 500mg Capsule
142,Udimox Kid 125mg Tablet
143,Udimycetin 250mg Tablet
144,Udinol 150mg Tablet
145,Udinol 300mg Tablet
146,Udinorm 150mg Tablet
147,Udinorm 300mg Tablet
148,Udios 300mg Tablet
149,Udipac 300mg Tablet
150,Udipace 300mg Tablet
151,Udipan 40mg Tablet
152,Udipan D 10 mg/40 mg Tablet
153,Udiplus Tablet
154,Udirik 150mg Tablet
155,Udirik 300mg Tablet
156,Udirise 300mg Tablet
157,Udiriz 300mg Tablet
158,Udiron 300mg Tablet
159,Udiron 300mg Tablet
160,Udisal 300mg Tablet
161,Udisan 300mg Tablet
162,Udishine 300 Tablet
163,Udisil Tablet
164,Udisite 300mg Tablet
165,Uditoss 300mg Tablet
166,Udivent 300 Tablet
167,Udivir 300 Tablet
168,Udivo 300mg Tablet
169,Udivor 150mg Tablet
170,Udivor 300mg Tablet
171,Udiwell 300mg Tablet
172,Udiwok 150mg Tablet
173,Udiwok 300 Tablet
174,Udiwyn 300mg Tablet
175,Udizia 300mg Tablet
176,Udkare 150mg Tablet
177,Udkare 300mg Tablet
178,Udl 300mg Tablet
179,Udlac 300mg Tablet
180,Udlain 300mg Tablet
181,Udlive 300mg Tablet
182,Udln 300mg Tablet
183,Udlon 300mg Tablet
184,Udls 150 Tablet
185,Udls 300 Tablet
186,Udmin 300mg Tablet
187,Udnish 300mg Tablet
188,Udojem 300mg Tablet
189,Udosis 500mg Tablet
190,Udovice 150mg Tablet
191,Udovice 150mg Tablet
192,Udovice 300mg Tablet
193,Udovil 300 Tablet
194,Udoxy 300 Tablet
195,Udoxyl 150mg Tablet
196,Udoxyl 300mg Tablet
197,Udozeg 300 Tablet
198,Udpil SL 140mg/300mg Tablet
199,Udpin 300 Tablet
200,Udrota M 80mg/250mg Tablet
201,Udrota P 80mg/325mg Tablet
202,Udrun 300mg Tablet
203,Uds 300mg Tablet
204,Udset 300 Tablet SR
205,Udsil 150 Tablet
206,Udsil 300 Tablet
207,Udvl 300mg Tablet
208,Udx 150mg Tablet
209,Udx 300 Tablet
210,Udyleon 300mg Tablet
211,Udzire 100mg Tablet
212,Udzole 150mg Tablet
