,items
0,Uf Act 200mg Tablet
1,Uf Lev 500mg Tablet
2,Ufate 1000mg Oral Suspension
3,Ufh 25000IU Injection
4,Ufibast 10mg Tablet
5,Ufibast 20mg Tablet
6,Ufibate Cream
7,Ufibate S Lotion
8,Ufibate-S Ointment
9,Uficef 200mg Tablet DT
10,Uficef 50mg Dry Syrup
11,Uficef 50mg Tablet DT
12,Uficef AZ 200mg/250mg Tablet
13,Uficef AZ Dry Syrup
14,Uficef CV 200mg/125mg Tablet
15,Uficef CV Dry Syrup
16,Uficef CV Kid 100mg/62.5mg Tablet
17,Uficef Dry Syrup
18,Uficef LB 200mg Tablet
19,Uficef OF 200mg/200mg Tablet
20,Uficef OF Dry Syrup
21,Uficef OF Kid 100mg/100mg Tablet DT
22,Uficef OZ 200mg/500mg Tablet
23,Ufidine 0.1% Eye Drop
24,Ufiflox 100mg Oral Suspension
25,Ufiflox 200mg Tablet
26,Ufiflox 400mg Tablet
27,Ufiflox 50mg Oral Suspension
28,Ufiflox OZ 200mg/500mg Tablet
29,Ufiflox OZ 50mg/125mg Oral Suspension
30,Ufigesic 120mg Tablet
31,Ufigesic 120mg Tablet
32,Ufigesic 90mg Tablet
33,Ufigesic P 60mg/325mg Tablet
34,Ufigesic T 60mg/4mg Tablet
35,Ufihist 16mg Tablet
36,Ufihist 8mg Tablet
37,Ufiliser 1.4gm Syrup
38,Ufiliv 300mg Tablet
39,Ufimep CL 500mg/500mg Injection
40,Ufimox 400mg Infusion
41,Ufimox Eye Drop
42,Ufimox P Eye Drop
43,Ufimox P Eye Drop
44,Ufimox-LP Eye Drop
45,Ufinate 120mg Injection
46,Ufinate 60mg Injection
47,Ufipan 40mg Tablet
48,Ufipan D 10mg/40mg Tablet
49,Ufipan D 30mg/40mg Capsule SR
50,Ufipar 250mg Oral Suspension
51,Ufipar 650mg Tablet
52,Ufipar D 10mg/325mg Tablet
53,Ufipar M DS Oral Suspension
54,Ufipar M Oral Suspension
55,Ufirab 20mg Injection
56,Ufirab 20mg Tablet
57,Ufirab D 10mg/20mg Tablet
58,Ufirab D 30mg/20mg Capsule SR
59,Ufirab IT 20mg/150mg Capsule
60,Ufirab L 75mg/20mg Capsule SR
61,Ufirox 150mg Tablet
62,Ufisid Cream
63,Ufisid-B Cream
64,Ufither L 80mg/480mg Tablet
65,Ufitob Eye Drop
66,Ufitob F Eye Drop
67,Ufix 10mg/10mg Tablet
68,Uflid Plus 100mg/500mg Tablet
69,Uflox 100mg Tablet
70,Uflox 200mg Tablet
71,Uflox 400mg Tablet
72,Uflox OZ 200mg/500mg Tablet
73,Uflox OZ Syrup
74,Ufloxy 200mg Tablet
75,Ufloxy OZ 200mg/500mg Tablet
76,Ufon 1000mg Injection
77,Ufon 250mg Injection
78,Ufon 500mg Injection
79,Ufzid 1000mg Injection
80,Ufzid TZ 1000mg/125mg Injection
81,Ufzon SB 500mg/500mg Injection
82,Ufzon TZ 1000mg/125mg Injection
