,items
0,ULSATON 20 MG CAPSULE
1,ULSATON TABLET
2,ULTIMALE 30 MG TABLET
3,ULTIMALE 60 MG TABLET
4,ULTRA K 50MG TABLET
5,Ulaxy 20mg Tablet
6,Ulbac Plus 1.5gm Injection
7,Ulben 400mg Tablet
8,Ulbipen D 10 mg/40 mg Tablet
9,Ulcare 20mg Capsule
10,Ulceburg 40mg Tablet
11,Ulceburg D 10mg/40mg Tablet
12,Ulceburg D 10mg/40mg Tablet
13,Ulcecare L 75mg/20mg Capsule
14,Ulcecure 20mg Capsule
15,Ulcecure Gel
16,Ulcef 1000mg Injection
17,Ulcef O 100mg Tablet
18,Ulcef O 200mg Tablet
19,Ulcef S 1000mg/500mg Injection
20,Ulcego 20mg Capsule
21,Ulcego D 10mg/20mg Tablet
22,Ulceheal Gel
23,Ulcelak 20mg Capsule
24,Ulcep 40mg Tablet
25,Ulcepan 40mg Tablet
26,Ulcepan DSR 30 mg/40 mg Capsule
27,Ulcepan DSR Tablet
28,Ulcer Gud Syrup
29,Ulcerab 20mg Tablet
30,Ulcerab D 30mg/20mg Capsule SR
31,Ulcerab IT 20mg/150mg Capsule
32,Ulcerab-LS 75mg/20mg Capsule
33,Ulceran 150mg Tablet
34,Ulcerav IT 20mg/150mg Capsule
35,Ulcerin 50mg Capsule
36,Ulceropan IV 40mg Injection
37,Ulcet L 5mg Tablet
38,Ulcet LM 5mg/10mg Tablet
39,Ulcevin 20mg Tablet
40,Ulcevin-D 10mg/20mg Tablet
41,Ulcevin-DSR 30mg/40mg Capsule
42,Ulcez 20mg Capsule
43,Ulciban 200mg Tablet
44,Ulciban 400mg Tablet
45,Ulcicap 20mg Capsule
46,Ulcicap D 10 mg/20 mg Tablet
47,Ulcicap PD 30 mg/40 mg Tablet
48,Ulcicare D 10mg/40mg Tablet
49,Ulcicoat O 1000mg/20mg Suspension
50,Ulcicure Capsule
51,Ulcicure D 10 mg/20 mg Capsule
52,Ulcicure Syrup
53,Ulcicure Syrup
54,Ulcidaz M Syrup
55,Ulcidin 150mg Tablet
56,Ulcidoc 40mg Injection
57,Ulcidoc 40mg Tablet
58,Ulcidoc D 10mg/40mg Tablet
59,Ulcidoc LS 75mg/40mg Capsule
60,Ulcidom 10mg/150mg Tablet
61,Ulcidome 10mg/150mg Tablet
62,Ulcifate O Oral Suspension
63,Ulciful DSR 30mg/40mg Capsule
64,Ulcigard 20mg Capsule
65,Ulcigard D 10 mg/20 mg Capsule
66,Ulcigard Forte 10 mg/20 mg Tablet
67,Ulcigard Forte 10 mg/20 mg Tablet
68,Ulcigard Forte 10 mg/40 mg Tablet SR
69,Ulcigard Forte 10 mg/40 mg Tablet SR
70,Ulcigard O Oral Suspension
71,Ulcikit 20mg/500mg/750mg Kit
72,Ulcillin 1000mg Injection
73,Ulcimat 20 Capsule
74,Ulcimat-D Capsule
75,Ulcimat-D Capsule
76,Ulcinorm Oral Suspension
77,Ulcipan 40mg Tablet
78,Ulcipan D 10 mg/20 mg Capsule
79,Ulcipan D 10 mg/20 mg Capsule
80,Ulcipan Injection
81,Ulcipen 40mg Tablet
82,Ulcipen D 10mg/40mg Tablet
83,Ulcipil 20mg Tablet
84,Ulcipil DSR 30mg/20mg Capsule
85,Ulcipin O Syrup
86,Ulcipra Forte 20mg Capsule
87,Ulcipride 10mg Tablet
88,Ulcipride MPS Tablet
89,Ulcirab 20mg Tablet
90,Ulcirab-D Capsule SR
91,Ulcirab-LSR Capsule
92,Ulciran 150mg Tablet
93,Ulciran 300mg Tablet
94,Ulcireb 20mg Tablet
95,Ulcireb-D Tablet
96,Ulcireb-DP Capsule SR
97,Ulcireb-DSR Capsule
98,Ulcireb-ISR 20mg/150mg Capsule
99,Ulcireb-LS Capsule SR
100,Ulcirid 150mg Tablet
101,Ulcirid 40mg Injection
102,Ulcitab 150mg Tablet
