,items
0,URIFIX 80 MG TABLET
1,URIPRO 0.2 MG CAPSULE
2,UROSTAT 40 MG TABLET
3,URS 300mg Tablet
4,Urab-L 75mg/20mg Tablet
5,Urabi D 10mg/20mg Tablet
6,Urabi D 30mg/20mg Capsule SR
7,Urabi LS 75mg/20mg Capsule SR
8,Ural 200mg Tablet
9,Uralf 1000mg Syrup
10,Uralf O 1000mg/20mg Syrup
11,Uralfin 10mg Tablet
12,Uralfin D 10mg/0.5mg Tablet
13,Urate 25mg Tablet
14,Urate 50mg Tablet
15,Uratuf 100mg/224mg Capsule
16,Uraxe 250mg Tablet
17,Uraxe 500mg Tablet
18,Uraxyl 40 Tablet
19,Urbifen Eye Drop
20,Urcaine Syrup
21,Urcef 1000mg Injection
22,Urcef 200mg Tablet
23,Urcef LB 200mg Tablet
24,Urcef O 200mg/200mg Tablet
25,Urcef O 200mg/200mg Tablet
26,Urcef S 1000mg/500mg Injection
27,Urcef T 1000mg/125mg Injection
28,Urchil 150mg Tablet
29,Urchil Forte 300mg Tablet
30,Urclar 250mg Tablet
31,Urclar 500mg Tablet SR
32,Urclar OD 500mg Tablet
33,Urclav 250mg/125mg Tablet
34,Urclav 500mg/125mg Tablet
35,Urclav Dry Syrup
36,Urclav Dry Syrup
37,Urclav Dry Syrup
38,Urdef Syrup
39,Urdiogem 150 Tablet
40,Urdiogem 300 Tablet
41,Urdohep 150 Tablet
42,Urdohep 300 Tablet
43,Urdohep SL 140 mg/300 mg Tablet
44,Urdojan 300mg Tablet
45,Urdolic 300mg Tablet
46,Urdox 500mg Capsule
47,Urea HC Cream
48,Urecton Plus 20 mg/50 mg Tablet
49,Ureka 100mg Tablet
50,Ureka 300mg Tablet
51,Ureks 250mg Tablet
52,Ureks 250mg Tablet
53,Ureks 500mg Tablet
54,Urely 200mg Tablet
55,Urex 150mg Tablet
56,Urex 250mg Tablet
57,Urex 500mg Tablet
58,Urge Free 200mg Tablet
59,Urgendol 50mg Injection
60,Urgendol 50mg Tablet
61,Urgendol P 325 mg/37.5 mg Tablet
62,Urgiflox 500mg Tablet
63,Urgiso Tablet
64,Urgose Oral Solution
65,Uri Flow Syrup
66,Uri-LB 625 Tablet
67,Uribact 250mg Tablet
68,Uribact 500mg Tablet
69,Uribact 750mg Tablet
70,Uriben 400mg Tablet
71,Uriben T 400mg/600mg Tablet
72,Uribid Tablet
73,Uribuz 40mg Tablet
74,Uribuz 80mg Tablet
75,Urican-D Tablet
76,Uricare 100mg Tablet
77,Uricaset 300 Tablet
78,Uricef 100mg Tablet DT
79,Uricef 200mg Tablet
80,Uricef Dry Syrup
81,Uricheck 100mg Tablet
82,Uricheck F 40mg Tablet
83,Uricheck F 80mg Tablet
84,Urichek 100mg Tablet
85,Urichek 40mg Tablet
86,Urichek 80mg Tablet
87,Uricift 0.4mg Tablet
88,Uricift-D Tablet MR
89,Uricip D 0.4mg/0.5mg Tablet MR
90,Uricip F 4mg/5mg Tablet
91,Uricoshield 40mg Tablet
92,Uricostat 40 Tablet
93,Uricostat 80 Tablet
94,Uricrak 40mg Tablet
95,Uricure 300 Tablet
96,Urid 100mg Tablet
97,Urid 40mg Tablet
98,Uridale BPH 0.4mg/0.5mg Tablet MR
99,Urider 0.4mg Tablet
100,Uridin 2mg Capsule
101,Uridin 4mg Capsule
102,Uridip 100mg Tablet
103,Uridip 300mg Tablet
104,Uridol 20mg Tablet
105,Uridor Syrup
106,Uriease 40 Tablet
107,Urief Tablet
108,Urif 40 Tablet
109,Urifast 25mg/5ml Suspension
110,Urifast 50mg Tablet DT
111,Urifast CP 100mg Capsule
112,Urifast Capsule
113,Urifeb 40mg Tablet
114,Urifen 15mg Tablet
115,Urifen 7.5mg Tablet
116,Urifex 40mg Tablet
117,Urific 200mg Tablet
118,Urifine T 0.4mg/5mg Tablet
119,Urifinet 0.4 mg/5 mg Tablet
120,Urifit 40 Tablet
121,Urifix 40 Tablet
122,Uriflame Syrup
123,Uriflav 200mg Tablet
124,Uriflax 200mg Tablet
125,Uriflex 40mg Tablet
126,Uriflex 80mg Tablet
127,Uriflo F 0.4mg/5mg Tablet
128,Uriflow 1.38 Syrup
129,Urifrain 40 Tablet
130,Urifree Tablet
131,Urifree-O Tablet
132,Urifrix 1.4gm Syrup
133,Urifrix 1.4gm Syrup
134,Uriful D Tablet
135,Uriful Tablet MR
136,Urifur 100mg Tablet SR
137,Urigal 200 Tablet
138,Urigesic 200mg Tablet
139,Urigest 0.4mg Tablet
140,Urigest D 0.4mg/0.5mg Tablet
141,Urigo 40mg Tablet
142,Urigon 100mg Tablet
143,Urigout 40mg Tablet
144,Urigout 80mg Tablet
145,Urigrip 0.4mg Tablet ER
146,Urigut 100mg Tablet SR
147,Urijon 300mg Tablet
148,Urikem Syrup
149,Urikesid 80mg Tablet
150,Urikind Tablet
151,Urikind-K Solution
152,Urilab 40 Tablet
153,Urilact 40mg Tablet ER
