,items
0,UV Clav CV Dry Syrup
1,UV Kof Syrup
2,UV Lube Unims Eye Drop 0.5ml
3,UV Mont 5mg/10mg Tablet
4,UV Mont Kid 2.5mg/4mg Tablet
5,UV Relief P Syrup
6,UV Relief Syrup
7,UV Relief Tablet
8,UVNIL 5 MG TABLET
9,UVNosyl 400mg Tablet
10,Uv Dol 37.5mg/325mg Tablet
11,Uva Cef 100mg Tablet DT
12,Uva Cef 100mg/5ml Dry Syrup
13,Uva Cef 200mg Tablet
14,Uva Cef 50mg Dry Syrup
15,Uva Cef CV 200mg/125mg Tablet
16,Uva Cef CV 50mg/31.25mg Dry Syrup
17,Uvacef L 200 mg/250 mg Tablet
18,Uvaline 500mg Tablet
19,Uvamat 100mg Tablet
20,Uvamat 50mg Tablet
21,Uvanerv NT 75mg/10mg Tablet
22,Uvarab DSR 30mg/20mg Capsule
23,Uvazest 2mg Tablet
24,Uvdyne Mouth Wash
25,Uvefrost Eye Drop
26,Uverine P 750mcg/75mg Capsule
27,Uvex 750mg Tablet
28,Uvex OZ 250 mg/500 mg Tablet
29,Uvex OZ 250 mg/500 mg Tablet
30,Uvgem 1000mg Injection
31,Uvgem 1000mg Injection
32,Uvgem 200mg Injection
33,Uvido 300mg Tablet
34,Uvither 150mg Injection
35,Uvither L 80mg/480mg Tablet
36,Uvkare Cream
37,Uvlax Syrup
38,Uvmox 500mg/125mg Tablet
39,Uvnerv Injection
40,Uvoflox 250mg Tablet
41,Uvoflox 250mg Tablet
42,Uvoflox 500mg Tablet
43,Uvoflox OR 250mg/500mg Tablet
44,Uvox 100 Tablet
45,Uvox CR 100mg Tablet
46,Uvox CR 150 Tablet
47,Uvox Tablet
48,Uvpan-DSR Capsule
49,Uvpod 100mg Dry Syrup
50,Uvpod 200mg Tablet
51,Uvpod 50mg Dry Syrup
52,Uvpod CV DS Dry Syrup
53,Uvpod-CV 50 Dry Syrup
54,Uvron 100mg Injection
