,items
0,VAH 10MG TABLET
1,VAH 20MG TABLET
2,VAH MD 20MG TABLET
3,VAHFLAM 20 MG/500 MG TABLET
4,VALCONTIN 200 MG TABLET
5,VALCONTIN 300 MG TABLET
6,VALENT R  TABLET 80 MG/2.5 MG
7,VALENT R  TABLET 80 MG/5 MG
8,VALERATE N CREAM
9,VALPRET 500MG TABLET CR
10,VALZAAR H  TABLET 40MG/12.5MG
11,VALZAAR R TABLET
12,VARIACE 2.5 MG CAPSULE
13,VARIACE H 2.5 MG/12.5 MG TABLET
14,VASODAL 200MG CAPSULE
15,VASODAL 400MG CAPSULE
16,VASOTEL-H TABLET
17,VASOTRATE 10MG TABLET
18,VASTEL 40MG TABLET
19,Vabcard 5mg Tablet
20,Vabcefi 200 Tablet
21,Vabclav 625 Tablet
22,Vabderm-K Soap
23,Vabdolo P Tablet
24,Vabdolo SP 100mg/325mg/15mg Tablet
25,Vabhista 120mg Tablet
26,Vabhista AM 5mg/60mg Tablet
27,Vabitus-LS Syrup
28,Vabmont F 10mg/120mg Tablet
29,Vabmont L 5mg/10mg Tablet
30,Vabra 20mg Tablet
31,Vabra 40mg Tablet
32,Vabrab 20 Tablet
33,Vabrab-DSR Capsule
34,Vabscab Soap
35,Vacitane 2mg Tablet
36,Vacitane 5mg Tablet
37,Vacitane 5mg Tablet
38,Vacitane CH 100mg/2mg Tablet
39,Vacitane Plus 5mg/2mg Tablet
40,Vacosteo 5mg/100ml Infusion
41,Vacox 10mg Tablet
42,Vacox 40mg Tablet
43,Vactulose Syrup
44,Vactyph Vaccine
45,Vactyph Vaccine
46,Vacxone 1Gm Injection
47,Vacxone T 1000mg/125mg Injection
48,Vacxone-S Injection
49,Vader 60mg Tablet
50,Vader 90mg Tablet
51,Vadliv 300mg Tablet
52,Vadliv 300mg Tablet
53,Vadoxil Plus 10mg/10mg/2.5mg Tablet
54,Vag 450 Tablet
55,Vagacyte 450mg Tablet
56,Vagator 10mg Tablet
57,Vagator 20mg Tablet
58,Vagbod 0.2 Tablet
59,Vagbod 0.3 Tablet
60,Vageston 100mg Capsule
61,Vageston 100mg Injection
62,Vageston 200mg Capsule
63,Vageston 300mg Capsule
64,Vagi CL Tablet VT
65,Vagi Kit
66,Vagi Tablet VT
67,Vagi Vaginal cream
68,Vagibact Softule
69,Vagid 100mg Pessaries
70,Vagid CL Suppository
71,Vagikrem Vaginal Capsule
72,Vagilyte 2% Vaginal gel
73,Vagilyte Plus Vaginal Capsule
74,Vagimoist Vaginal cream
75,Vagimycin Vaginal Capsule
76,Vaginil 1% Vaginal cream
77,Vaginil Spray
78,Vaginobact 1000 mg/750 mg/150 mg Tablet
79,Vagisoft 3 Vaginal Suppository
80,Vagivib 100mg/200mg Vaginal Capsule
81,Vagolate 0.2mg Injection
82,Vagolip 10mg Tablet
83,Vagolip 20 Tablet
84,Vaidic Tablet
85,Vaidik 50mg/325mg/10mg Tablet
86,Vainlink 1500mcg Injection
87,Vainlink 1500mcg Injection
88,Vainlink P 750mcg/75mg Tablet
89,Vakcef 100 DT Tablet
90,Vakcef 200mg Tablet
91,Vakcef Dry Syrup
92,Vakcet Oral Suspension
93,Vakcet Oral Suspension
94,Vaktear Eye Drop
95,Val 200mg Tablet
96,Val 200mg Tablet XR
97,Val 200mg Tablet XR
98,Val 300mg Tablet XR
99,Val 5mg Tablet
100,Val 5mg Tablet
101,Val Cap 333mg/145mg Tablet CR
102,Val Cetril 5mg Tablet
103,Valaid SP 50 mg/325 mg/15 mg Tablet
104,Valamac 1000mg Tablet
105,Valamac 500mg Tablet
106,Valamate 8mg Injection
