,items
0,VC MR Plus 100mg/2mg Capsule
1,VC-Mox Dry Syrup
2,Vcad 1mg Injection
3,Vcandi Gel
4,Vcef 1000 mg/500 mg Injection
5,Vcef Injection
6,Vcef O 100mg Tablet DT
7,Vcef O 200mg Tablet DT
8,Vcef O 50mg Dry Syrup
9,Vcef Plus 200 mg/200 mg Tablet
10,Vcerein GM 50mg/750mg/250mg Tablet
11,Vcfen TH 100mg/4mg Tablet
12,Vcfen-P Oral Suspension
13,Vcfen-P Tablet
14,Vcfen-SP Tablet
15,Vcon 150mg Tablet
16,Vconat 500mg Injection
17,Vcool Oral Suspension Mango Sugar Free
18,Vcool Oral Suspension Mint Sugar Free
19,Vcool Oral Suspension Saunf
20,Vcool Plus Syrup
21,Vcor C Injection
22,Vcor D 60000IU Injection
23,Vcor P 1500mcg/75mg Tablet SR
24,Vcor-NT Tablet
25,Vcor-PG Capsule
26,Vcort 6 Tablet
27,Vct Plus 5mg/10mg Tablet
28,Vczit 500mg Tablet
