,items
0,VIB 12 1000mcg Injection
1,VIBAZIME 100 MG TABLET DT
2,VIBAZIME DUO  TABLET 100 MG/62.5 MG
3,VIBOLIV 300 MG INJECTION
4,VIDA 50MG TABLET
5,VINCORT 30 MG TABLET
6,VINCORT 6 MG TABLET
7,VITARESP M 4MG TABLET
8,VITOFLOX O SYRUP
9,Viacerin-GM Tablet
10,Viacet-M 5mg/10mg Tablet
11,Viaflut Cream
12,Viagra 100mg Tablet
13,Viagra 50mg Tablet
14,Vialet Tablet
15,Vialet Tablet
16,Viartril 500mg Capsule
17,Viartril Sachet
18,Viartrix 1500mg Powder
19,Viartrix 250mg Capsule
20,Viartrix 500mg Capsule
21,Viatran 1000 mg/500 mg Injection
22,Viatran 2000mg/1000mg Injection
23,Vibacetam 800mg Tablet
24,Vibanuron Tablet
25,Vibapti Syrup
26,Vibatryp 10 Tablet
27,Vibatryp 25mg Tablet
28,Vibatryp-H Tablet
29,Vibazime 200 DT Tablet
30,Vibazime Duo 200 mg/125 mg Tablet
31,Vibclop Cream
32,Vibclop S Cream
33,Vibcoli Dry Syrup
34,Vibcort 6 Tablet
35,Vibdoxo 400mg Tablet
36,Vibdoxo-AM Tablet
37,Vibflur 0.03% Eye Drop
38,Vibglow 5mg Tablet
39,Vibgraf Ointment
40,Vibicol Plus Injection
41,Vibite 100mg Tablet SR
42,Vibite 50mg Tablet
43,Vibite M 1000 Tablet
44,Vibite M 500 Tablet
45,Vibketo M Eye Drop
46,Vibmoist Eye Drop
47,Vibmont-L Tablet
48,Vibmoxi D Eye Drop
49,Vibmoxi Eye Drop
50,Vibmoxi Eye Ointment
51,Vibmoxi LP Eye Drop
52,Vibnemic 500mg Tablet
53,Vibnemic Injection
54,Vibnemic Injection
55,Vibnemic MF Tablet
56,Vibodep 20 Capsule
57,Viboflo Tablet
58,Viboflo-OZ Tablet
59,Vibogest 250 Injection
60,Vibogest 500 Injection
61,Viboheal Tablet
62,Viboliv Tablet
63,Vibolol PR 25 Tablet
64,Vibolol PR 50 Tablet
65,Vibolop 0.1% Eye Drop
66,Vibolop 0.2% Eye Drop
67,Vibonate Injection
68,Vibonep Eye Drop
69,Vibopark Tablet
70,Vibopride 100mg Tablet
71,Vibospas Tablet
72,Vibotaz 4.5 Injection
73,Vibotim 0.5% Eye Drop
74,Vibpan 40 Tablet
75,Vibpan-D Tablet
76,Vibpan-IT Capsule SR
77,Vibpin IV 40mg Injection
78,Vibpreg 75 Capsule
79,Vibpreg 75 Capsule
80,Vibpreg M 75 Capsule
81,Vibpreg NT 75mg/10mg Tablet
82,Vibpride 40mg Injection
83,Vibpride 8mg Tablet
84,Vibrab 20 Tablet
85,Vibrab-D 10mg/20mg Tablet
86,Vibrab-D 10mg/20mg Tablet
87,Vibrab-DSR Capsule
88,Vibrab-IT Capsule SR
89,Vibrab-LS Capsule SR
90,Vibranerve NT Tablet
91,Vibrania-P Capsule
92,Vibraset PNT 75mg/10mg/1500mcg Tablet
93,Vibrex 20mg Tablet
94,Vibrex 40mg Tablet
95,Vibro 10mg Injection
96,Vibro 4mg Injection
97,Vibsan 0.2mg Tablet
98,Vibsan 0.3mg Tablet
99,Vibtears Eye Drop
100,Vibtears Plus Eye Drop
101,Vibther Injection
102,Vibtobra Eye Drop
103,Vibtobra-F Eye Drop
104,Vibtral Syrup
105,Vibu Para 100mg/162.5mg Syrup
106,Vibu Para 100mg/162.5mg Syrup
107,Vibuzole 40mg Injection
108,Vibuzole 40mg Injection
109,Vibzi 5mg Tablet
110,Vicadin 10mg/120mg Tablet
111,Vicamide Plus Eye Drop
112,Vicard T 1mg Tablet
113,Vicard T 2mg Tablet
