,items
0,VR Fxim 200mg Tablet
1,VR Fxim 200mg Tablet
2,VR Fxim CV 200mg/125mg Tablet
3,Vremiya 30mg Tablet
4,Vrety 25mg Tablet
5,Vreza M 500mg/50mg Tablet
6,Vriace 200mg Tablet SR
7,Vriace P 100mg/325mg Tablet
8,Vriace P Oral Suspension
9,Vriace PS 100mg/500mg/15mg Tablet
10,Vriace T 100mg/4mg Tablet
11,Vriace T 100mg/8mg Tablet
12,Vrialka 1.53gm Syrup
13,Vribose 0.2mg Tablet
14,Vribose 0.3mg Tablet
15,Vrical 600000IU Injection
16,Vrichest Cold 1mg/125mg/2.5mg Syrup
17,Vricillin TZ 4000mg/500mg Injection
18,Vricip CF Cream
19,Vriclean 600mg Injection
20,Vriclean N Gel
21,Vriclob NM Cream
22,Vriclor 5mg Oral Solution
23,Vricobal  Plus Injection
24,Vricobal 1500mcg Injection
25,Vricobal Forte Injection
26,Vricort 6mg Oral Suspension
27,Vricort 6mg Tablet
28,Vridec 25mg Injection
29,Vridec 50mg Injection
30,Vridime 1000mg Injection
31,Vridime 250mg Injection
32,Vridot 40mg Injection
33,Vridot MF 80mg/250mg Tablet
34,Vriestran 1mg/100mg Injection
35,Vrift 1000mg Injection
36,Vrift 1000mg Injection
37,Vrift 250mg Injection
38,Vrift 500mg Injection
39,Vrift S 1000mg/500mg Injection
40,Vrift TZ 1000mg/125mg Injection
41,Vrigest 100mg Soft Gelatin Capsule
42,Vrigest 200mg Injection
43,Vrigest 200mg Soft Gelatin Capsule
44,Vriglit 15mg Tablet
45,Vriglit 30mg Tablet
46,Vrikast 10mg Tablet
47,Vrikast LC 5mg/10mg Tablet
48,Vrikast LC Kid 2.5mg/4mg Tablet
49,Vrikast LC Syrup
50,Vrilevo 250mg Tablet
51,Vrilevo 500mg Tablet
52,Vriliv 150mg Tablet
53,Vriliv 300mg Tablet
54,Vrilor P 8mg/500mg Tablet
55,Vrilor P NF 8mg/325mg Tablet
56,Vriloric 100mg Tablet
57,Vrimet 1000mg Tablet SR
58,Vrimet 500mg Tablet
59,Vrimet 500mg Tablet SR
60,Vrimet Forte GL 1mg/1000mg Tablet SR
61,Vrimet Forte GL 2mg/1000mg Tablet SR
62,Vrimet Forte GLP 1mg/1000mg/15mg Tablet SR
63,Vrimet Forte GLP 2mg/1000mg/15mg Tablet SR
64,Vrimika 100mg Injection
65,Vrimika 500mg Injection
66,Vrimox 125mg Dry Syrup
67,Vrimox 250mg Capsule
68,Vrimox 250mg Tablet DT
69,Vrimox 500mg Capsule
70,Vrimox Clav 250mg/125mg Tablet
71,Vrimox Clav 500mg/125mg Tablet
72,Vrimox Clav Dry Syrup
73,Vrimox Clav Duo 875mg/125mg Tablet
74,Vrimox Clav Duo Dry Syrup
75,Vrimox Clav Kid 200mg/28.5mg Tablet
76,Vrimox Plus 250mg/250mg Capsule
77,Vrinaaz 150mg Tablet
78,Vrinaaz 200mg Tablet
79,Vrinase 0.65% Nasal Drops
80,Vrindine 5% Ointment
81,Vrindine OZ Ointment
82,Vrini Gel
83,Vrinrose 100mg Injection
84,Vriom 20mg Capsule
85,Vriom D 10mg/20mg Capsule
86,Vripec Syrup
87,Vripod 100mg Dry Syrup
88,Vripod 100mg Tablet DT
89,Vripod 200mg Tablet DT
90,Vripod Clav Dry Syrup
91,Vripod DS 50mg Dry Syrup
92,Vripride 1mg Tablet
93,Vripride 2mg Tablet
94,Vripride M 1mg/500mg Tablet
95,Vripride M 2mg/500mg Tablet
96,Vripride PM 1mg/500mg/15mg Tablet SR
97,Vripride PM 2mg/500mg/15mg Tablet
98,Vrisar 50mg Tablet
99,Vrisar AM 50mg/5mg Tablet
100,Vrisar H Plus 50mg/12.5mg Tablet
101,Vriscab Lotion
102,Vrispas 20mg/500mg Tablet
103,Vristat FB 10mg/160mg Tablet
104,Vrisucra O Oral Suspension
105,Vrital 20mg Tablet
106,Vrital 40mg Tablet
107,Vrital 80mg Tablet
108,Vrital AM 40mg/5mg Tablet
109,Vrital H 40mg/12.5mg Tablet
110,Vrital H 80mg/12.5mg Tablet
111,Vrither 150mg Injection
112,Vrither L 80mg/480mg Tablet
113,Vrither L Dry Syrup
114,Vrito Rab 20mg/150mg Capsule SR
115,Vritrans  MF 500mg/250mg Tablet
116,Vritrans 500mg Injection
117,Vrizid M 80mg/500mg Tablet SR
118,Vrizolid 600mg Tablet
119,Vroace P 100mg/325mg Tablet
120,Vroace P Oral Suspension
121,Vroace SP 100mg/325mg/15mg Tablet
122,Vroace T 100mg/4mg Tablet
123,Vrochitor 10mg Tablet
124,Vrochitor 40mg Tablet
125,Vrodic 75 Injection
126,Vrodic MR Tablet
127,Vrodic P 50mg/325mg Tablet
128,Vrodic SP Tablet
129,Vromol 250mg Oral Suspension
130,Vromol 650 Tablet
131,Vrorex-A Syrup
132,Vrorex-AT Syrup
133,Vrorex-BR Syrup
134,Vrorex-D Syrup
135,Vrorex-LS Syrup
136,Vrota M 80mg/250mg Tablet
137,Vrox 250mg Tablet
138,Vrox 250mg Tablet
139,Vrpz 40mg Tablet
140,Vrpz-DSR Capsule
