,items
0,WAF 5 Tablet
1,WAX D EAR DROP
2,Wadflox OZ 200mg/500mg Tablet
3,Wadol 100mg Injection
4,Waflin A Syrup
5,Waflin L Syrup
6,Waflin-A Oral Drop
7,Waga 200mg Tablet
8,Waga 400mg Tablet
9,Waga Kid 100mg Tablet
10,Waga MZ Suspension
11,Waga-NT Syrup
12,Wagra 100mg Tablet
13,Wagra 50mg Tablet
14,Wagus D 30mg/20mg Capsule SR
15,Wagus IT 20mg/150mg Capsule SR
16,Wahcin-D Tablet
17,Wahfix 100mg Tablet
18,Wahfix 200 Tablet DT
19,Wahfix CV 200mg/125mg Tablet
20,Wahfix Dry Syrup
21,Wahfix-LB 200 Tablet DT
22,Wahfix-O Tablet
23,Wahrab Tablet
24,Wahrab-DSR Capsule
25,Wahrab-LS Capsule SR
26,Waifel Cream
27,Wajuflu 200 Tablet
28,Wajuflu Tablet
29,Wakactive 100mg Tablet
30,Wakactive 200mg Tablet
31,Wakcef 1.5gm Injection
32,Wakcef 500mg Tablet
33,Wakcerin-GM Tablet
34,Wakcet 5mg Tablet
35,Wakcet-A Tablet
36,Wakcet-M Tablet
37,Wakfree Tablet
38,Waklert 100mg Tablet
39,Waklert 150 Tablet
40,Waklert 250mg Tablet
41,Waklert 50 Tablet
42,Walacort 0.12% Cream
43,Walacort Tablet
44,Waladerm Cream
45,Waladrox 125mg Suspension
46,Waladrox 125mg Tablet
47,Waladrox 250mg Tablet
48,Waladrox 500mg Tablet
49,Waladrox AX 45 mg/500 mg Tablet
50,Walagat 400mg Tablet
51,Walagat AX 60 mg/400 mg Tablet
52,Walagat OZ 200 mg/500 mg Tablet
53,Walagesic 650mg/65mg Capsule
54,Walagest 100mg Capsule
55,Walagest 200mg Capsule
56,Walagra 100mg Tablet
57,Walagra 50mg Tablet
58,Walagram DS Dry Syrup
59,Walagyl 12.5mg Syrup
60,Walamox 125mg Dry Syrup
61,Walamox 250mg Capsule
62,Walamox 250mg Dry Syrup
63,Walamox 500mg Capsule
64,Walamox CV 250mg/125mg Tablet
65,Walamox CV 875mg/125mg Tablet
66,Walamox CV Dry Syrup
67,Walamycin  DS 25mg Suspension
68,Walamycin Suspension
69,Walapan 40mg Injection
70,Walapan 40mg Tablet
71,Walapan L 75mg/40mg Capsule SR
72,Walapan-D 10mg/40mg Tablet
73,Walapan-DSR Capsule
74,Walaphage -SR 1000 Tablet
75,Walaphage -SR 500 Tablet
76,Walaphage 500 Tablet
77,Walaphage 850 Tablet
