,items
0,WYSOLONE 5 MG TABLET
1,Wyace 100mg Tablet
2,Wyace 200mg Tablet SR
3,Wyace Plus 100mg/500mg Tablet
4,Wyaze 500mg Tablet
5,Wycalm 0.25mg Tablet
6,Wycalm 0.5mg Tablet
7,Wycef 1000mg Injection
8,Wycef 250mg Injection
9,Wycef 500mg Injection
10,Wycef S 1000mg/500mg Injection
11,Wycef S 250mg/125mg Injection
12,Wycef S 500mg/250mg Injection
13,Wyceft 1000mg Injection
14,Wyceft 250mg Injection
15,Wyceft 250mg Tablet
16,Wyceft 500mg Tablet
17,Wycel 200mg Capsule
18,Wycid 20mg Capsule
19,Wycid Plus 10mg/20mg Capsule
20,Wycin 100mg Injection
21,Wycin 100mg Injection
22,Wycin 250mg Injection
23,Wycin 500mg Injection
24,Wyclav CV 250mg/125mg Tablet
25,Wyclav Dry Syrup
26,Wyclav-CV 625 Tablet
27,Wyclida 300mg Capsule
28,Wyclida 300mg Injection
29,Wyclida-CZ Vaginal Softgel Capsule
30,Wyclovir 250mg Injection
31,Wyclox Capsule
32,Wycoff BM Syrup
33,Wycon 150mg Tablet
34,Wycox 450mg/300mg Capsule
35,Wycrimox 1000mg/200mg Injection
36,Wydase Forte 10mg Tablet
37,Wydrox 250mg Tablet
38,Wydrox 250mg Tablet
39,Wydrox 500mg Tablet
40,Wydrox Dry Syrup
41,Wydrox Dry Syrup
42,Wyfix 100mg Tablet DT
43,Wyfix 200mg Tablet DT
44,Wyfix 50mg Dry Syrup
45,Wyfix AZ 200mg/250mg Tablet
46,Wyfix CV 200mg/125mg Tablet
47,Wyfix-O Tablet
48,Wyflame 100mg/500mg/10mg Tablet
49,Wyflox 100mg Tablet DT
50,Wyflox 100mg Tablet DT
51,Wyflox 200mg Tablet
52,Wyflox 400mg Tablet
53,Wyflox 50mg Oral Suspension
54,Wyflox 50mg Syrup
55,Wyflox M Suspension
56,Wyflox OZ 200mg/500mg Tablet
57,Wyflox OZ Syrup
58,Wyflox OZ Syrup
59,Wyflox OZ Syrup
60,Wyflox TZ 400mg/600mg Tablet
61,Wyject Injection
62,Wykacin 100mg Injection
63,Wylan 30mg Capsule
64,Wylid 100mg Tablet
65,Wylor 10mg Tablet
66,Wymesone 0.5mg Tablet
67,Wymesone 4mg Injection
68,Wymet 500mg Tablet SR
69,Wymox 125mg Dry Syrup
70,Wymox 125mg Dry Syrup
71,Wymox 250mg Capsule
72,Wymox 250mg Injection
73,Wymox 250mg Tablet DT
74,Wymox 500mg Capsule
75,Wymox 500mg Injection
76,Wymox Kid 125mg Tablet
77,Wynax 500mg/150mg Tablet
78,Wyngat Eye Drop
79,Wynim P 100mg/325mg Tablet
80,Wynlote 0.5% Eye Drop
81,Wynnum 5gm Injection
82,Wyon 150mg Tablet
83,Wypal 200 mg/40 mg Suspension
84,Wypal 400mg/80mg Tablet
85,Wypal 800mg/160mg Tablet
86,Wypal Suspension
87,Wypal Syrup
88,Wypan 40mg Injection
89,Wypan 40mg Tablet
90,Wypar 100mg/500mg Tablet
91,Wypod 100mg Tablet
92,Wypod 200mg Tablet
93,Wypod 50mg Syrup
94,Wypod 50mg Tablet
95,Wypred 5mg Tablet
96,Wyproz 20mg Capsule
97,Wyquine 300mg Tablet
98,Wyquine 300mg Tablet
99,Wyrab 20mg Tablet
100,Wyrab D 10mg/20mg Tablet
101,Wyrox Suspension
102,Wyrox Suspension
103,Wyserin 250mg Tablet
104,Wyserin 500mg Tablet
105,Wysodol 400mg/325mg Tablet
106,Wysolone 10 Tablet DT
107,Wysolone 20 Tablet DT
108,Wysolone 30mg Tablet
109,Wysolone 40mg Tablet
110,Wysolone 5 Tablet DT
111,Wysonit 10mg Tablet
112,Wysonit 5mg Tablet
113,Wyspar 200mg Tablet
114,Wyspas 10mg/250mg Tablet
115,Wyspas DS Oral Suspension
116,Wyspas Oral Suspension
117,Wytax 1000mg Injection
118,Wytax 200mg Tablet
119,Wytax 250mg Injection
120,Wytax 500mg Injection
121,Wythar 250mg Tablet
122,Wythar 500mg Tablet
123,Wythar Oral Drops
124,Wytopan 40 Tablet
125,Wytopan-D Tablet
126,Wytopan-DSR Capsule
127,Wytorab 20 Tablet
128,Wytorab-D Tablet
129,Wytorab-DSR Capsule
130,Wytorab-XL Capsule SR
131,Wytoram 500mg/800mg Tablet
132,Wytoram C 250mg Injection
133,Wytoram C 500mg Tablet
134,Wytrol Capsule
135,Wytrol Capsule
136,Wytuss Syrup
137,Wyu Podze 200mg/250mg Tablet
138,Wyuclav-625 LB Tablet
139,Wyukoxia 120mg Tablet
140,Wyurab L 75mg/20mg Capsule SR
141,Wyurab-DSR 30mg/20mg Capsule
142,Wyzone Injection
