,items
0,XE CA Dry Syrup
1,XE L 500mg/600mg Tablet
2,XEFEXOR 20MG TABLET
3,Xe 125mg Dry Syrup
4,Xe 250mg Tablet
5,Xe 500mg Tablet
6,Xe 750mg Injection
7,Xe Cure 100mg Tablet
8,Xe Cure 200mg Tablet
9,Xe Cure 50mg Syrup
10,XeFexor-Duo Tablet
11,Xeb 20mg Tablet
12,Xeb D 30mg/20mg Capsule SR
13,Xebac 250mg Tablet
14,Xebex 325mg/37.5mg Tablet
15,Xecap 500mg Tablet
16,Xecef-S 500mg/500mg Injection
17,Xeclof ASP 100mg/325mg/15mg Tablet
18,Xeclof P 100mg/500mg Tablet
19,Xeclof TS 100mg/4mg Tablet
20,Xeclof-Plus Tablet
21,Xecute 100mg Tablet
22,Xecute 200mg Tablet
23,Xecute 50mg Dry Syrup
24,Xecute 50mg Tablet
25,Xecute AZ 200 mg/250 mg Tablet
26,Xecute CV 100 mg/62.5 mg Tablet DT
27,Xecute CV 200 mg/125 mg Tablet
28,Xecute O 200 mg/200 mg Tablet
29,Xecute S 1000 mg/1000 mg Injection
30,Xecute S 1000 mg/500 mg Injection
31,Xecute SB 1000mg/500mg Injection
32,Xecute Turbo 200mg/600mg Tablet
33,Xedo 200mg Tablet
34,Xedo 200mg Tablet
35,Xedo 50mg Dry Syrup
36,Xedom Tablet
37,Xeeclo Forte Tablet
38,Xeeclot 100mg/4mg Tablet
39,Xeeclot 100mg/8mg Tablet
40,Xefdim 200 DT Tablet
41,Xefdim 50mg Dry Syrup
42,Xefexor 10mg Tablet
43,Xefexor Plus 0.5mg/10mg Tablet
44,Xefix O 200mg/200mg Tablet
45,Xefolxir-S 1.5gm Injection
46,Xefolxir-S 1gm Injection
47,Xefotil 200 Tablet
48,Xefotil C Tablet
49,Xefotil L 200mg/250mg Tablet
50,Xefpod 100mg Tablet DT
51,Xefpod 200mg Tablet DT
52,Xefru 500mg Tablet
53,Xefry 250mg Injection
54,Xefry 500mg Injection
55,Xefry 500mg Injection
56,Xefry SB 1000mg/500mg Injection
57,Xefta 250mg Tablet
58,Xeldin 20mg Tablet
59,Xelena 15mg Tablet
60,Xelena 7.5mg Tablet
61,Xelflo 10mg Tablet
62,Xelglip M 1mg/500mg Tablet
63,Xelglip M 2mg/500mg Tablet
64,Xelglip M Forte 2mg/1000mg Tablet
65,Xelife 250mg Tablet
66,Xelife 500mg Tablet
67,Xelium 10mg Tablet
68,Xelium 5mg Tablet
