,items
0,YAZ Tablet
1,Yabeta 16mg Tablet
2,Yacadine 5% Lotion
3,Yacadine 5% Lotion
4,Yacadine 5% Ointment
5,Yacanor 400mg/600mg Tablet
6,Yacaphen Plus 400mg/500mg Tablet
7,Yacca Place 5 mg/2 mg/10 mg Tablet
8,Yacca-Lyte Syrup
9,Yaccalyte Syrup
10,Yacert 50mg Tablet
11,Yama K Injection
12,Yama P 50mg/325mg Tablet
13,Yama S 50mg/15mg Tablet
14,Yama SP 50mg/325mg/15mg Tablet
15,Yama Safe 90mg/48mg/100mg Tablet
16,Yama Safe D Tablet
17,Yamclox LB Capsule
18,Yamika 100mg Injection
19,Yamika 500mg Injection
20,Yamini LS Kit
21,Yamini Tablet
22,Yamipride 100 Tablet
23,Yamipride 50 Tablet
24,Yamnac-MR Tablet
25,Yamnac-P Tablet
26,Yamnac-SP Tablet
27,Yamnac-T Tablet
28,Yana P 100mg/500mg Tablet
29,Yanci  Tablet
30,Yanic 250mg Tablet
31,Yanic 500mg Tablet
32,Yanic Syrup
33,Yaniclox CF 200mg/500mg Tablet
34,Yaniclox Cfp 200mg/500mg Tablet
35,Yanicold 5mg/325mg/10mg Tablet
36,Yanicold Oral Drops
37,Yanifix 100mg Tablet DT
38,Yanifix 200mg Tablet DT
39,Yanifix 50mg Dry Syrup
40,Yanifix CL 200mg/125mg Tablet
41,Yanifix OZ 200mg/500mg Tablet
42,Yaniline 600mg Tablet
43,Yaninim 100mg Tablet MD
44,Yaninim 100mg/325mg Tablet
45,Yaninim Forte 100mg/325mg/10mg Tablet
46,Yanipreg 100mg Soft Gelatin Capsule
47,Yanipreg 200mg Soft Gelatin Capsule
48,Yanipreg 300mg Soft Gelatin Capsule
49,Yanitel 20mg Tablet
50,Yanitel 40mg Tablet
51,Yanitel 80mg Tablet
52,Yanitel H 40mg/12.5mg Tablet
53,Yapat 0.1% Eye Drop
54,Yapat KT Eye Drop
55,Yash ZI 100mg/5ml Syrup
56,Yash ZI 250mg Tablet
57,Yash ZI 500mg Tablet
58,Yashcold Tablet
59,Yasmin Tablet
60,Yasofyl 400mg Tablet
61,Yavir Eye Ointment
62,Yavir Eye Ointment
63,Yavisc Injection
64,Yavisc Ophthalmic Solution
65,Yaw 10 Tablet
66,Yaw 2.5 Tablet
67,Yaw 5 Tablet
68,Yaw Plus 10mg/30mg Tablet
69,Yax CV 500mg/125mg Tablet
70,Yax CV Dry Syrup
71,Yaxi 20mg Tablet DT
72,Yaxocet 10mg Tablet
73,Yaxocip 500mg Tablet
74,Yaxodase 10mg Tablet
75,Yaxoflex 60mg/4mg Tablet
76,Yaxolizer Syrup
77,Yaxoslide P 100mg/325mg Tablet
78,Yaxotel H 40mg/12.5mg Tablet
79,Yazi 250mg Tablet
80,Yazi 500mg Tablet
81,Yazone 1000mg Injection
82,Yazone S 1000mg/500mg Injection
