,items
0,Yocam 20mg Injection
1,Yocam 20mg Tablet
2,Yocef 100mg Tablet
3,Yocef 200mg Tablet
4,Yocet 5mg Tablet
5,Yocet M 5mg/10mg Tablet
6,Yoclav 500mg/125mg Tablet
7,Yoclav Dry Syrup
8,Yococef 100mg Tablet DT
9,Yococef 200mg Tablet DT
10,Yococef 50mg Dry Syrup
11,Yococef 50mg Tablet DT
12,Yococef CL 200mg/125mg Tablet
13,Yococef OF 200mg/200mg Tablet
14,Yococef OF 200mg/200mg Tablet
15,Yococip 500mg Tablet
16,Yocofate 1000mg Syrup
17,Yocofate Oxt Syrup
18,Yocofine 250mg Tablet
19,Yocoflex 50mg Capsule
20,Yocoflex GM 50mg/500mg/50mg Tablet
21,Yocoflu 150mg Tablet
22,Yocoliv 250mg Tablet
23,Yocoliv 500mg Tablet
24,Yocoset 2mg Injection
25,Yocoset 4mg Tablet
26,Yocozol 20mg Capsule
27,Yocozol D 10mg/20mg Capsule
28,Yodec 25mg Injection
29,Yodec 50mg Injection
30,Yodilite-L 40mg/240mg Tablet
31,Yodilite-L Plus 80mg/480mg Tablet
32,Yodon 10mg Tablet
33,Yofix 100mg Tablet
34,Yofix 200mg Tablet
35,Yofix 50mg Dry Syrup
36,Yofix 50mg Tablet DT
37,Yofix AZ 200mg/250mg Tablet
38,Yofix C 200mg/125mg Tablet
39,Yoflin 400mg Tablet
40,Yoflin-AX 400mg/30mg Tablet
41,Yoflox 200mg Tablet
42,Yoflox 400mg Tablet
43,Yoflox OZ 200 mg/500 mg Tablet
44,Yogabos 0.2 Tablet
45,Yogabos 0.3 Tablet
46,Yogamet-GM 1 Forte Tablet
47,Yogamet-GM 1 Tablet ER
48,Yogamet-GM 2 Forte Tablet
49,Yogamet-GM 2 Tablet ER
50,Yogamet-GMP 1 Tablet ER
51,Yogamet-GMP 2 Tablet
52,Yogamin-M 75 Capsule
53,Yogaprol 25 Tablet ER
54,Yogaprol 50 Tablet ER
55,Yogaprol-AM 50 Tablet
56,Yogaros 10 Tablet
57,Yogaros 20 Tablet
58,Yogaros 40 Tablet
59,Yogaros 5 Tablet
60,Yogaros Gold 75mg/20mg/75mg Capsule
61,Yogatel 20 Tablet
62,Yogatel 40 Tablet
63,Yogatel 80 Tablet
64,Yogatel-AH 40 Tablet
65,Yogatel-AM 40mg/5mg Tablet
66,Yogatel-CH 40 Tablet
67,Yogatel-CH 80 Tablet
68,Yogatel-H 40 Tablet
69,Yogatel-H 80 Tablet
70,Yogazam 10mg Tablet
71,Yogazam 5mg Tablet
72,Yohit 100mg Capsule
73,Yohit 200 Capsule
74,Yojus-CV Dry Syrup Orange
75,Yoketo 2% Cream
76,Yolaz 30mg Capsule
77,Yoltoclav 500mg/125mg Tablet
78,Yoltoclav Syrup
79,Yom MPS Syrup
80,Yomfate Syrup
81,Yomfate-O Suspension
82,Yomzole 20mg Capsule
83,Yoncef 1000mg/500mg Injection
84,Yoncef 250mg/125mg Injection
85,Yondelis Injection
86,Yonflox 200mg Tablet
87,Yonikast FX 10mg/120mg Tablet
88,Yonikast L 5mg/10mg Tablet
89,Yonikast L Kid 2.5mg/4mg Tablet
90,Yonikast LC Syrup
91,Yonim P 100mg/325mg Tablet
92,Yonimac 0.2mg Tablet
93,Yoniprime 5% Lotion
94,Yonireb 20mg Tablet
95,Yonireb D 10mg/20mg Tablet
96,Yonireb D 30mg/20mg Capsule SR
97,Yonireb IT 20mg/150mg Capsule SR
98,Yonireb LS 75mg/20mg Capsule SR
99,Yoodh 200 mg/500 mg Tablet
100,Yoor 500mg Tablet
101,Yoplin-T 4gm/0.5gm Injection
102,Yopon  Syrup
103,Yopreg Tablet
104,Yorab 20mg Tablet
105,Yorab D 30mg/20mg Capsule SR
106,Yorab LS 75mg/20mg Capsule
107,Yorcet 5mg Tablet
108,Yoricip T Syrup
109,Yoriclav 1000mg/200mg Injection
110,Yoriclav 500mg/125mg Tablet
111,Yoriclav Dry Syrup
112,Yoricold Syrup
113,Yoridine 5% Ointment
114,Yoridiv 75mg Injection
115,Yoridiv MR 250mg/50mg/325mg Tablet
116,Yoridol 50mg Injection
117,Yorifex 120mg Tablet
118,Yorifex M 10mg/120mg Tablet
119,Yoriflox 500mg Tablet
120,Yorimeth 1500mcg Injection
121,Yorimeth P 1500mcg/75mg Tablet SR
122,Yorimin G 80mg/500mg Tablet
123,Yorimox LB 250mg Capsule
124,Yorimox LB 500mg Capsule
125,Yorinad 50mg Injection
126,Yorinor TZ 400mg/600mg Tablet
127,Yorion 2mg Injection
128,Yorion 4mg Tablet MD
129,Yoripan 40mg Injection
130,Yoripan 40mg Tablet
131,Yoripan D 30mg/40mg Capsule SR
132,Yorirab D 10mg/20mg Tablet
133,Yorirab D 30mg/20mg Capsule SR
134,Yoritad 20mg Tablet
135,Yorizole I 6mg/400mg Tablet
136,Yorkee 1000mg Injection
137,Yorkee 100mg Tablet DT
138,Yorkee 200mg Tablet DT
139,Yorkee 50mg Oral Suspension
140,Yorkee Forte 1000mg/500mg Injection
141,Yorker 500mg/600mg Tablet
142,Yormet V 2mg/500mg/0.2mg Tablet
143,Yorofin Oral Suspension
144,Yoromol 1000mg Infusion
145,Yoromol 100mg Oral Drops
146,Yoromol 250mg Oral Suspension
147,Yoromol 650mg Tablet
148,Yoronox P 8mg/325mg Tablet
149,Yorul 300mg Tablet
150,Yosin BRD Tablet
151,Yotel 40mg Tablet
152,Yotel AM 40mg/5mg Tablet
153,Yotel H 40mg/12.5mg Tablet
154,Yotel H 40mg/12.5mg Tablet
155,Yougaba 75mg Capsule
156,Yougaba M 750mcg/75mg Capsule
157,Yourcef 1000mg Injection
158,Yourcef S 500mg/500mg Injection
159,Yourclox 1000mg/200mg Injection
160,Yourclox 500mg Capsule
161,Yourclox 500mg/125mg Tablet
162,Yourclox DC 250mg/250mg Capsule
163,Yourclox Dry Syrup
164,Yourflox 1000mg Injection
165,Yourflox 250mg Injection
166,Yourflox 500mg Injection
167,Yourflox SB 1000mg/500mg Injection
168,Yourflox SB 250mg/125mg Injection
169,Yourglu DM 50mg/750mg/250mg Tablet
170,Yourxim 250mg Tablet
171,Yourxim 500mg Tablet
172,Yourxim CV 500mg/125mg Tablet
173,Yoxacin 200 Tablet
174,Yoxacin OZ 200mg/500mg Tablet
175,Yoxadine Syrup
176,Yoxafine Ointment
177,Yoxaome D 10mg/20mg Capsule
178,Yoxi-P 8mg/325mg Tablet
179,Yoxicam 8mg/325mg Tablet
180,Yoxicam TH 8mg/4mg Tablet
181,Yoxolin 4000mg/500mg Injection
182,Yoxyzine 25mg Tablet
183,Yoyo 500mg Tablet
184,Yoyo DX Syrup
185,Yoyocold Tablet
186,Yozid 1000mg Injection
187,Yozid 250mg Injection
188,Yozith 500mg Tablet
189,Yozole 150mg Tablet
