,items
0,Yucin 500mg Tablet
1,Yuclox DC 250mg/250mg Capsule
2,Yudlox 200mg Tablet
3,Yudolic 300mg Tablet
4,Yufexim 200mg Tablet DT
5,Yugclave 625 Tablet
6,Yugmoxy 500 Capsule
7,Yugprol AM 50 Tablet
8,Yugprol ER 25 Tablet
9,Yugprol ER 50 Tablet
10,Yugprol ER 50 Tablet
11,Yukacin 200 Tablet
12,Yukacin-O Tablet
13,Yuliprist Tablet
14,Yulose Oral Solution
15,Yumipod 200mg Tablet DT
16,Yumox 250mg Capsule
17,Yumox 500mg Capsule
18,Yumox BR 250mg/8mg Capsule
19,Yumox BR 500mg/8mg Capsule
20,Yutodian 10mg Tablet
21,Yutolan 20mg Tablet
22,Yutopar 10mg Tablet
23,Yutopar 50mg Injection
24,Yuvagra 100mg Tablet
25,Yuvagra 25mg Tablet
26,Yuvagra 50mg Tablet
27,Yuval 200mg Tablet
28,Yuval 50mg Dry Syrup
29,Yuvicef 100 Tablet DT
30,Yuvicef 1000mg Injection
31,Yuvicef 200 Tablet
32,Yuvicef 250mg Injection
33,Yuvicef 500mg Injection
34,Yuvicef 50mg Dry Syrup
35,Yuvicef CV 200mg/125mg Tablet
36,Yuvicef CV Dry Syrup
37,Yuvicef O Dry Syrup
38,Yuvicef SB 1000mg/500mg Injection
39,Yuvicef SB 250mg/125mg Injection
40,Yuvicef-O Tablet
41,Yuviclav 1000mg/200mg Injection
42,Yuviclav 200mg/28.50mg Tablet
43,Yuviclav 500mg/125mg Tablet
44,Yuviclav Dry Syrup
45,Yuvicyp T Syrup
46,Yuvidox 100mg Tablet DT
47,Yuvidox 100mg Tablet DT
48,Yuvidox 200 Tablet
49,Yuvidox 50mg Dry Syrup
50,Yuvidox CV Dry Syrup
51,Yuvidox-CV Tablet
52,Yuviflox 200mg Tablet
53,Yuviflox 50mg Oral Suspension
54,Yuviflox 50mg Oral Suspension
55,Yuviflox-OZ Tablet
56,Yuvigest 100mg Injection
57,Yuvigest 100mg Soft Gelatin Capsule
58,Yuvigest 200mg Injection
59,Yuvigest 200mg Soft Gelatin Capsule
60,Yuvigra 100 Tablet
61,Yuvimont LC 5mg/10mg Tablet
62,Yuvimont LC Oral Suspension
63,Yuvimont-FX Chewable Tablet
64,Yuvipress AT 5mg/50mg Tablet
65,Yuxa 35 Tablet
