,items
0,zaldicort 6mg Tablet
1,zaldicort 6mg Tablet
2,ZADRO 100MG DROP
3,ZADRO 100MG DROP
4,ZADRO 125 MG TABLET
5,ZADRO 250MG SUSPENSION
6,ZADRO 250MG TABLET
7,ZADY 100 MG REDIMIX SUSPENSION
8,ZANCLAV DRY SYRUP
9,ZANLOP 10MG CAPSULE
10,ZATHRIN 1000 MG TABLET
11,Zaa 400mg Tablet
12,Zaalkryp 6mg Tablet
13,Zaan CT 500 mg/600 mg Tablet
14,Zaan CT 500 mg/600 mg Tablet
15,Zaart 100mg Tablet
16,Zaart 25mg Tablet
17,Zaart 50 Tablet
18,Zaart H Tablet
19,Zabby 500mg Tablet
20,Zabee 20mg Injection
21,Zabee 20mg Tablet
22,Zabee D 30mg/20mg Tablet SR
23,Zabee IT 20mg/150mg Tablet
24,Zabee L 75mg/20mg Capsule SR
25,Zabesta 2.5 Tablet
26,Zabesta Tablet
27,Zabesta Xlo 5 mg/12.5 mg Tablet
28,Zabesta-AM Tablet
29,Zabetac 20mg Tablet
30,Zabetac 20mg Tablet
31,Zabimox 500mg Capsule
32,Zabimox DX LB 250mg/250mg Capsule
33,Zabimox LB 500mg/125mg Tablet
34,Zabimox-CV 250mg/125mg Tablet
35,Zabimox-CV 500mg/125mg Tablet
36,Zabimox-CV Dry Syrup
37,Zabimox-DX 250mg/250mg Capsule
38,Zabloc SP Tablet
39,Zablox 200mg Tablet
40,Zablox OZ 200mg/500mg Tablet
41,Zabpro 500mg Tablet
42,Zabvis D 30mg/40mg Capsule SR
43,Zac 10mg Tablet
44,Zac 250mg Tablet
45,Zac 30 Tablet
46,Zac 5mg Tablet
47,Zac 6 Tablet
48,Zac 6mg Tablet
49,Zac 75mg Tablet SR
50,Zac Oral Suspension
51,Zac Plus 50mg/500mg Tablet
52,Zac-AQ Injection
53,Zacan 6mg Tablet
54,Zaccuten 20mg Soft Gelatin Capsule
55,Zacdase 10mg Tablet
56,Zacdef 30mg Tablet
57,Zacdef 6mg Tablet
58,Zaceclo-P Tablet
59,Zaceclo-SP Tablet
60,Zacfit Tablet
61,Zach Tablet
62,Zacin 200mg Tablet
63,Zacin O 200 mg/500 mg Tablet
64,Zaclev M 5mg/10mg Tablet
65,Zaclofen 10 Tablet
66,Zaclofen 20mg Tablet ER
67,Zaclofen 25 Tablet
68,Zacnase 50mg/10mg Tablet
69,Zacnase P Tablet
70,Zacne 500mg Tablet
71,Zacne 500mg Tablet
72,Zacnix 100mg Tablet DT
73,Zacnix 200mg Tablet DT
74,Zacnix 50 Dry Syrup
75,Zacnix CV 200mg/125mg Tablet
76,Zacnix O LB 200mg/200mg Tablet
77,Zacnix-LB 200 Tablet DT
78,Zacnix-O Tablet
79,Zacnol 200mg Tablet
80,Zacnol OZ 200mg/500mg Tablet
81,Zaco 6mg Tablet
82,Zacoba 10mg Tablet
83,Zacoflox 200mg Tablet
84,Zacoflox 200mg Tablet
85,Zacoflox-OZ 200mg/500mg Tablet
86,Zacome 1500mcg Injection
87,Zacome P 750mcg/75mg Soft Gelatin Capsule
88,Zacome Plus Injection
89,Zacort 6mg Tablet
90,Zacpar 50mg/500mg Tablet
91,Zacra 5mg Tablet
92,Zacra A 5mg/60mg Tablet
93,Zacra AM 75mg/5mg/10mg Tablet
94,Zacra M 5mg/10mg Tablet
95,Zacra M Kid 2.5mg/4mg Tablet
96,Zacra-M Syrup
97,Zacrol P 100mg/325mg Tablet
98,Zacrol P 100mg/325mg Tablet
99,Zacrol P Oral Suspension
100,Zacrol TC 100mg/325mg Tablet
101,Zacrol TP 4mg/100mg/325mg Tablet
102,Zacrol-MR Tablet
103,Zacrol-SP Tablet
104,Zacrol-SR Tablet
105,Zacroli Forte 0.1% Ointment
106,Zactam 2000mg/250mg Injection
107,Zactam 4000mg/500mg Injection
108,Zactane 20mg Tablet
109,Zactane 40mg Tablet
110,Zactoclox 250mg/250mg Capsule
111,Zacur 125mg Dry Syrup
112,Zacur 250mg Tablet
113,Zacur 500mg Tablet
114,Zacur 750mg Injection
115,Zacur-CA 500mg/125mg Tablet
116,Zacvert Tablet
117,Zacy -MR Tablet
118,Zacy 100 mg/500 mg/250 mg Tablet MR
119,Zacy 100mg Tablet
120,Zacy 200mg Tablet SR
121,Zacy SP 100 mg/500 mg/15 mg Tablet
122,Zacy Safe 100mg/37.5mg Tablet
123,Zacy Spas 80mg/100mg Tablet
124,Zacy-MR 8 Tablet
125,Zacy-TH 4 Tablet
126,Zadcort 6mg Tablet
127,Zadcox Plus 450mg/300mg Capsule
128,Zadimac AS 1000mg/125mg Injection
129,Zadimac HS 500mg/62.5mg Injection
130,Zadimac PS 250mg/31.5mg Injection
131,Zadine 0.5mg Syrup
132,Zadine 1mg Tablet
133,Zadipa Tablet
134,Zadipa-S Tablet
135,Zadirab D 30mg/20mg Capsule SR
136,Zaditen Eye Drop
137,Zadomycin Gel
138,Zadonase Tablet
139,Zadonase-F Oral Suspension Raspberry & Vanilla Sugar Free
140,Zadorab LS 75mg/20mg Tablet
141,Zadorab Tablet
142,Zadorabdsr Capsule
143,Zadro 125mg Redimix Suspension
144,Zadro 500mg Tablet
145,Zadro CV 250 mg/62.5 mg Tablet DT
146,Zadro CV 500 mg/125 mg Tablet
147,Zaduclav 1.2 Injection
148,Zaduclav 1.2 Injection
149,Zaduclav 375 Tablet
150,Zaduclav 625 Tablet
151,Zaduclav DS Dry Syrup
152,Zaduclav Dry Syrup
153,Zadudol 100mg Injection
154,Zadudol 100mg Tablet SR
155,Zadudol 100mg Tablet SR
156,Zadumol 125mg Oral Suspension
157,Zadumol 250mg Oral Suspension
158,Zadumol 300 Tablet
159,Zadumol 650 Tablet
160,Zadumol 650 Tablet
161,Zadumol Infusion
162,Zadunate Dry Injection
163,Zaduther 150mg Injection
164,Zady 100mg Tablet
165,Zady 250 Tablet
166,Zady 250 Tablet
167,Zady 500 Tablet
168,Zady Readymix Oral Suspension
169,Zady Redimix 200mg Syrup
170,Zaficef 500mg Tablet
171,Zaficef 500mg Tablet
172,Zafil 100mg Tablet DT
173,Zafil 50mg Dry Syrup
174,Zafil O Tablet
175,Zafimove 50mg Tablet
176,Zafkof Syrup
177,Zafkof-AM Syrup Sugar Free
178,Zaflart Tablet
179,Zaflox 200mg Tablet
180,Zaflox OZ 200mg/500mg Tablet
181,Zaflu 150mg Tablet
182,Zago 200mg Tablet
183,Zago 200mg Tablet
184,Zago OZ 200mg/500mg Tablet
185,Zagore 100 Tablet
186,Zaha Eye Drop
187,Zaha Eye Ointment
188,Zaha-DX Eye Drop
189,Zainet-P Tablet
190,Zainet-P Tablet
191,Zairox 500 Tablet
192,Zairox-CV Tablet
193,Zak Nerve Forte Injection
194,Zakcin 250mg Injection
195,Zakcin 500mg Injection
196,Zakkor 6mg Tablet
197,Zakrab 20mg Capsule
198,Zakrab 20mg Capsule
199,Zakrab D 30mg/20mg Capsule SR
200,Zalacort 30mg Tablet
201,Zalacort 6mg Tablet
202,Zalain 2% Cream
203,Zalat 2.5mg Tablet
204,Zalat 5mg Tablet
205,Zalclav 500mg/125mg Tablet
206,Zalcort 6mg Tablet
207,Zaldicet 37.5mg/375mg Tablet
208,Zale M 50mg/100mg Suspension
209,Zalep 10mg Capsule
210,Zalep 5mg Capsule
211,Zalevo M 5mg/10mg Tablet
212,Zalex 10mg Tablet MD
213,Zalex 5mg Tablet MD
214,Zalfed 6mg Tablet
215,Zalide 100 mg/2 mg Tablet
216,Zaling 12.5mg Tablet
217,Zaling 25mg Tablet
218,Zaling 37.5mg Tablet
219,Zalith 250mg Tablet
220,Zalith 500mg Tablet
221,Zall 5mg Tablet
222,Zall Plus Syrup
223,Zall Plus Syrup
224,Zall-AX 5mg/60mg Tablet
225,Zall-AX 5mg/60mg Tablet
226,Zall-Monte 5mg/10mg Tablet
227,Zall-Pace 5mg/500mg Tablet
228,Zall-XP Tablet
229,Zall-XP Tablet
230,Zallpam 0.25mg Tablet
231,Zallpam 0.5mg Tablet
232,Zallpam 1mg Tablet
233,Zalome 20mg Capsule
234,Zalome D 10mg/20mg Capsule
235,Zaloter 2% Cream
236,Zalozil 250mg Tablet
237,Zalozil 500 Tablet
238,Zalrabi 20mg Tablet
239,Zalsin 250 Tablet
240,Zalsin 500 Tablet
241,Zalto 80mg Tablet
242,Zaltokin 80mg Tablet
243,Zalvon 400mg Tablet
244,Zam 0.25mg Tablet
245,Zam 0.25mg Tablet
246,Zam 0.5mg Tablet
247,Zam 0.5mg Tablet
248,Zam MT 0.5mg/3mg Tablet
249,Zamacet 500 mg/50 mg Tablet
250,Zamacet 500 mg/50 mg Tablet
251,Zamadol 100mg Injection
252,Zamadol 50mg Injection
253,Zamadol 50mg Tablet
254,Zamadol P 325 mg/37.5 mg Tablet
255,Zambri 5mg Tablet
256,Zamclox 250mg/250mg Capsule
257,Zami 250mg Injection
258,Zami 500mg Injection
259,Zamic 1000mg Injection
260,Zamic 500mg Injection
261,Zamicin 250mg Tablet
262,Zamicin 500mg Tablet
263,Zamis 100mg Oral Suspension
264,Zamis 250mg Tablet
265,Zamis 250mg Tablet
266,Zamis 500mg Tablet
267,Zamis-CF Tablet
268,Zamitol 0.25mg Tablet
269,Zamitol 0.5mg Tablet
270,Zamol 100 mg/500 mg Tablet
271,Zamovib 10 Tablet
272,Zamovib 5 Tablet
273,Zamox 250mg Tablet
274,Zamox 500mg Tablet
275,Zamoxy 250mg Tablet DT
276,Zamoxy 500mg Capsule
277,Zamoxy-D 250mg/250mg Capsule
278,Zamyclox LB 250mg/250mg Capsule
279,Zancip 500mg Tablet
280,Zancip 500mg Tablet
281,Zanclav Tablet
282,Zandril 2.5mg/500mg/5mg Syrup
283,Zandril 2.5mg/500mg/5mg Tablet
284,Zandril M 5mg/10mg Tablet
285,Zandril Oral Drop
286,Zandril Plus Suspension
287,Zaneman 100mg Tablet
288,Zaneman 100mg Tablet
289,Zaneta 25mg Injection
290,Zaneta 50mg Injection
291,Zaneth-P Capsule
292,Zanfoate Injection
293,Zanfu 1500mg Injection
294,Zanfu 250mg Tablet
295,Zanfu 250mg Tablet
296,Zanfu 500mg Tablet
297,Zanfu 750mg Injection
298,Zanfu CV 250mg/125mg Tablet
299,Zanib 100 mg/500 mg Tablet
300,Zanim 100mg/2mg Tablet
301,Zanin 250mg Injection
302,Zanin 500mg Injection
303,Zanis 100 mg/15 mg Tablet
304,Zanis D 50 mg/500 mg/10 mg Tablet
305,Zanlodi AT 5 mg/50 mg Tablet
306,Zanlodi LP 5 mg/5 mg Tablet
307,Zanmef Forte Suspension
308,Zanmef Suspension
309,Zanmet P 30mg/500mg Tablet
310,Zanobact D Eye/Ear Drops
311,Zanobid 100mg Tablet
312,Zanobid 200mg Tablet
313,Zanobid TZ 200mg/600mg Tablet
314,Zanobid-OZ Tablet
315,Zanocid 20mg Tablet
316,Zanocin 100 Liquid
317,Zanocin 100 Tablet
318,Zanocin 200 Tablet
319,Zanocin 200mg Infusion
320,Zanocin 50 Liquid
321,Zanocin DS Tablet
322,Zanocin Eye Drop
323,Zanocin F 200 mg/200 mg Tablet
324,Zanocin OD 400mg Tablet ER
325,Zanocin OD 600mg Tablet
326,Zanocin OZ 200 mg/500 mg Infusion
327,Zanocin OZ 200 mg/500 mg Syrup
328,Zanocin OZ Tablet
329,Zanocin Plus Tablet
330,Zanof 200mg Tablet
331,Zanof OZ 200 mg/500 mg Tablet
332,Zanofiram 250mg Tablet
333,Zanoflox 50mg Syrup
334,Zanoflox OZ 50mg/125mg Suspension
335,Zanoflox TZ 200mg/600mg Tablet
336,Zanopirol Tablet
337,Zanoquin 200mg Tablet
338,Zanoquin OZ Suspension
339,Zanovid 200mg Infusion
340,Zanovid 200mg Tablet
341,Zanox 200mg Tablet
342,Zanox 400mg Tablet
343,Zanozole 200 mg/500 mg Infusion
344,Zanozole 200 mg/500 mg Tablet
345,Zanpan 40mg Tablet
346,Zanpan D 10mg/40mg Capsule
347,Zanpan D 30mg/40mg Capsule SR
348,Zanpan L Capsule SR
349,Zanperison 50mg Tablet
350,Zanperison 50mg Tablet
351,Zanpick 40mg Tablet
352,Zanpick D 10mg/40mg Tablet
353,Zanpick D 30mg/40mg Capsule SR
354,Zanpick L 75mg/40mg Capsule SR
355,Zanroxim 200mg Tablet
356,Zanroxim AZ 200mg/250mg Tablet
357,Zanroxim CV 200mg/125mg Tablet
358,Zanroxim CV 200mg/125mg Tablet
359,Zanroxim OZ 200mg/500mg Tablet
360,Zanserta 50mg Tablet
361,Zanserta 50mg Tablet
362,Zanthocin 250mg Tablet
363,Zanthocin 250mg Tablet
364,Zantid 150mg Tablet
365,Zantid Plus 10mg/300mg Tablet
366,Zantof LB 100mg Tablet DT
367,Zantof LB 200mg Tablet
368,Zantof LB 400mg Tablet
369,Zantof LB 400mg Tablet
370,Zantof Suspension
371,Zantor 10mg Tablet
372,Zantor 20mg Tablet
373,Zanvit G 300mg/500mcg Tablet
374,Zap Capsule
375,Zap Suspension
376,Zap Suspension
377,Zap Tablet
378,Zapacid 30mg Capsule
379,Zapan 40mg Tablet
380,Zaparin 40mg Injection
381,Zaparin 60mg Injection
382,Zapcer D 10mg/20mg Capsule
383,Zapcer D 10mg/20mg Capsule
384,Zapcid Mps Oral Suspension Saunf Sugar Free
385,Zapdase 100 mg/15 mg Tablet
386,Zapdase 100 mg/15 mg Tablet
387,Zapdic 50 mg/325 mg/2 mg Tablet
388,Zapin 2.5mg Tablet
389,Zapiz 0.25 Tablet
390,Zapiz 0.5 Tablet
391,Zapiz 1mg Tablet
392,Zapiz 2mg Tablet
393,Zaplon 10mg Capsule
394,Zaplon 5mg Capsule
395,Zapnax  0.5mg Tablet MD
396,Zaporil 100mg Tablet
397,Zaporil 12.5mg Tablet
398,Zaporil 200mg Tablet
399,Zaporil 25mg Tablet
400,Zaporil 50mg Tablet
401,Zapp 500mg Injection
402,Zapp S 125mg/62.5mg Injection
403,Zapp S 500mg/250mg Injection
404,Zapp T 1000mg/125mg Injection
405,Zapp-S 375mg Injection
406,Zappy 10mg Tablet
407,Zappy 250mg/5ml Suspension
408,Zappy 5mg Tablet
409,Zapra 40mg Tablet
410,Zapra DSR 30mg/40mg Tablet
411,Zaprinmax 15mg Capsule ER
412,Zaprinmax 30mg Capsule ER
413,Zaprocid 20mg Capsule
414,Zaprol 40mg Injection
415,Zaprol 40mg Tablet
416,Zaprol-D 10mg/40mg Tablet
417,Zaprol-DSR 30mg/40mg Tablet
418,Zapspas 20 mg/100 mg Tablet
419,Zaptar-K Scalp Solution
420,Zaptin 25mg/0.5mg Tablet CR
421,Zaptra 12.5mg/0.25mg Capsule
422,Zaptra 25mg/0.25mg Capsule
423,Zaptra LS Capsule
424,Zapzole 200mg Oral Suspension
425,Zaq 40mg Tablet
426,Zaq-AZ 250 Tablet
427,Zaq-PD Capsule SR
428,Zaqcef 200 Tablet
429,Zaqcef-O 200mg/200mg Tablet
430,Zaqmox CV 500mg/125mg Tablet
431,Zaqmox CV Kid Dry Syrup Orange
432,Zaquff Expectorant Strawberry
433,Zaquff-DX Syrup
434,Zarazone SB 1000mg/500mg Injection
435,Zarazone SB 500mg/500mg Injection
436,Zarbil 40 Tablet
437,Zarbil 80mg Tablet
438,Zarbose 0.2 Tablet
439,Zarbose 0.3 Tablet
440,Zarbose M 500mg/0.3mg Tablet
441,Zarbose-M 0.2 Tablet
442,Zarclav 500mg/125mg Tablet
443,Zarclav DS Dry Syrup
444,Zardcef 1gm Injection
445,Zardcef 250 Injection
446,Zardcef 500 Injection
447,Zardcef-S 1.5gm Injection
448,Zardcef-S 375 Injection
449,Zardcef-S 750 Injection
450,Zardpime 1000mg Injection
451,Zardpime S Injection
452,Zardpime T 1000mg/125mg Injection
453,Zarep 250mg Tablet
454,Zarep 250mg Tablet
455,Zarep 500mg Tablet
456,Zargesic BR Tablet
457,Zargesic-P Tablet
458,Zargesic-SP Tablet
459,Zargo 25mg Tablet
460,Zargo 50mg Tablet
461,Zargo H 50 mg/12.5 mg Tablet
462,Zariclav BD Dry Syrup
463,Zariclav Dry Syrup
464,Zariclav Dry Syrup
465,Zaride 0.5mg Tablet
466,Zarika 6mg Tablet
467,Zarirab D 30mg/20mg Tablet
468,Zarirab L 75mg/20mg Capsule SR
469,Zarith 250mg Tablet
470,Zarithro 250mg Tablet
471,Zarithro 500mg Tablet
472,Zarmet-GMP2 Tablet SR
473,Zarmet-GP1 Tablet SR
474,Zarmet-GP2 Tablet SR
475,Zarobac 1000mg/500mg Injection
476,Zarobac 1000mg/500mg Injection
477,Zarobac 500mg/500mg Injection
478,Zarobac T 1000mg/125mg Injection
479,Zarobac T 1000mg/125mg Injection
480,Zarocin 250mg Tablet
481,Zarocin 500mg Tablet
482,Zaroz 250mg Tablet
483,Zaroz 500mg Tablet
484,Zarp-D Capsule SR
485,Zartel 40 H Tablet
486,Zartel 40 Tablet
487,Zartin 10mg Tablet
488,Zartin 20mg Tablet
489,Zarvin P SR Tablet
490,Zarynac P 100mg/325mg Tablet
491,Zarynac P 100mg/325mg Tablet
492,Zarynac P 100mg/500mg Tablet
493,Zarynac SP 100mg/325mg/15mg Tablet
494,Zasiklo P 100mg/325mg Tablet
495,Zaso 10mg Capsule
496,Zaso 5mg Capsule
497,Zat 250mg Tablet
498,Zat 250mg Tablet
499,Zatcort 6mg Tablet
500,Zathcin 250mg Tablet
501,Zathcin 500mg Tablet
502,Zathrin 100 DT Tablet
503,Zathrin 100 Readymix Oral Suspension
504,Zathrin 100 Readymix Oral Suspension
505,Zathrin 200 Readymix Oral Suspension
506,Zathrin 250 Tablet
507,Zathrin 500 Tablet
508,Zathrin Gel
509,Zathrin-AX 250mg/60mg Tablet
510,Zathrin-AX 500 Tablet
511,Zathrin-XL 200 Readymix
512,Zatid 1000mg Injection
513,Zatid 125mg Injection
514,Zatid 250mg Injection
515,Zatid T 1000mg/125mg Injection
516,Zatim 1000mg Injection
517,Zatim 1000mg Injection
518,Zatim-T 1000mg/125mg Injection
519,Zatin 50mg Tablet
520,Zatin H 50 mg/12.5 mg Tablet
521,Zatither Injection
522,Zator 10 Tablet
523,Zator 100mg Tablet
524,Zator 10mg Injection
525,Zator 20mg Tablet
526,Zator 40mg Tablet
527,Zator 40mg Tablet
528,Zator 5mg Tablet
529,Zator Plus 50 mg/10 mg Tablet
530,Zatpin 4000mg/500mg Injection
531,Zatrocef 1000mg Injection
532,Zatrocef 250mg Injection
533,Zatrocef 500mg Injection
534,Zatrocef S 1000mg/500mg Injection
535,Zatrocef S 250mg/125mg Injection
536,Zatrocet 5mg Tablet
537,Zatrocid Oral Suspension Mango Sugar Free
538,Zatroclav 500mg/125mg Tablet
539,Zatroclav DX 250mg/250mg Capsule
540,Zatroclav Dry Syrup
541,Zatrocob 1500mcg Injection
542,Zatrocob G 300mg/500mcg Tablet
543,Zatrocob G 300mg/500mcg Tablet
544,Zatrocob P 750mcg/75mg Capsule
545,Zatrocob Plus Injection
546,Zatrocuf BR Syrup
547,Zatrocuf D Syrup
548,Zatrofix 100mg Tablet DT
549,Zatrofix 200mg Tablet DT
550,Zatrofix 50mg Dry Syrup
551,Zatrofix 50mg Tablet DT
