,items
0,ZUPAR 100 MG/125 MG SUSPENSION
1,ZUPAXEL 30 MG INJECTION
2,Zuath 250mg Tablet
3,Zuath 250mg Tablet
4,Zuath 500mg Tablet
5,Zuath DS Oral Suspension
6,Zubacef 1000mg/125mg Injection
7,Zubacef 250 mg/31.25 mg Injection
8,Zubacef 250 mg/31.25 mg Injection
9,Zubact 1000mg/200mg Injection
10,Zubicef 100mg Tablet DT
11,Zubicef AZ 200mg/250mg Tablet
12,Zubicef O 200mg/200mg Tablet
13,Zubicef Oral Suspension
14,Zubidol P 100mg/325mg Tablet
15,Zubidox 10mg Injection
16,Zubidox 50mg Injection
17,Zubiflox 500mg Tablet
18,Zubik 1000mg Injection
19,Zubik 500mg Injection
20,Zubik 500mg Injection
21,Zubik-S 1.5 Injection
22,Zubik-S 1.5 Injection
23,Zubik-T Injection
24,Zubilor Plus 8mg/325mg Tablet
25,Zubilor Plus 8mg/325mg Tablet
26,Zubimox 250mg Capsule
27,Zubimox 500mg Capsule
28,Zubimox CV 500mg/125mg Tablet
29,Zubimox Plus 250mg/250mg Capsule
30,Zubithro 250mg Tablet
31,Zubithro 500mg Tablet
32,Zubitrex 1000mg Injection
33,Zubitrex 250mg Injection
34,Zubitrex 250mg Injection
35,Zubitrex 500mg Injection
36,Zubitrex S 1000mg/500mg Injection
37,Zubitrex TM 1000mg/125mg Injection
38,Zubitrex TM 250mg/31.25mg Injection
39,Zubol SP 100mg/325mg/15mg Tablet
40,Zubol SP 100mg/325mg/15mg Tablet
41,Zubrilin-LS Syrup
42,Zuby 250mg/5ml Syrup
43,Zuby Kid Drop
44,Zucapride 10mg Tablet
45,Zucapride-M 1000 Tablet SR
46,Zucapride-M 500 Tablet SR
47,Zucator 100 Tablet
48,Zucator M 1000 Tablet
49,Zucator M 500 Tablet
50,Zucet 5mg Tablet
51,Zucet Plus Tablet
52,Zucet Syrup
53,Zucet-AM Syrup
54,Zucet-M 5mg/10mg Tablet
55,Zucet-M KID Tablet
56,Zucet-M Syrup
57,Zucet-N 100mg/5mg Tablet
58,Zucipro 250mg Tablet
59,Zucipro 500mg Tablet
60,Zuconazole 150mg Tablet
61,Zucox Plus 450 mg/300 mg Tablet
62,Zucrom Tablet
63,Zucrose 100mg Injection
64,Zudic B Cream
65,Zudipine 5mg Tablet
66,Zudol 50mg Injection
67,Zudol-P 37.5mg/325mg Tablet
68,Zudoxy-LB Capsule
69,Zuemeth Tablet
70,Zuesec-P 100mg/500mg Tablet
71,Zufinib 250mg Tablet
72,Zufix CV 200mg/125mg Tablet
73,Zufix DT 100mg Tablet
74,Zufix DT 200mg Tablet
75,Zufix DT 50mg Tablet
76,Zufix OX 200mg/200mg Tablet
77,Zuflo 200mg Tablet
78,Zuflo D Eye/Ear Drops
79,Zuflo OZ 200mg/500mg Tablet
80,Zufly-OZ Syrup
81,Zufu Tablet
82,Zuka Oral Drops
83,Zuka Suspension
84,Zukamin Cold Capsule TR
85,Zukamin Cold Oral Drops
86,Zukamin Cold Plus Tablet
87,Zukamin Cold Suspension
88,Zukamin Cold Tablet
89,Zukamin Oral Drops
90,Zukamin Plus Drop
91,Zukamin Suspension
92,Zukamin Tablet
93,Zukanorm 50 Tablet
94,Zukanorm M 1000 Tablet
95,Zukanorm M 500mg/50mg Tablet
96,Zukansi Syrup
97,Zukarest Tablet
98,Zuker 40mg Tablet
99,Zuker 80mg Tablet
100,Zuker MF OD Tablet
101,Zuker MF Tablet PR
102,Zulan D 10mg/30mg Tablet
103,Zuldine AT 5mg/50mg Tablet
104,Zulfi-OR Oral Suspension
105,Zulfi-OR Oral Suspension
106,Zulfy-M Oral Suspension
107,Zulfy-M Oral Suspension
108,Zulfy-OR Oral Suspension
109,Zulfy-OR Oral Suspension
110,Zulfy-OZ 200mg/500mg Tablet
111,Zulicon 1% Cream
112,Zulid 100mg Tablet
113,Zulid MR 200mg/2mg Tablet
114,Zulid P 100mg/500mg Tablet
115,Zulid Plus 100mg/500mg Tablet
116,Zulip G Forte 4mg/1000mg Tablet
117,Zulip-G 1 Tablet ER
118,Zulip-G2 Tablet SR
119,Zulivon 1% Cream
120,Zully 1% Cream
121,Zulmectin 3mg/200mg Drop
122,Zulmectin 6mg/400mg Tablet
123,Zulokast LC Tablet
124,Zulpride 100mg Tablet
125,Zulpride 200mg Tablet
126,Zulpride 50mg Tablet
127,Zulta 375mg Tablet
128,Zulta 750mg Tablet
129,Zulton 40mg Tablet
130,Zulu 100 mg/2 mg Tablet
131,Zulu AT 4 Tablet
132,Zulu AT 8 Tablet
133,Zulu Forte 200 mg/2 mg Tablet
134,Zulu V 20mg/2mg Tablet
135,Zulu-P Tablet
136,Zuluflox OZ 200mg/500mg Tablet
137,Zuluflox OZ Syrup
138,Zulvas 10mg Tablet
139,Zulvas 20mg Tablet
140,Zulvas 20mg Tablet
141,Zulycon 1% Cream
142,Zumace T 100mg/4mg Tablet
143,Zumace-MR Tablet
144,Zumace-P Oral Suspension
145,Zumace-SP Tablet
146,Zumazi 250 Tablet
147,Zumazi 500 Tablet
148,Zumcet M 5mg/10mg Tablet
149,Zumcet M Oral Suspension
150,Zumcet M Oral Suspension
151,Zumcid O Oral Suspension
152,Zumcof BM Syrup
153,Zumcof BM Syrup
154,Zumcof DX Syrup
155,Zumcold DS Oral Suspension
156,Zumcox 90mg Tablet
157,Zumcox 90mg Tablet
158,Zumdol PS 50mg/325mg/10mg Tablet
159,Zumet 25mg Tablet XL
160,Zumet 50mg Tablet XL
161,Zumet 50mg Tablet XL
162,Zumet A 5mg/50mg Tablet XL
163,Zumheal 90mg/48mg/100mg Tablet
164,Zumheal D Tablet
165,Zumik 100mg Injection
166,Zumik 100mg Injection
167,Zumik 500mg Injection
168,Zumin 100mg Tablet
169,Zumin DRCM Capsule CR
170,Zumitra 100mg Capsule
171,Zumitra 200mg Capsule
172,Zumlid P 100mg/325mg Tablet
173,Zumlobet-NM Cream
174,Zumo 100mg/325mg Tablet
175,Zumo Syrup
176,Zumoceft 500mg Injection
177,Zumoceft S 1000mg/500mg Injection
178,Zumokuf D Syrup
179,Zumpan 40mg Injection
180,Zumpan 40mg Tablet
181,Zumpan D 30mg/40mg Capsule SR
182,Zumrab 20mg Tablet
183,Zumrab D 30mg/20mg Capsule SR
184,Zumrab L 75mg/20mg Capsule SR
185,Zumroil L Syrup
186,Zumroil Syrup
187,Zumustin 100mg Injection
188,Zumy 100mg/2mg Tablet
189,Zumzone S 1000mg/500mg Injection
190,Zunaglim M 2mg/500mg Tablet
191,Zunaglim MV 1mg/500mg/0.2mg Tablet
192,Zunaglim MV 2mg/500mg/0.2mg Tablet
193,Zunaheal D 30mg/20mg Capsule SR
194,Zunalgia Plus Injection
195,Zunarac P 100mg/325mg Tablet
196,Zunata 60mg Injection
197,Zunatel H 40mg/12.5mg Tablet
198,Zunestar Tablet
199,Zunfixo 200mg/200mg Tablet
200,Zunfixo 200mg/200mg Tablet
201,Zunicef 500 Tablet
202,Zunimox 500mg/125mg Tablet
203,Zunimox CV Dry Syrup
204,Zunitra 4mg Injection
205,Zunocef 200mg Tablet DT
206,Zunocef 200mg Tablet DT
207,Zunocef CV 200mg/125mg Tablet
208,Zunocef O 200mg/200mg Tablet
209,Zunox Syrup
210,Zupar 400 mg/325 mg Captab
211,Zupar 400mg/325mg Tablet
212,Zupaxel 100mg Injection
213,Zupaxel 260mg Injection
214,Zupaxel 260mg Injection
215,Zupemed 100mg Injection
216,Zupion -SR Tablet
217,Zupitor 10mg Tablet
218,Zupitor 5mg Tablet
219,Zupitor F 160mg/10mg Tablet
220,Zupivac PF 5 Injection
221,Zupivac-H Injection
222,Zupox 100mg Dry Syrup
223,Zupox 100mg Tablet
224,Zupox 200mg Tablet
225,Zupox 50mg Dry Syrup
226,Zupox CV Dry Syrup
227,Zupox CV Dry Syrup
228,Zupox O 200mg/200mg Tablet
229,Zupoz 40mg Tablet
230,Zupress XL 25mg Tablet
231,Zupress XL 50mg Tablet
232,Zuptor 10mg Tablet
233,Zuptor 10mg Tablet
234,Zuptor 20mg Tablet
235,Zuptor Asp 10mg/75mg Capsule
236,Zuptor F 160mg/10mg Tablet
237,Zuptor F 160mg/10mg Tablet
238,Zurest D 30mg/20mg Capsule SR
239,Zuricab 0.5mg Tablet
240,Zuricet M 5mg/10mg Tablet
241,Zuricet M Kid 2.5mg/4mg Tablet
242,Zuricetcold Tablet
243,Zuricetcold Tablet
244,Zuriclop AV 20mg/75mg Capsule
245,Zuricof DX Syrup
246,Zuricof DX Syrup
247,Zuricof LS Syrup
248,Zuricof P Syrup
249,Zurifast 100mg Tablet SR
250,Zurig 40 Tablet
251,Zurig 40 Tablet
252,Zurig 80 Tablet
253,Zurisyp Syrup
254,Zuritel 40mg Tablet
255,Zuritorva 20mg Tablet
256,Zuritorva 40mg Tablet
257,Zuritorva 40mg Tablet
258,Zurocef 250mg Tablet
259,Zurocef 500mg Tablet
260,Zuropraz 20mg Tablet
261,Zuropraz-D 20 Capsule SR
262,Zurox 250mg Tablet
263,Zurox 500 Tablet
264,Zurox 500mg Tablet
265,Zuroxim 250mg Tablet
266,Zuroxim 500mg Tablet
267,Zuroxy Syrup
268,Zurvast 10mg Tablet
269,Zurvast 20mg Tablet
270,Zurvast 20mg Tablet
271,Zurvast D 10mg/1000IU Tablet
272,Zurvast Gold 75mg/10mg/75mg Capsule
273,Zuspaz 20mg/500mg Tablet
274,Zuspaz 20mg/500mg Tablet
275,Zussanil 40mg Tablet
276,Zussanil-DSR Capsule
277,Zustback 60 Injection
278,Zutasa 1000mg Injection
279,Zuter A Syrup
280,Zuter-L Syrup
281,Zutex 250mg Injection
282,Zutex 500mg Injection
283,Zutex-S 1gm/0.5gm Injection
284,Zutex-S 250mg/125mg Injection
285,Zutex-T 1000mg/125mg Injection
286,Zuthrox 200mg Tablet
287,Zuthrox NZ 125mg/50mg Syrup
288,Zuthrox OZ 200mg/500mg Tablet
289,Zutig 50 Injection
290,Zutiz 0.5mg Tablet
291,Zutol 800mg Tablet
292,Zutran 500mg Injection
293,Zutran-M 500mg/250mg Tablet
294,Zutris 100mg Oral Suspension
295,Zutris 200mg Oral Suspension
296,Zutris 250 Tablet
297,Zutris 250 Tablet
298,Zutris 500 Tablet
299,Zuva 10mg Tablet
300,Zuvair 10mg Tablet
301,Zuvair 20mg Tablet
302,Zuvanext 20mg Tablet
303,Zuvanext A 10 mg Tablet
304,Zuvanext A 20 mg Tablet
305,Zuvas 20 Tablet
306,Zuvas E 10mg/10mg Tablet
307,Zuvas Tablet
308,Zuvastat 10mg Tablet
309,Zuvastat 20mg Tablet
310,Zuvastat 20mg Tablet
311,Zuvendine 5% Ointment
312,Zuvicella Vaccine
313,Zuvicin 100mg Injection
314,Zuvinzax 250 Tablet
315,Zuvinzax 500 Injection
316,Zuvinzax 500 Tablet
317,Zuvirab Vaccine
318,Zuvog 0.2 Tablet
319,Zuvog 0.3 Tablet
320,Zuvog Trio 1mg/500mg/0.2mg Tablet SR
321,Zuvog Trio 2 Tablet SR
322,Zuvog-M 0.2 Tablet PR
323,Zuvog-M 0.3 Tablet PR
324,Zuzox 200mg Tablet
325,Zuzox 200mg Tablet
326,Zuzox TZ 200mg/600mg Tablet
