,items
0,ZY 10 Active Capsule
1,ZY 250mg Tablet
2,ZY 500mg Tablet
3,ZY FSH 150 I.U INJECTION
4,ZY FSH 75 I.U INJECTION
5,ZY FSH HP 150 Injection
6,ZY Fsh HP 75 Injection
7,ZY Fsh R 75I.U Injection
8,ZY-Q 200 Tablet
9,ZY-Q 200 Tablet
10,ZY-Q 300 Tablet
11,ZY-Q 400 Tablet
12,ZYDICLO 1% GEL
13,ZYDICLO 1% GEL
14,ZYNTAP 100 MG TABLET
15,ZYNTAP 50 MG TABLET
16,ZYNTAP 75 MG TABLET
17,ZYPRINOL 250 MG TABLET
18,ZYTHAM 200MG TABLET
19,ZYTHAM 400MG TABLET
20,ZYTHAM 600MG TABLET
21,ZYX 200mg Tablet
22,ZYX 50mg Tablet DT
23,Zy DSR Capsule
24,ZyKT Cream
25,ZyKT Cream
26,ZyKT Soap
27,Zyalfa D 10 mg/0.5 mg Tablet
28,Zyalfa Tablet PR
29,Zyaqua Eye Drop
30,Zyaqua Forte Eye Drop
31,Zybact 250mg Tablet
32,Zybact 500mg Tablet
33,Zyban 150mg Tablet SR
34,Zybelol 20mg Injection
35,Zybend Oral Suspension
36,Zybend Tablet
37,Zybev 100mg Injection
38,Zybirra Tablet
39,Zybol Oral Gel
40,Zybron Expectorant
41,Zybron Expectorant
42,Zybron Plus 8 mg/100 mg Tablet
43,Zycad Capsule
44,Zycain Oral Gel
45,Zycalm 5mg Tablet
46,Zycef 1000mg Injection
47,Zycef 250mg Injection
48,Zycef 500mg Injection
49,Zycef CV 200mg/125mg Tablet
50,Zycel 100 Capsule
51,Zycel 200 Capsule
52,Zycet 10mg Tablet
53,Zycet 10mg Tablet
54,Zycet 5mg Tablet
55,Zycet AM 5mg/60mg Tablet
56,Zycet L Tablet
57,Zycet LM 5mg/10mg Tablet
58,Zycet M 5mg/10mg Tablet
59,Zycet M Kid 2.5mg/4mg Tablet
60,Zycet M Oral Suspension
61,Zyceva 100mg Tablet
62,Zyceva 150mg Tablet
63,Zycillin 250mg Capsule
64,Zycillin 500mg Capsule
65,Zycillin 500mg Injection
66,Zycin 100mg/5ml Redimix Suspension
67,Zycin 200mg/5ml Redimix Suspension
68,Zycin 250mg Capsule
69,Zycin 250mg Tablet
70,Zycin 500 Tablet
71,Zycin 500 Tablet
72,Zycin 500mg Injection
73,Zycin AM 500 mg/60 mg Tablet
74,Zycip 500mg Tablet
75,Zycit 250mg Injection
76,Zycit 500mg Tablet
77,Zyclastin 4mg Injection
78,Zyclav 250 mg/125 mg Tablet
79,Zyclav 250 mg/125 mg Tablet
80,Zyclav 500 mg/125 mg Tablet
81,Zyclav Kid 200 mg/28.5 mg Tablet
82,Zyclear Eye Drop
83,Zyclin Nano Gel
84,Zyclo Cream
85,Zyclog Ointment
86,Zyclomine 10mg/250mg Tablet
87,Zyclonac P Tablet
88,Zyclox 250 mg/250 mg Capsule
89,Zycof Syrup
90,Zycolchin Tablet
91,Zycold Syrup
92,Zycold-P Syrup
93,Zycold-P Tablet
94,Zycolin Syrup
95,Zycolis 1Million IU Injection
96,Zycomox-CV 625 Tablet
97,Zyconazol 100 Capsule
98,Zyconazol 200 Capsule
99,Zycopin 10mg Tablet
100,Zycopin 5mg Tablet
101,Zycort 6mg Tablet
102,Zycoser-DP Tablet
103,Zycoxib 90mg Tablet
104,Zycyp Syrup
105,Zydalis 10mg Tablet
106,Zydalis MD 10 Tablet
107,Zydalis MD 20 Tablet
108,Zyde MF 80 mg/500 mg Tablet
109,Zydec 50mg Injection
110,Zydep 20mg Capsule
111,Zyderm Ointment
112,Zydero 10mg/20mg Tablet
113,Zydiclo 25mg Injection
114,Zydiclo 75mg Injection 1ml
115,Zydiclo Injection
116,Zydiclo Injection 3ml
117,Zydik 50mg/10mg Tablet
118,Zydim 1000mg Injection
119,Zydim 1000mg Injection
120,Zydim 250mg Injection
121,Zydip Lotion
122,Zydip Lotion
123,Zydip-C Cream
124,Zydip-C Lotion
125,Zydol 100mg Tablet
126,Zydol-P DS Suspension
127,Zydol-P Suspension
128,Zydol-P Syrup
129,Zydotum 1000 mg/500 mg Injection
130,Zydotum Powder for Injection
131,Zydox 200mg Tablet
132,Zydox 50mg Oral Suspension
133,Zydox AZ 200mg/250mg Tablet
134,Zydox CV 200mg/125mg Tablet
135,Zydril 20mg Suspension
136,Zydrot 80mg/250mg Tablet
137,Zydryl Suspension
138,Zydum 1000mg Injection
139,Zyether Injection
140,Zyfen P 100mg/500mg Tablet
141,Zyfer 20mg Injection
142,Zyfix 100 LB Tablet DT Strawberry
143,Zyfix 100mg Dry Syrup
144,Zyfix 100mg Tablet DT
145,Zyfix 200 LB Tablet DT Strawberry
146,Zyfix 200mg Tablet DT
147,Zyfix 50 Dry Syrup
148,Zyfix 50mg Dry Syrup
149,Zyfix 50mg Dry Syrup
150,Zyfix AZ 200mg/250mg Tablet
151,Zyfix CV 200mg/125mg Tablet
152,Zyfix CV Dry Syrup
153,Zyfix LB 200mg Tablet
154,Zyfix O 200mg/200mg Tablet
155,Zyfix OZ 200mg/500mg Tablet
156,Zyflace 0.1% Eye Drop
157,Zyflex 4mg Capsule
158,Zyflex 8 Capsule
159,Zyflex Nano Gel
160,Zyflox 200mg Tablet
161,Zyflur 0.03% Eye Drop
162,Zyfo 500mg Tablet
163,Zyfol 10mg Injection
164,Zyfor -ER Tablet
165,Zyfor 300mg Tablet ER
166,Zyfoss 4mg Injection
167,Zyfrom 1gm Injection
168,Zygati 400mg Tablet
169,Zygati 400mg Tablet
170,Zygem 1gm Injection
171,Zygem 200mg Injection
172,Zygenta 80mg Injection
173,Zygoclox Plus 250 mg/250 mg Capsule
174,Zygogest 100mg Capsule
175,Zygogest 200mg Capsule
176,Zygolet 2.5mg Tablet
177,Zygolox 100mg Tablet
178,Zygolox 200mg Tablet
179,Zygolox OZ 200mg/500mg Tablet
180,Zygolox Syrup
181,Zygon 5IU Injection
182,Zygter 250mg Tablet
183,Zygter Cream
184,Zyhcg 2000IU Injection
185,Zyhcg 5000IU Injection
