,items
0,A-3 Kit
1,A-Bec Tablet
2,A-Bex -Junior Syrup
3,A-Bex Syrup
4,A-Bex-SF Expectorant
5,A-CN Gel
6,A-Card 50mg Tablet
7,A-Card-AM 5mg/50mg Tablet
8,A-Cet 10mg Tablet
9,A-Cet 5mg Syrup
10,A-Heal Tablet
11,A-Max Fort 80mg/480mg Tablet
12,A-Od 250mg Tablet
13,A-Od 500mg Tablet
14,A-Phyl 100 Capsule
15,A-Plus 100mg/325mg Tablet
16,A-Plus Oral Suspension
17,A-Ret 0.025% Gel
18,A-Ret 0.05% Gel
19,A-Ret 0.1% Cream
20,A-Ret 0.1% Gel
21,A-Ret 0.5% Cream
22,A-Ret Solution
23,A-Rex Syrup
24,A-Set Oral Suspension Mango Sugar Free
25,A-Teem 80mg/480mg Tablet
26,A-Tryp Forte Tablet
27,A-Win 5 Injection
28,A-Zobact 4.5gm Injection
