,items
0,AD 100mg Capsule
1,AD 10mg Sachet
2,AD 10mg Tablet DT
3,AD 150mg/100mg Suspension
4,AD 30mg Sachet
5,AD 30mg Tablet DT
6,AD Cough S Syrup
7,AD Dworm 400mg Tablet
8,AD Dworm 400mg Tablet
9,AD Dworm Suspension
10,AD Fun 1% Cream
11,AD Mox Syrup
12,AD Para 100mg/325mg Tablet
13,AD Q Plus Gel
14,AD Speed 50mg/325mg/10mg Tablet
15,AD-Cough Plus Syrup
16,AD-Cough Plus Syrup
17,AD-Cough Syrup
18,ADALAT 30MG CAPSULE ER
19,ADBETA 12.5MG TABLET
20,ADBETA 25MG TABLET
21,ADC Gel
22,ADILOX 250MG/250MG CAPSULE
23,ADINE 400 MG/325 MG/10 MG TABLET
24,ADINEP 5MG TABLET
25,ADMENTA 10 MG TABLET MD
26,ADOXY TABLET DT
27,ADRENALIN INFUSION
28,ADS 50mg/10mg Tablet
29,ADVACORT 6MG TABLET
