,items
0,AL 1 Capsule
1,AL 27 Tablet
2,AL 400mg Tablet
3,AL 5mg Tablet
4,AL Dew Eye Drop
5,AL Live Syrup
6,AL Pthrin 5% Cream
7,AL-20 Dry Syrup
8,AL-80 80mg/480mg Tablet
9,AL-D3 Soft Gelatin Capsule
10,AL-Ther Injection
11,ALBAXY TABLET
12,ALBEST 400 MG TABLET
13,ALBUTOL 200MG TABLET
14,ALBUTOL 400MG TABLET
15,ALBUTOL 800MG TABLET
16,ALCEPHIN KID 125 MG TABLET
17,ALCON Oral Drops
18,ALCYCLIN 250 MG CAPSULE
19,ALCYCLIN 500 MG CAPSULE
20,ALDACTIDE 25MG/25MG TABLET
21,ALEM 2 O 200MG/500MG TABLET
22,ALERGIN L TABLET
23,ALERSIN M 5 MG/10 MG TABLET
24,ALFABOSE 0.2 MG TABLET
25,ALFABOSE 0.3 MG TABLET
26,ALFAM 400MG TABLET
27,ALIANZ 100 MG/20 MG CAPSULE
28,ALISTOR 80 MG TABLET
29,ALIVHER ES 2 TABLET
30,ALKACEL 5 MG TABLET
31,ALKAFRESH SYRUP
32,ALLERIN  EYE DROP
33,ALLERKAST(FDC) 5 MG/10 MG TABLET
34,ALLRITE 5 MG CAPSULE
35,ALM 80 Tablet
36,ALORIC 100 MG TABLET
37,ALPRAQUIL 0.5 MG TABLET
38,ALTAS-AT 5MG/50MG TABLET
39,ALVEX BR SYRUP
40,ALZOLAM 0.5 MG TABLET SR
41,ALZOLAM 1 MG TABLET SR
42,ALZOLAM 1.5 MG TABLET SR
43,ALZOLAM FORTE 0.5MG/50MG TABLET
44,ALZOLAM PLUS 0.5MG/25MG TABLET
