,items
0,Akair LC 5 mg/10 mg Tablet
1,Akair LC Kid 2.5 mg/4 mg Tablet
2,Akasyn 500mg Injection
3,Akceft 1gm Injection
4,Akceft 250mg Injection
5,Akceft 500mg Injection
6,Akceft S 1000mg/500mg Injection
7,Akceft S 250mg/125mg Injection
8,Akcepar-DS Capsule
9,Akcet 5mg Tablet
10,Akcet 5mg Tablet
11,Akcet M Oral Suspension
12,Akcet-M Tablet
13,Akcid Syrup Elaichi Sugar Free
14,Akcin 500mg Injection
15,Akcip 250mg Tablet
16,Akcip 500mg Tablet
17,Akcip 500mg Tablet
18,Akcip TZ 500 mg/600 mg Tablet
19,Akcip TZ 500 mg/600 mg Tablet
20,Akcit 500 Tablet
21,Akcoff D Syrup
22,Ake-Brt Tablet
23,Ake-MR Tablet
24,Ake-Plus Tablet
25,Ake-RB Capsule SR
26,Ake-SP Tablet
27,Ake-TH8 Tablet
28,Akello 200mg/28.5mg Dry Syrup
29,Akello 500 mg/125 mg Tablet
30,Akem Tablet DT
31,Akend Gel
32,Akenm 1000mg Injection
33,Akenm 500mg Injection
34,Akeso 90mg/48mg/100mg Tablet
35,Akfer-XT Tablet
36,Akfix 50mg Dry Syrup
37,Akfix 50mg Dry Syrup
38,Akfix LB 200mg Tablet
39,Akicox T 60mg/4mg Tablet
40,Akicox T 60mg/4mg Tablet
41,Akik 100mg Injection
42,Akik 250mg Injection
43,Akiko 100mg/325mg Tablet
44,Akiko 100mg/325mg Tablet
45,Akiko MR 100mg/325mg/250mg Tablet
46,Akiko MR 100mg/325mg/250mg Tablet
47,Akiko SP 100mg/325mg/10mg Tablet
48,Akilos 100mg Tablet
49,Akilos 200mg Tablet CR
50,Akilos TH 100mg/4mg Tablet
51,Akilos Tablet MR
52,Akilos-P Tablet
53,Akilos-SP Tablet
54,Akinac P Oral Suspension
55,Akinac-SP Tablet
56,Akio 200mg Tablet
57,Akio OZ Oral Suspension
58,Akio-TC Cream
59,Akirab-DSR Capsule
60,Akizone 1000mg Injection
61,Akizone-S Injection
62,Aklav 500mg/125mg Tablet
63,Aklav 500mg/125mg Tablet
64,Aklav CV Dry Syrup
65,Aklav CV Dry Syrup
66,Aklinic Cream
67,Aklinz Gel
68,Akloflam 200mg Tablet SR
69,Akloflam MR 100mg/325mg/250mg Tablet
70,Akloflam P 100mg/325mg Tablet
71,Akloflam SP 100mg/325mg/15mg Tablet
72,Aklomax MR Tablet
73,Aklomax P 100mg/325mg Tablet
74,Aklomax SP 100mg/325mg/15mg Tablet
