,items
0,Al Fine 1.4gm Syrup
1,Al Low 180mg Tablet
2,Al Won Plus 6mg/400mg Tablet
3,Al Won Plus Oral Suspension
4,Al-Low 120 Tablet
5,Al-Low 120 Tablet
6,Al-Low M Tablet
7,Al-Tear Eye Drop
8,Alace 600mg Tablet
9,Alacforte 120Million spores Tablet
10,Aladin 120mg Tablet
11,Alafex 120mg Tablet
12,Alafex 180mg Tablet
13,Alagraf 0.5 Capsule
14,Alagraf 1 Capsule
15,Alakast FA 10mg/120mg/200mg Tablet
16,Alam OD 12.5mg Capsule
17,Alamflu 0.25mg/20mg Tablet
18,Alamin Injection
19,Alamin SE 410 mg/100 mg/290 mg/130 mg Infusion
20,Alan Gel 0.1% Gel
21,Alanbol 25mg Injection
22,Alanbol 50mg Injection
23,Alandec 25mg Injection
24,Alanexa MF 500mg/250mg Tablet
25,Alangel 0.1% Cream
26,Alanso 30mg Capsule
27,Alanz D Tablet
28,Alanz Tablet
29,Alap 0.5mg Tablet
30,Alaquin 200mg Tablet
31,Alarcin 500mg Injection
32,Alarflam MR 250mg/50mg/325mg Tablet
33,Alarflam S 50mg/10mg Tablet
34,Alarflam SP 50mg/325mg/10mg Tablet
35,Alark 0.5mg Tablet
36,Alark 0.5mg Tablet
37,Alarliv 5mg Tablet
38,Alarm 0.5mg Tablet
39,Alarm Forte 0.5 mg/50 mg Tablet
40,Alarm Plus 0.5 mg/25 mg Tablet
41,Alarpod 100mg Dry Syrup
42,Alarpod 200mg Tablet
43,Alarpod 50mg Dry Syrup
44,Alarpod 50mg Dry Syrup
45,Alarpod CV Dry Syrup
46,Alarpod O 200mg/200mg Tablet
47,Alarrest 120mg Tablet
48,Alaska Tablet
49,Alaspan AG Syrup
50,Alaspan AM Tablet
51,Alaspan Oral Solution
52,Alaspan Tablet
53,Alastin 10mg Tablet
54,Alastin AM Tablet
55,Alatro Tablet
56,Alaxin 250mg Tablet DT
57,Alba 20% Infusion
58,Alba 400mg Tablet
59,Alba 400mg Tablet
60,Albacad 400mg Tablet
61,Albacad 400mg Tablet
62,Albacid Syrup
63,Albacos 400mg Tablet
64,Albact 1500mg Injection
65,Albact 200mg Suspension
66,Albact 400mg Tablet
67,Albact 500mg Tablet
68,Albactam 1.5gm Injection
