,items
0,As Xime 100mg Dry Syrup
1,As Xime CV Dry Syrup
2,As Xime CV Dry Syrup
3,As Xime CV Dry Syrup
4,As Xime O Dry Syrup
5,As-Plus Tablet
6,As-Xime 200 Tablet DT
7,As-Xime 50 Dry Syrup
8,As-Xime 50 Dry Syrup
9,As-Xime LB Tablet DT
10,As-Xime-O Tablet
11,Asacol 400mg Tablet
12,Asacus Sachet
13,Asalite 150mg Tablet
14,Asalt 20mg Tablet
15,Asalt D 30 mg/20 mg Capsule
16,Asan Plus 100mg/500mg Tablet
17,Asan SP Tablet
18,Asar 40 Tablet
19,Asar 80 Tablet
20,Asar-CT 40/12.5 Tablet
21,Asar-CT 40/6.25 Tablet
22,Asarab-DSR Capsule
23,Asart 25mg Tablet
24,Asart 50mg Tablet
25,Asart HT 50 mg/12.5 mg Tablet
26,Asat 10 Tablet
27,Asat 20mg Tablet
28,Asat 20mg Tablet
29,Asat 5mg Tablet
30,Asav CV 500mg/125mg Tablet
31,Asbac-P Tablet
32,Asben 200mg Syrup
33,Asbetos Tablet
34,Asbidox 100mg Tablet
35,Ascabiol Emulsion
36,Ascabiol Emulsion
37,Ascad 150mg Tablet
38,Ascam D Syrup
39,Ascapar 200mg Tablet SR
40,Ascapar MR 100mg/2mg Tablet
41,Ascapar P 100mg/500mg Tablet
42,Ascapil 12A Tablet DT
43,Ascapil 6mg Tablet
44,Ascapil A Tablet
45,Ascapil Mono 6mg Tablet DT
46,Ascef 200mg Tablet
47,Ascef-T 1000mg/125mg Injection
48,Ascef-T 1000mg/125mg Injection
49,Ascefi-CV Tablet
50,Ascefix 200mg Tablet
51,Ascefix 200mg Tablet
52,Ascefix 50mg Tablet DT
53,Ascefix AZ 200mg/250mg Tablet
54,Ascefix O 200mg/200mg Tablet
55,Ascend 20mg Tablet
56,Ascend D 10 mg/20 mg Tablet
57,Ascent PT Tablet
58,Ascip 250mg Tablet
59,Asclav 500mg/125mg Tablet
60,Asclav Injection
61,Asclin 100mg Tablet
62,Asclin Injection
63,Asclin P 100 mg/500 mg Tablet
64,Ascochew Chewable Tablet Orange
65,Ascochew-D Soft Gelatin Capsule
66,Ascodase Tablet
67,Ascodex Cough Syrup
68,Ascodex Plus Syrup
69,Ascodex Plus Tablet
70,Ascodryl Syrup
71,Ascoja 1500mcg Injection
72,Ascolin 250mg Injection
73,Ascolin 500mg Injection
74,Ascolix DX Syrup
75,Ascolix LS Syrup
76,Ascolix Syrup
77,Ascomid Plus  Injection
78,Ascophylline 100mg Capsule
79,Ascorex Expectorant
80,Ascoril C  Syrup
81,Ascoril D 12 Oral Suspension Orange
82,Ascoril D Junior Cough Syrup
83,Ascoril D Plus Syrup Sugar Free
84,Ascoril Flu Drops
85,Ascoril Flu Syrup
86,Ascoril LS Drops
87,Ascoril LS Junior Syrup
88,Ascoril LS Junior Syrup
89,Ascoril LS Syrup
90,Ascoril Plus Expectorant
91,Ascoril Plus Expectorant
92,Ascoril Plus LS Expectorant
93,Ascoril Plus Tablet
94,Ascoril SF Expectorant
95,Ascort 6mg Tablet
96,Ascort Forte 1mg Tablet
97,Ascortisone 100mg Injection
98,Ascovent -SR Tablet
99,Ascovent 100mg Capsule
100,Ascovent 50mg/5ml Syrup
101,Ascovent DX 650mg Tablet MR
102,Ascoxia MR 60mg/4mg Tablet
103,Ascoxol Syrup
104,Ascoxol-P Drops
105,Ascuxone Forte 1000mg/500mg Injection
106,Asda 200mg Tablet
107,Asdale Oral Suspension
108,Asdale Tablet
109,Asdale-CZ Tablet
110,Asdale-CZ Tablet
111,Asdale-SP Tablet
112,Asdec P 50mg/325mg Tablet
113,Asdeca 25mg Injection
114,Asdeca 25mg Injection
115,Asdeca 50mg Injection
116,Asdeca 50mg Injection
117,Asden 4mg Tablet
118,Asdiclo MR Tablet
119,Asdiclo MR Tablet
120,Asdiclo-P Tablet
121,Asdiclo-SP Tablet
122,Asdofyl 400mg Tablet
123,Asdol 100mg Injection
124,Asdol-P Tablet
125,Asdon 4mg Tablet
126,Asdox 100mg Dry Syrup
127,Asdox 100mg Tablet DT
128,Asdox 200 Tablet DT
129,Asdox 200 Tablet DT
130,Asdox 50 Dry Syrup
131,Asdox CV 200mg/125mg Tablet
132,Asdry 1gm Injection
133,Asdry 250 Injection
134,Asdry 500mg Injection
135,Asdry-S 1.5gm Injection
136,Asdry-S 375 Injection
137,Ase 10mg Tablet
138,Ase DP Tablet
139,Ase Plus 50mg/10mg Tablet
140,Asenapt 10 Sublingual tablet
141,Asenapt 5 Sublingual tablet
142,Asensia 400mg Tablet
143,Asenven 30mg Tablet
144,Asera 3 Tablet
145,Asera P 100 mg/500 mg Tablet
146,Asern-P Tablet
147,Aserp TH 100mg/4mg Tablet
148,Aserp Tablet
149,Aserra P 100mg/325mg/15mg Tablet
