,items
0,Av Cid 500mg Tablet
1,Av Cold Plus Tablet
2,Av Dp 10mg/10mg/5mg Tablet
3,Av Force 100mg Tablet
4,Av Force 50mg Tablet
5,Av Ortho Tr 90mg/48mg/100mg Tablet
6,Av Tear 0.5% Eye Drop
7,Ava 10mg Tablet
8,Ava 20mg Tablet
9,Avacan 80mg Tablet
10,Avacan Injection
11,Avacan M 80 mg/250 mg Tablet
12,Avacard 5mg Tablet
13,Avacard-AT Tablet
14,Avadase EC 5mg Tablet
15,Avadase Forte 10mg Tablet
16,Avadase Forte 10mg Tablet
17,Avadase MR Tablet
18,Avadase Plus Tablet
19,Availcef 500 Tablet
20,Availcef 750mg Injection
21,Availcef 750mg Injection
22,Avakill Lotion
23,Avamol A Oral Suspension
24,Avamys Nasal Spray
25,Avancin 250mg Tablet
26,Avancin 500mg Tablet
27,Avandia 4mg Tablet
28,Avanep Eye Drop
29,Avantaz Tablet
30,Avapar 25mg Injection
31,Avapar Tablet
32,Avarux 10mg Tablet
33,Avarux 20mg Tablet
34,Avas 10 D Tablet
35,Avas 10 Tablet
36,Avas 10 Tablet
37,Avas 20 D Tablet
38,Avas 20 Tablet
39,Avas 20 Tablet
40,Avas 40 Tablet
41,Avas 40 Tablet
42,Avas 5 Tablet
43,Avas 5 Tablet
44,Avas 80 Tablet
45,Avas AM 5mg/10mg Tablet
46,Avas CV 10 Capsule
47,Avas CV 20 Capsule
48,Avas Plus 10mg/375mg Tablet
49,Avas-EZ Tablet
50,Avascare 10mg Tablet
51,Avascare 5mg Tablet
52,Avaslip 10mg Tablet
53,Avasort 10 Tablet
54,Avasort 20 Tablet
55,Avasth Syrup
56,Avastimab 100mg Injection
57,Avastimab 400mg Injection
58,Avastin 100mg Injection
59,Avastin 10mg Tablet
60,Avastin 400mg Injection
61,Avastin 5mg Tablet
62,Avastin Injection
63,Avaxim 160IU Injection
64,Avaxim 80U Pediatric Vaccine
65,Avaya 200mg/5ml Suspension
66,Avaya 250mg Tablet DT
67,Avaya 250mg Tablet DT
68,Avazide 60mg Tablet XR
69,Avazide MF 40mg/500mg Tablet SR
70,Avazide MF 40mg/500mg Tablet SR
71,Avazide MF 60mg/500mg Tablet XR
72,Avbact 4000mg/500mg Injection
73,Avbet 120mg Injection
74,Avbet 50mg Tablet
75,Avbet 60mg Injection
76,Avcaine Oral Gel
77,Avcaine Syrup
78,Avcal D3 Injection
79,Avcef 1000mg Injection
80,Avcef 125mg Injection
81,Avcef 250mg Injection
82,Avcef 500mg Injection
83,Avcef S 1000mg/500mg Injection
84,Avcef S 125mg/62.5mg Injection
85,Avcef S 250mg/125mg Injection
86,Avcef S 500mg/250mg Injection
87,Avcef TZ 1000mg/125mg Injection
88,Avcef TZ 250mg/125mg Injection
89,Avcef TZ 250mg/31.25mg Injection
90,Avcef TZ 250mg/31.25mg Injection
91,Avcet 10mg Tablet
92,Avcet 5mg Tablet
93,Avcet-MK Syrup
94,Avcet-MK Tablet
95,Avcif 100mg Tablet DT
96,Avcif 200mg Tablet DT
97,Avcif CL 200mg/125mg Tablet
98,Avcif Dry Syrup
99,Avcili 10mg Tablet
100,Avcili 5mg Tablet
101,Avcip 500mg Tablet
102,Avclaf Dry Syrup
103,Avclav 1000mg/200mg Injection
104,Avclav 250mg/125mg Tablet
105,Avclav 250mg/50mg Injection
106,Avclav 500mg/100mg Injection
107,Avclav 500mg/125mg Tablet
108,Avclav 875mg/125mg Tablet
109,Avclav Dry Syrup
110,Avclav Duo Dry Syrup
