,items
0,BI-CLAV 500mg/125mg Tablet
1,BI-CLAV Dry Syrup
2,BIBIDIP 5MG/50MG TABLET
3,BIGFUN 100MG TABLET
4,BIGFUN 50MG TABLET
5,BILACTAM 125MG/125MG CAPSULE
6,BILACTAM 125MG/125MG SYRUP
7,BILACTAM FORTE 125MG/125MG INJECTION
8,BILACTAM FORTE 250MG/250MG CAPSULE
9,BILACTAM FORTE 250MG/250MG INJECTION
10,BINEX 450MG/300MG TABLET
11,BINEX Z 150MG/750MG/225MG TABLET
12,BINEX Z 150MG/750MG/225MG TABLET
13,BINEX Z 50MG/300MG/100MG TABLET DT
14,BIO ANXIT ES TABLET
15,BIOCIP 500MG TABLET
16,BIOFER S 100mg/5ml Injection
17,BIOPLEGIA INJECTION
18,BIOPRIM 40MG TABLET SR
19,BIOPRIN 10MG TABLET
20,BIOPRIN 40MG CAPSULE SR
21,BIOSOX 10MG TABLET
22,BIOSOX 40MG TABLET
23,BIOTRAMA 50MG INJECTION
24,BIRYTH 50 MG TABLET
25,BITORVA 10MG/10MG TABLET
26,BITRATE 20MG TABLET
27,BIXORI 90MG TABLET
