,items
0,BP 1200000IU Injection
1,BP 600000IU Injection
2,BP AT 5mg/50mg Tablet
3,BP Act 25mg Tablet
4,BP Act 50mg Tablet
5,BP Cura 5mg/50mg Tablet
6,BP Cure-AT 5mg/50mg Tablet
7,BP Tel 20mg Tablet
8,BP Tel 40mg Tablet
9,BP Tel 80mg Tablet
10,BP Tel AM 40 mg/5 mg Tablet
11,BP Tel AM 40mg/5mg Tablet
12,BP Tel H 40 mg/12.5 mg Tablet
13,BP-Cin LB Capsule
14,BP-Loride Tablet
15,BP-Nol 100mg Tablet
16,BP-Nol 25mg Tablet
17,BP-Nol 50mg Tablet
18,BP-Tel 20mg Tablet
19,BP-Tel 40 Tablet
20,BP-Tel-H Tablet
21,BPMET XL  TABLET 25 MG
