,items
0,Bl-Fin 250 Tablet
1,Blacin 200mg Tablet
2,Blacin 400mg Tablet
3,Blacin OZ 200mg/500mg Tablet
4,Blacip 500mg Tablet
5,Blacip-TZ 500mg/600mg Tablet
6,Black Crown 2% Solution
7,Black Crown Forte 5% Solution
8,Bladmir 25 Tablet ER
9,Bladmir 50mg Tablet
10,Bladmir-S 25 Combikit
11,Bladmir-S 50 Combikit
12,Bladon NF 100mg Tablet
13,Blador 25mg Tablet ER
14,Blador 50mg Tablet ER
15,Bladospas Tablet
16,Bladospas-O Tablet
17,Bladovox 200mg Tablet
18,Blag 150mg Injection
19,Blaise LS Junior Syrup
20,Blancid 20mg Tablet
21,Blancid Plus Suspension
22,Blancid-D Capsule
23,Blanim AP 100mg/500mg Tablet
24,Blanim S Tablet
25,Blapanto 40mg Tablet
26,Blapanto-D 10mg/40mg Tablet
27,Blapanto-D 10mg/40mg Tablet
28,Blast-O Kold Oral Suspension
29,Blastocarb 10mg Injection
30,Blastofen 10mg Tablet
31,Blastofen 20mg Tablet
32,Blastolem 10mg Injection
33,Blastolem 50mg Injection
34,Blastoplatin 150mg Injection
35,Blavin 500mg Infusion
36,Blaxime 200mg Tablet
37,Blaz AP 100mg/325mg Tablet
38,Blaz APS 100mg/325mg/15mg Tablet
39,Blaz NP 100mg/325mg Tablet
40,Blazcort 12mg Tablet
41,Blazcort 30mg Tablet
42,Blazex 40mg Injection
43,Blazex 40mg Tablet
44,Blazex D 10mg/40mg Tablet
45,Blazex D 30mg/40mg Capsule SR
46,Blazextin 40mg Injection
47,Blazextin 40mg Tablet
48,Blazextin D 10mg/40mg Tablet
49,Blazextin DSR 30mg/40mg Capsule
50,Blazi 250mg Tablet
51,Blazi 500mg Tablet
52,Blazo-OZ 200mg/500mg Tablet
53,Blazo-OZ Syrup
54,Blaztere 4mg Injection
55,Blc A 5mg/60mg Tablet
56,Blc K Eye Drop
57,Bldox 200 Tablet DT
58,Bldox-AZ 200mg/250mg Tablet
59,Bldox-AZ 200mg/250mg Tablet
60,Blecef 100 DT Tablet
61,Blecef 50mg Dry Syrup
62,Blecef AZ 200mg/250mg Tablet
63,Blecef-LB Tablet
64,Blecef-LB Tablet
65,Blecef-O 200 Tablet
66,Blecort 6 Tablet
67,Blecort 6mg Oral Suspension
68,Bledec 25mg Injection
69,Bledec 50mg Injection
70,Bledem 2mg Oral Drops
71,Bledem 4 Tablet MD
72,Bledmax 15mg Injection
73,Bleebar 500mg Tablet
74,Bleebar-M 500mg/250mg Tablet
75,Bleena Injection
76,Bleena MF 500 mg/250 mg Tablet
77,Blefate 1000mg Syrup
78,Blefen 75mg Injection
79,Blefen P 50mg/325mg Tablet
80,Blefen-MR Tablet
81,Blefen-SP Tablet
82,Bleflam P Oral Suspension
83,Bleflox OZ Oral Suspension
84,Bleflox Oral Suspension
85,Blegab P 750mcg/75mg Capsule
86,Blemic D 80mg/250mg Tablet
87,Blemic Forte Oral Suspension
88,Blemic P Oral Suspension
89,Blemin 1500mcg Injection
90,Blemixon 500mg Tablet
91,Blemol 250mg Oral Suspension
92,Blemol 650mg Tablet
93,Blemon FX 10mg/120mg Tablet
94,Blemon L 5mg/10mg Tablet
95,Blemon-L Syrup
96,Blemox CV LB 500mg/125mg Tablet
97,Blenac P 100mg/325mg Tablet
98,Blenac TH 4mg/100mg/325mg Tablet
99,Blenac-MR Tablet
100,Blenac-NP Tablet
101,Blenac-SP Tablet
102,Blenac-SP Tablet
103,Blendo Injection
104,Blendomol Capsule SR
105,Blentop 40mg Injection
106,Blentop D 30mg/40mg Capsule SR
107,Blentop D 30mg/40mg Capsule SR
108,Bleocare 15mg Injection
109,Bleocare 30mg Injection
110,Bleocel 15IU Injection
111,Bleochem 15IU Injection
112,Bleocin 15IU Injection
113,Bleocip 15IU Injection
114,Bleocol 15IU Injection
115,Bleolem 15mg Injection
116,Bleomycin Sulphate Injection
117,Bleotex 15IU Injection
118,Bleowel 15IU Injection
119,Bleoz 15IU Injection
120,Blepod 100mg Dry Syrup
121,Blepod 50mg Dry Syrup
122,Bless 125mg Syrup
123,Bless 250mg Tablet DT
124,Blesyl 250mg Tablet
125,Blesyl 500mg Tablet
126,Blieu-OD Injection
127,Blink I 0.5% Eye Drop
128,Blisderm Ointment
129,Blisderm S Cream
130,Blisdox CV 100mg/62.5mg Dry Syrup
131,Blisdox CV 200mg/125mg Tablet
132,Blisdox CV Dry Syrup
133,Bliskof Syrup
134,Blismox 250mg Capsule
135,Blisnac SP Tablet
136,Blispam-Lite Tablet
137,Blispam-Plus Tablet
138,Blisto 1 Tablet
139,Blisto 1MF Tablet PR
140,Blisto 2 MF Tablet PR
141,Blisto 2 Tablet
142,Blisto 4 MF Tablet PR
143,Blisto 4 Tablet
144,Blisto 4 Tablet
145,Blisto MF 2mg/500mg Tablet
146,Blisto Trio 1 Tablet PR
147,Blisto Trio 2 Tablet PR
148,Blisulide 100mg Tablet
149,Bliz 0.25mg Tablet
150,Bliz 0.5mg Tablet
151,Bloc 250mg Tablet
152,Bloc 500mg Tablet
153,Bloc T 250mg/250mg Tablet
154,Blocacid 20mg Tablet
155,Blocacid 40mg Tablet
156,Blocid 20mg Injection
157,Blocid 20mg Tablet
158,Blocid DM 10mg/20mg Tablet
159,Blocid I 20mg/150mg Capsule SR
160,Blocid L 75mg/20mg Capsule SR
161,Blocin 100mg Injection
162,Blocin 250mg Injection
163,Blocin 500mg Injection
164,Blocin 500mg Injection
165,Blockasol Injection
166,Blocker 125mg Injection
167,Blockleder 0.05% Cream
168,Blockleder 0.05% Lotion
169,Blockleder-S Ointment
170,Blockuf Blue Syrup
171,Blockuf Red 100mg/2.5mg/8mg Syrup
172,Blofen 50mg/500mg Tablet
173,Blofen MR Tablet
174,Blogan 20mg/500mg Tablet
175,Blokcid 10mg Tablet
176,Blokcid D 30 mg/10 mg Tablet
177,Blokcid D 30 mg/10 mg Tablet
178,Blokcid L 75mg/10mg Tablet
179,Bloket 500mg Injection
180,Bloket 500mg Tablet
181,Blomig 10mg Tablet
182,Blomig P 10 mg/5 mg/325 mg Tablet
183,Blomin 15IU Injection
184,Blonarin 4mg Tablet
185,Blonarin 4mg Tablet
186,Blonarin 8mg Tablet
187,Blonitas 2 Tablet
188,Blonitas 4 Tablet
189,Blonitas 8 Tablet
190,Bloomish Cream
191,Blosar 50mg Tablet
192,Blosave 250mg Tablet
193,Blosern 2mg Tablet
194,Blosern 4mg Tablet
195,Blosern 8mg Tablet
196,Blospar 200mg Tablet
197,Blothin 250mg Tablet
198,Blowcid 20mg Tablet
199,Blowcid D 30mg/20mg Capsule
200,Blowin Plus 100mg/500mg Tablet
201,Blox 250mg Tablet DT
202,Blox 500mg Capsule
203,Blox DC 250mg/250mg Capsule
204,Bloxil 23.75mg Tablet ER
205,Bloxil 47.5mg Tablet ER
206,Bloxil A 5mg/50mg Tablet ER
207,Blozam 10mg Tablet
208,Blozam 20mg Tablet
209,Blozam 5mg Tablet
210,Blp Zole 40mg Tablet
211,Blson 20mg Tablet
212,Blubact O 200mg/200mg Tablet
213,Blubend Plus 6mg/400mg Tablet
214,Blucef 500mg Capsule
215,Blucef P 125mg Tablet
216,Blucef P Dry Syrup
217,Blucid ASR 200mg/20mg Capsule
218,Blucid LS 75mg/20mg Capsule
219,Blucillin Tazo 1000 mg/125 mg Injection
220,Blucillin Tazo 4000mg/500mg Injection
221,Blucin 100mg Injection
222,Blucin 250mg Injection
223,Blucin 500mg Injection
224,Bluclav 250mg/125mg Tablet
225,Bluclav 500mg/125mg Tablet
226,Bluclav Forte Dry Syrup
227,Bluclox 250 mg/250 mg Capsule
228,Bluclox 250mg/250mg Injection
229,Bluclox P 125 mg/125 mg Tablet
230,Blucob GP 300mg/500mcg Tablet
231,Blucob NT 75mg/10mg Tablet
232,Blucort 100mg Injection
233,Blucort 200mg Injection
234,Blucyp T Syrup
235,Bludan 2mg Injection
236,Bludan 2mg Oral Suspension
237,Bludan 4mg Tablet MD
238,Bludan 8mg Tablet MD
239,Bludec 25mg Injection
240,Bludec 50mg Injection
241,Bludec-SP Tablet
242,Bludex Syrup
243,Bludol 50mg/325mg Tablet
244,Bludol P 37.5mg/325mg Tablet
245,Bludol P 37.5mg/325mg Tablet
246,Bludrol 25mg Injection
247,Bludrox 125mg Tablet
248,Bludrox 250mg Tablet
249,Bludrox 500mg Tablet
250,Bludrox A 30 mg/500 mg Tablet
251,Bludrox CA 500 mg/125 mg Tablet
252,Bludrox LB 125 mg/30 mg Tablet
253,Bludrox LB 250 mg/60 mg Tablet
254,Bludrox LB 500 mg/60 mg Tablet
255,Bludrox P 125mg Syrup
256,Bludrox P 125mg Tablet
257,Bluegel-SF Oral Suspension
258,Bluesolone 5mg Tablet
259,Bluetus Syrup
260,Blufen MR 100mg/325mg/250mg Tablet
261,Blufen P 100mg/325mg Tablet
262,Blufen P Syrup
263,Blufen Plus 100mg/4mg Tablet
264,Blufen SP 100mg/325mg/10mg Tablet
265,Blufen Spas 80mg/100mg Tablet
266,Blufen TH 4mg/100mg/325mg Tablet
267,Blufine 1% Cream
268,Blufine 250mg Tablet
269,Blufine 500mg Tablet
270,Bluflox 200mg Tablet
271,Bluflox OZ Dry Syrup
272,Blufree B Cream
273,Blufree Zpto Shampoo
274,Blugest 300 Soft Gelatin Capsule
275,Blukof Junior Syrup
276,Blukof Syrup
277,Blukoff LS Syrup
278,Blulin D Tablet
279,Blumef Spas 10mg/250mg Tablet
280,Blumef Spas 10mg/250mg Tablet
281,Blumeta 25 Tablet ER
282,Blumeta 50 Tablet PR
283,Blumeth 16mg Tablet
284,Blumeth 4mg Tablet
285,Blumeth 8mg Tablet
286,Blumika 250mg Injection
287,Blumika 500mg Injection
288,Blumox 250mg Tablet DT
289,Blumox 500mg Capsule
290,Blumox BH 250mg/8mg Capsule
291,Blumox Dxl 250 mg/250 mg Capsule
292,Blumox LB 250mg/60Million spores Tablet
293,Blumox LB 500mg/60Million spores Tablet
294,Blumox P 125mg Tablet
295,Blumox XL 250mg/250mg/60Million spores Tablet
296,Blumox XL Capsule
297,Blumox XL Kid 125mg/125mg/60Million spores Tablet
298,Blumox-CA 1.2gm Injection
299,Blumox-CA 228.5mg Dry Syrup
300,Blumox-CA 375mg Tablet
301,Blumox-CA 500mg/125mg Tablet
