,items
0,Brace 100 Capsule
1,Brace 100mg/500mg Tablet
2,Brace 50mg Syrup
3,Brace TH 100mg/4mg Tablet
4,Brachy Expectorant
5,Bracken-NTM Tablet
6,Braclin 150mg Capsule
7,Braclin 300mg Capsule
8,Braclin 300mg Injection
9,Braclin 600mg Injection
10,Bract 400mg Tablet
11,Bradia 5 Tablet
12,Bradia 7.5mg Tablet
13,Bradilex Syrup
14,Brag Eye Drops
15,Braincit-P Tablet
16,Braingates 1000mcg Injection
17,Brainox 1200mg Tablet
18,Brainox 200mg Injection
19,Brainox 400mg Tablet
20,Brainox 500mg Syrup
21,Brainpro 10mg Tablet
22,Brainstar 0.8mg Tablet
23,Brainstar OD 2.5mg Tablet
24,Braintam 800mg Tablet
25,Braintam Syrup
26,Brakcid D 30mg/40mg Capsule SR
27,Brakke Tablet
28,Bral 500mg Tablet
29,Bralspas 20mg/325mg Tablet
30,Bralspas Injection
31,Bralspas Kid 5mg/125mg Oral Suspension
32,Bralspas Plus 10mg/250mg Tablet
33,Bramadol 100mg Injection
34,Bramadol 50mg Injection
35,Bramadol-P 50mg/500mg Capsule
36,Bramil 2.5mg Tablet
37,Bramil 5mg Tablet
38,Branac Plus 100mg/500mg/15mg Tablet
39,Branip Tablet
40,Branolin P 500mg/400mg Tablet
41,Bravelle 100IU Injection
42,Bravelle 75I.U Injection
43,Bravemol Infusion
44,Bravia 20 Tablet
45,Bravia-D Tablet
46,Bravia-DSR Capsule
47,Bravia-IT Capsule
48,Bravia-LS Capsule SR
49,Bravo Expectorant
50,Bravopod 200 Tablet DT
51,Bravopod Oral Suspension
52,Braxclav 500mg/125mg Tablet
53,Braxgest D Tablet
54,Braxpan 40mg Tablet
55,Braxpan D 10mg/40mg Tablet
56,Brazicin Tablet
57,Brazo 20mg Tablet
58,Brazo-D 10mg/20mg Tablet
59,Brazo-IT 20mg/150mg Capsule
60,Brazol DSR 30mg/20mg Capsule
61,Brcof LS Syrup
62,Bre Mox Dry Syrup
63,Bre Mox Dry Syrup
64,Bre ON 2mg Dry Syrup
65,Breakfree 10mg/10mg/2.5mg Tablet
66,Breakuf Blue Syrup
67,Breakuf Red Syrup
68,Breakuf Syrup
69,Breasy Oral Drops
70,Breasy-AX Syrup
71,Breasy-LS Syrup
72,Breath DX Syrup
73,Breath Syrup
74,Breathair Plus Syrup
75,Breathezy 10mg Tablet
76,Breathezy L 5 mg/10 mg Tablet
77,Breaze 10mg Tablet
78,Breaze 5mg Tablet
79,Breaze-FX Tablet
80,Breaze-L KID Tablet DT
81,Breaze-L Tablet
82,Brebate-GM Ointment
83,Brecef 200mg Tablet
84,Brecet 5mg Tablet
85,Brecet M 5mg/10mg Tablet
86,Brecita 100 Tablet
87,Brecita 50 Tablet
88,Brecold 5mg/325mg/5mg Tablet
89,Brecomin 1500 Injection
90,Brecomin 2500 Injection
91,Brecon 100mg Capsule
92,Brecon 200mg Capsule
93,Bredium 20mg Injection
94,Breemax 200mcg Inhaler
95,Breemax F Inhaler
96,Breemax F Inhaler
