,items
0,Btam 800mg Tablet
1,Btam 800mg Tablet
2,Btam Syrup
3,Btaz 100mg Oral Suspension
4,Btaz 250mg Tablet
5,Btaz 500 Tablet
6,Btc 150mg Tablet
7,Btc Kit
8,Btcam 40mg Tablet
9,Btcef 100mg Tablet
10,Btcef 200mg Tablet
11,Btcef 50mg Oral Suspension
12,Btcef 50mg Tablet
13,Btcef CV 200mg/125mg Tablet
14,Btcef DS 100mg Oral Suspension
15,Btcef OLS 200mg/200mg Tablet
16,Btcephal 500mg Capsule
17,Btcid 20mg Capsule
18,Btcid D 10mg/20mg Capsule
19,Btcid D 10mg/20mg Capsule
20,Btcilin TZ 4000mg/500mg Injection
21,Btcin 500mg Injection
22,Btclot Tablet
23,Btclot XT Tablet
24,Btcobal GB 300mg/500mcg Tablet
25,Btcof D Syrup
26,Btcom Eye Drop
27,Btdec 25mg Injection
28,Btdec 50mg Injection
29,Bterb 250mg Tablet
30,Btfex 120mg Tablet
31,Btfex 180mg Tablet
32,Btfex M 10mg/120mg Tablet
33,Btfex M 10mg/120mg Tablet
34,Btflam SP 100mg/325mg/15mg Tablet
35,Btflam Suspension
36,Btflam Tablet
37,Btflam-TH Tablet
38,Btfol DP 10mg/10mg/1.5mg Tablet
39,Bthro 500mg Tablet
40,Btlene Syrup
41,Btlene Syrup
42,Btlin 300mg Tablet
43,Btmox CLS 250mg/250mg/10mg Capsule
44,Btmox LB 500mg Capsule
45,Btowin 30mg/40mg Capsule SR
46,Btpod 100mg Tablet
47,Btpod 200mg Tablet
48,Btpod 50mg Oral Suspension
49,Btpod CV 200mg/125mg Tablet
50,Btquin 200mg Tablet
51,Btquin OZ 200mg/500mg Tablet
52,Btr D Tablet
53,Btrim Oral Suspension
54,Btrip 90mg/48mg/100mg Tablet
55,Btrol-TR 40 Tablet
56,Btstop 500mg Tablet
57,Btstop-MF 500mg/250mg Tablet
58,Btsunate 60mg Injection
59,Btuss D Syrup
60,Btuss LS Syrup
61,Btwelv GP 300mg/500mcg Capsule
62,Btwelv-PG Capsule
63,Btzin 25mg Tablet
64,Btzin D 15mg/20mg Tablet
65,Btzole 100mg Capsule
