,items
0,Bublex Capsule
1,Buc Syrup
2,Buceff 100mg Tablet DT
3,Buceff 200mg Tablet
4,Buceff 50mg Tablet DT
5,Buceff CV 200mg/125mg Tablet
6,Bucelon 2 Tablet
7,Bucelon 60mg Injection
8,Buclomol 50mg/325mg Tablet
9,Bucold Oral Suspension
10,Bucon Plus 400 mg/325 mg Tablet
11,Budamate 100 Transcaps
12,Budamate 100 Transhaler
13,Budamate 200 Transcaps
14,Budamate 200 Transhaler
15,Budamate 400 Transcaps
16,Budamate 400 Transhaler
17,Budamate Forte Transcaps
18,Budamate Neb 0.5mg Respules 2ml
19,Budamate Neb 1mg Respules 2ml
20,Budamate TRANSPULES
21,Budate 100 Transhaler
22,Budate 100mcg Transcaps
23,Budate 200 Transcaps
24,Budate 200 Transhaler
25,Budate 400 Transcaps
26,Budate Forte Transpules 2ml
27,Budate Transpules
28,Budecort 0.5mg Respules 2ml
29,Budecort 100 Inhaler
30,Budecort 100 Rotacap
31,Budecort 1mg Respules 2 ml
32,Budecort 200 Inhaler
33,Budecort 200 Rotacap
34,Budecort 400 Rotacap
35,Budecort CR Capsule
36,Budefast Oxipule
37,Budeflam Aquanase
38,Budemon 0.5mg Respules
39,Budenase 2.5 mg/1 mg Respules
40,Budenase AQ Nasal Spray
41,Budenex 0.5mg Respules 2ml Each
42,Buderator 0.5mg Respules
43,Budesal 0.5mg Respules 2ml
44,Budesal 1mg Respule 2ml
45,Budeste 0.5mg Respules 2ml
46,Budeste 1mg Respules 2ml
47,Budetrol 100 Inhaler
48,Budetrol 12mcg/400mcg Capsule
49,Budetrol 200 Inhaler
50,Budetrol 200 Rotacap
51,Budetrol 400 Inhaler
52,Budetrol 400 Rotacap
53,Budetrol 6mcg/100mcg Rotacap
54,Budetrol Forte Capsule
55,Budetrol Forte Inhaler
56,Budevin F 6mcg/100mcg Divicap
57,Budevin F 6mcg/100mcg Inhaler
58,Budevin F 6mcg/200mcg Divicap
59,Budevin F 6mcg/200mcg Inhaler
60,Budevin F 6mcg/400mcg Divicap
61,Budevin F 6mcg/400mcg Inhaler
62,Budexa 0.5mg Respules 2ml
63,Budexa 1mg Respules 2ml
64,Budez 100mcg Inhaler
65,Budez 100mcg Nasal Spray
66,Budez 200mcg Inhaler
67,Budez CR Capsule
68,Budimist Respules 2ml
69,Budirik 100 Capsule
70,Budirik 100 Capsule
71,Budirik 200 Capsule
72,Budirik 400 Capsule
73,Budojet 0.5mg Respules
74,Budol 400mg/500mg Tablet
75,Budvent 100mcg Easecaps
76,Budvent 200mcg Easecaps
77,Buefen 10mg Tablet
78,Buefen 20mg Tablet
79,Bufare 1000mg Suspension
80,Bufare 1000mg Suspension
81,Bufatas IV Injection
82,Bufex C Tablet
83,Bufex Kid 100 mg/125 mg Tablet
84,Bufex Plus 400 mg/500 mg Tablet
85,Buffet-DXR 20mg/40mg Capsule
86,Buffpan D 30mg/40mg Capsule
87,Buflam 400mg/325mg Tablet
88,Buflam MTS Tablet
89,Buflam Plus Suspension
90,Buflam Plus Tablet
91,Buflex MR Tablet
92,Buflo 200mg Tablet
93,Buflo-OZ Tablet
94,Bufrex 250mg Tablet
95,Bufrex 500 Tablet
96,Bufrix 250mg Tablet
97,Bufrix 250mg Tablet
98,Bufrix 500mg Tablet
99,Buftiz MR Tablet
100,Bugderm Cream
101,Buglac 2% Gargle
102,Buglac Mouth Wash
103,Bukstat Tablet
104,Bularid L 20mg Tablet
105,Bularid Tablet
106,Bulcillin 250mg Capsule
107,Bulcillin 500mg Capsule
108,Buldef 6 Tablet
109,Buldef 6mg Syrup
110,Bulet 150mg Tablet SR
111,Bulide P 100mg/500mg Tablet
112,Bulitro 250 Tablet
113,Bulitro 500 Tablet
114,Bulky Syrup
115,Bulky Syrup
116,Bullcef 250mg Tablet
117,Bullcef 500mg Tablet
118,Bullcef CV 500mg/125mg Tablet
119,Bulldose 200mg Tablet
120,Bulldose 400mg Tablet
121,Bulldose TZ 200mg/600mg Tablet
122,Bulldose TZ Suspension
123,Bullfix 200mg/600mg Tablet
124,Bullmox CV 500mg/125mg Tablet
125,Bullmox CV 500mg/125mg Tablet
126,Bulltus-M Syrup
127,Bullzo 600mg Tablet
128,Buloc 0.5% Injection
129,Buloc H 20mg Injection
130,Bultra 500mg Injection
131,Buminate 20% Infusion
132,Buminate Infusion
133,Bunalco Injection
134,Bunase 0.5 Respules
135,Bunase 100mcg Inhaler
136,Bunase 1mg Respules
