,items
0,C-10 Cold & Total Tablet
1,C-10 Cold Tablet
2,C-Bact 500mg/500mg Injection
3,C-Bend 400mg Tablet
4,C-Bend Syrup
5,C-Bend Syrup
6,C-Click Eye Drop
7,C-Colin-P Tablet
8,C-Doxim 100 Tablet DT
9,C-Doxim 200 Tablet DT
10,C-Doxim CV Dry Syrup
11,C-Doxim CV Dry Syrup
12,C-Doxim Dry Syrup
13,C-FX 200mg Tablet
14,C-FX 200mg Tablet
15,C-Hawk 100 Tablet
16,C-Hawk-AZ Tablet
17,C-Hawk-OX Tablet
18,C-Hop 100mg Tablet
19,C-Hop 200mg Soft Gelatin Capsule
20,C-Hop 200mg Tablet
21,C-Hop 200mg Tablet SR
22,C-Hop 300 Tablet SR
23,C-Hop 300mg Tablet SR
24,C-Hop 400mg Tablet
25,C-Hop 50mg Tablet
26,C-Hop 50mg Tablet
27,C-Hop Vaginal gel
28,C-Infinity Face Serum
29,C-Itra 200 Capsule
30,C-Jet 1000mg/125mg Injection
31,C-Ketocare Lotion
32,C-Ketocare Medicated Soap
33,C-Lactum 500mg/500mg Injection
34,C-Mist Eye Drop
35,C-Mycin 300 Capsule
36,C-Nac Eye Drop
37,C-OF 200 Tablet
38,C-OF 200 Tablet
39,C-Pez SB 1000mg/500mg Injection
40,C-Pine-S 1500 Injection
41,C-Pod 100mg Dry Syrup
42,C-Pod 100mg Tablet DT
43,C-Pod 100mg Tablet DT
44,C-Pod 100mg Tablet DT
45,C-Pod 200mg Tablet
46,C-Pod 50mg Dry Syrup
47,C-Pox 200 Tablet
48,C-Poxime O 200mg/200mg Tablet
49,C-Pram S 10 Tablet
50,C-Pram S 20 Tablet
51,C-Pram S 5 Tablet
52,C-Pride 25mg Tablet
53,C-Quin 50mg/5ml Oral Suspension
54,C-Relief Tablet
55,C-Rox CV 625 Tablet
56,C-Roxim 1500mg Injection
57,C-Roxim 750mg Injection
58,C-Roxim 750mg Injection
59,C-Talo 10mg Tablet
60,C-Talo 20mg Tablet
61,C-Talo 40mg Tablet
62,C-Tech 1000mg Injection
63,C-Tech 250mg Injection
64,C-Tech 500mg Injection
65,C-Tiss Syrup
66,C-Toin 100 Tablet
67,C-Toin 300mg Tablet ER
68,C-Tron 1.5gm Injection
69,C-Trop 400mg Tablet
70,C-Trop Oral Suspension
71,C-Trop Oral Suspension
72,C-VAN 1mg Tablet
73,C-VAN 2mg Tablet
74,C-VAN 2mg Tablet
75,C-Zide-T 500 Injection
76,C-Zide-T Injection
77,C-Zine Tablet
78,C-Zole Tablet
79,C-Zole Tablet
80,C-Zone 1.5gm Injection
81,C-Zone XL Injection
