,items
0,CE 100mg Capsule
1,CE 100mg Capsule
2,CE 200mg Capsule
3,CE Clave Dry Syrup
4,CE Dexim 100mg Syrup
5,CE Dexim 100mg Syrup
6,CE Dexim 100mg Tablet DT
7,CE Dexim 100mg Tablet DT
8,CE Dexim 200mg Tablet
9,CE Dexim 50mg Dry Syrup
10,CE4 250mg Tablet
11,CE4 500 Tablet
12,CED Ear Drop
13,CEF 4 1GM INJECTION
14,CEFACIN 500 MG CAPSULE
15,CEFACURE  REDIMIX 250mg/5ml Oral Liquid
16,CEFACURE 125 MG TABLET DT
17,CEFACURE 250 MG TABLET
18,CEFACURE 500 MG CAPSULE
19,CEFACURE AF 750 MG TABLET
20,CEFAHEAD 500MG TABLET
21,CEFBLAST 500 MG TABLET
22,CEFECTIVE 100MG TABLET
23,CEFENTA 125MG TABLET
24,CEFENTA TABLET
25,CEFENTA TABLET
26,CEFF CF 500MG CAPTAB
27,CEFGLOBE S FORTE  INJECTION 1000 MG/500 MG
28,CEFI O TABLET DT
29,CEFI T 1000 MG/125 MG INJECTION
30,CEFI T 500 MG/62.5 MG INJECTION
31,CEFIFURT XL 200 MG/500 MG TABLET
32,CEFIZOX 250 MG INJECTION
33,CEFLOX 500 MG TABLET
34,CEFMIX 125 MG SYRUP
35,CEFMIX 250 MG CAPSULE
36,CEFNEST INJECTION
37,CEFO A-Z 200MG/500MG TABLET
38,CEFOCEF PLUS  TABLET 200 MG/200 MG
39,CEFOCEF XL TABLET
40,CEFPOTAS 200MG TABLET
41,CEFRINE PLUS 500 MG/250 MG INJECTION
42,CEFROM 1 GM INJECTION
43,CEFRON 125 MG SYRUP
44,CEFRON 250 MG CAPSULE
45,CEFRON 500 MG CAPSULE
46,CEFTIWIN LB 100 TABLET
47,CEFTIWIN LB 200 TABLET
48,CEFTIWIN LB 200 TABLET
49,CEFTOP 500 MG CAPSULE
50,CEFTOP 500 MG/500 MG INJECTION
51,CEFTUM 125 MG ORAL SUSPENSION
52,CEFUMADE 500MG TABLET
53,CEFURICA 500 MG TABLET
54,CEFURONAT 250MG TABLET
55,CEHAM 1000MG INJECTION
56,CELICA 10 MG TABLET
57,CELICA 20 MG TABLET
58,CELLCEPT 250 MG / ML SUSPENSION
59,CELONIB 400 MG TABLET
60,CEMALO 10MG TABLET
61,CEMALO 10MG TABLET
62,CEMALO 2.5MG TABLET
63,CEMALO-AT 5MG/50MG TABLET
64,CEMALO-AT 5MG/50MG TABLET
65,CENDU 20 MG CAPSULE
66,CENORUSH TROCHE  TABLET 100 MG
67,CENRIDE 100 MG TABLET
68,CENRIDE 200 MG TABLET
69,CEP-DP Tablet
70,CEP-MR Tablet
71,CEPHADEX 500 MG DROP
72,CEPHADEX 750 MG TABLET
73,CEPHAL 500 MG CAPSULE
74,CEPHALEXIN 250 MG TABLET
75,CEPHLENAT 100MG DROP
76,CEPHLENAT 250MG CAPSULE
77,CEPHLENAT 250MG CAPSULE
78,CEPHLENAT 500MG CAPSULE
79,CEPMOX SYRUP
80,CEPMOX SYRUP
81,CEPOCEF 50 MG DRY SYRUP
82,CEPOCOR 100MG TABLET
83,CEPOCOR 200MG TABLET
84,CEPOCOR 50MG SYRUP
85,CEREBAL TABLET
86,CERGO 0.5 MG TABLET MD
87,CERGO 0.5 MG TABLET MD
88,CERITON EPO 4000IU INJECTION
89,CERNOS 100 MG INJECTION
90,CETROLIX 0.25 MG PREFILLED SYRINGE
91,CEXIN 250 MG TABLET DT
92,CEXIN 250 MG TABLET DT
