,items
0,CL 500mg Tablet
1,CLARIDIN AM TABLET
2,CLARIE 125 MG TABLET DT
3,CLAVICEF 100 MG/62.5 MG TABLET DT
4,CLAVICEF 200 MG/125 MG TABLET
5,CLAVICEF O 200 MG/200 MG TABLET
6,CLAVMOX 1000MG/200MG INJECTION
7,CLAVMOX 500MG/125MG TABLET
8,CLAVOTROL 200 MG/28.5 MG DRY SYRUP
9,CLAVOTROL 200 MG/28.5 MG DRY SYRUP
10,CLAVOX  1000MG/200MG INJECTION
11,CLAVOX  500MG/125MG TABLET
12,CLAVOX  875MG/125MG TABLET
13,CLAVOX  875MG/125MG TABLET
14,CLB 10mg Tablet
15,CLB 5mg Tablet
16,CLB 5mg Tablet
17,CLCD Ear Drop
18,CLEARITOL GRANULES
19,CLEBOPRO 0.5 MG TABLET
20,CLINDAP GEL
21,CLINET 300 MG CAPSULE
22,CLNTOP 10MG TABLET
23,CLOCIP-B OINTMENT
24,CLOMENTIN 250MG/250MG CAPSULE
25,CLOMIN 20MG/500MG TABLET
26,CLOPIDIL 75MG TABLET
27,CLOPIDIL-AS 75MG/75MG TABLET
28,CLOPIFASTAS 75 MG/75 MG CAPSULE
29,CLOPIFLO 75 MG TABLET
30,CLOPIONE 75 MG TABLET
31,CLOPITOR A 150 MG/20 MG/75 MG CAPSULE
32,CLOPITOR A 75 MG/10 MG/75 MG CAPSULE
33,CLOSALVE F CREAM
34,CLR Dry Syrup
