,items
0,CO Clav 500mg/125mg Tablet
1,CO Diovan Fct 160/25 Tablet
2,CO Diovan Fct 80mg/12.5mg Tablet
3,CO Exit Expectorant
4,CO Force 200 mg/200 mg Tablet
5,CO Mupimet Collagen Particles
6,CO Mupimet Collagen Particles
7,CO Mupimet Powder
8,CO Symoxyl 200 mg/28.5 mg Syrup
9,CO Symoxyl 250mg/125mg Tablet
10,CO Symoxyl 500mg/125mg Tablet
11,CO Terex Syrup
12,CO-Trimoxazole Double Strength Tablet
13,CO2 Dry Syrup Mango
14,CO2 H Tablet DT
15,CO2 Tablet
16,COBESE 60 MG CAPSULE
17,COENATTO PLUS CAPSULE
18,COF-RYL Cough Syrup
19,COFENAC 50 MG/325 MG TABLET
20,COFENAC GEL
21,COGNITOL 5 MG TABLET
22,COL 500mg Tablet
23,COLIWELL  TABLET
24,COLIWELL  TABLET
25,COLOREX 750MG CAPSULE
26,COMBANTRIN A  SUSPENSION 200 MG
27,COMBIHALE FB 6 MCG/100 MCG INHALER
28,COMBIHEXT 100MG/500MG TABLET
29,COMBIHEXT 100MG/500MG TABLET
30,COMBIPLET 75 MG/75 MG CAPSULE
31,COMBITIDE 50MCG/250MCG DISKETTE
32,COMBITIDE 50MCG/250MCG INHALER
33,COMPRECEF 200MG/125MG TABLET
34,CON 150 MG TABLET
35,CONTUS ML TABLET
36,CONVIZIN 20 MG INJECTION
37,COR 4 Oral Suspension
38,COR-4 DPS Oral Drops
39,COR-4D Syrup
40,CORIEM 120MG TABLET XL
41,CORIEM 180MG TABLET XL
42,CORIEM 240MG TABLET XL
43,CORIEM 240MG TABLET XL
44,CORION 2000IU INJECTION
45,CORPRIL 2.5MG TABLET
46,CORPRIL 2.5MG TABLET
47,COSAVIL FLU TABLET
48,COSKLOT T 500MG TABLET
49,COXINEX 450MG/300MG CAPSULE
50,COXYTOL 800MG TABLET
