,items
0,CT 1000mg/125mg Injection
1,CT 10mg Capsule
2,CT 10mg Capsule
3,CT CVA Plus Tablet
4,CT Cold Tablet
5,CT Cva 250mg Tablet
6,CT Cva 500mg Tablet
7,CT Cva 500mg Tablet
8,CT Forte Tablet
9,CT L 5mg Tablet
10,CT Liv Syrup
11,CT-Don 12.5 Tablet
12,CT-Gold 500mg Tablet
13,CT-Gold Injection
14,CT-Gold Plus 500mg/800mg Tablet
15,CT-Mol Oral Suspension
16,CT-Rax 1500mg Injection
17,CT-Rax 250mg Tablet
18,CT-Rax 500 Tablet
19,CT-Rax 750mg Injection
20,CT-Rax 750mg Injection
21,CTD 12.5 Tablet
22,CTD 6.25 Tablet
23,CTD-AZ 40/12.5 Tablet
24,CTD-C 12.5/10 Tablet
25,CTD-C 6.25/10 Tablet
26,CTD-L 12.5/50 Tablet
27,CTD-L 25mg/12.5mg Tablet
28,CTD-L 6.25/25 Tablet
29,CTD-L 6.25/50 Tablet
30,CTD-M 50mg/12.5mg Tablet
31,CTD-M 6.25/25 Tablet ER
32,CTD-M 6.25/50 Tablet ER
33,CTD-O 12.5/20 Tablet
34,CTD-O 12.5/40 Tablet
35,CTD-O 6.25/20 Tablet
36,CTD-O 6.25/40 Tablet
37,CTD-T 12.5/20 Tablet
38,CTD-T 12.5/40 Tablet
39,CTD-T 12.5/80 Tablet
40,CTD-T 40/6.25 Tablet
41,CTD-T 6.25/20 Tablet
42,CTD-T 6.25/80 Tablet
43,CTD-T AM 12.5/40/5 Tablet
44,CTD-T AM 12.5/80/5 Tablet
45,CTD-T AM 6.25/40/5 Tablet
46,CTD-T AM 6.25/80/5 Tablet
47,CTX 1000mg Injection
48,CTX 125mg Injection
49,CTX L 5mg Tablet
50,CTX-GLS 1000mg Injection
51,CTX-GLS 200mg Injection
52,CTX-GLS 200mg Injection
53,CTX-GLS 500mg Injection
54,CTZ 10mg Tablet
55,CTZ Plus Syrup
56,CTZ Plus Tablet
