,items
0,Caat Asp 75 Capsule
1,Caat CV 10 Capsule
2,Caat CV 20 Capsule
3,Cabaza Tablet
4,Cabaza Tablet ER
5,Cabcin 250mg Tablet
6,Cabcin 500mg Tablet
7,Cabercet Tablet
8,Caberfem 0.5mg Tablet
9,Caberlact 0.25mg Tablet
10,Caberlact 0.5mg Tablet
11,Caberlactin 0.5mg Tablet
12,Caberlee 0.5mg Tablet
13,Caberlin 0.25 Tablet
14,Caberlin 0.5 Tablet
15,Cabermax 0.5mg Tablet
16,Cabernorm 0.5mg Tablet
17,Cabersol 0.5mg Tablet
18,Cabeta 5mg/50mg Tablet
19,Cabezon Tablet
20,Cabgolin 0.25 Tablet
21,Cabgolin 0.5 Tablet
22,Cabgon 0.25mg Tablet
23,Cabgon 0.5 Tablet
24,Cabifer 100mg Injection
25,Cabifer 100mg Injection
26,Cabimax 250mg Capsule
27,Cabimax 500mg Capsule
28,Cabimax CV 1000mg/200mg Injection
29,Cabimax CV 500mg/125mg Tablet
30,Cabimax CV 500mg/125mg Tablet
31,Cabimax CV Dry Syrup
32,Cabimax CV Dry Syrup
33,Cabinem 1000mg Injection
34,Cabisunate 120mg Injection
35,Cabisunate 60mg Injection
36,Cabisyl 500mg Capsule
37,Cabita 500mg Tablet
38,Cablide 100mg Tablet MD
39,Cablide P 100mg/325mg Tablet
40,Cabliz 0.25mg Tablet
41,Cabliz 0.5 Tablet
42,Cablok 20mg Tablet
43,Cablox 100mg Tablet
44,Cablox 200mg Tablet
45,Cablox 400mg Tablet
46,Cablox 50mg Oral Suspension
47,Cablox OZ 200mg/500mg Tablet
48,Cablox OZ Oral Suspension
49,Cablox OZ Oral Suspension
50,Cabnac 50mg/10mg Tablet
51,Cabnac 75mg Injection
52,Cabnac DP 50mg/325mg/10mg Tablet
53,Cabocyta 60mg Injection
54,Caboliv 250mg Tablet
55,Caboliv 250mg Tablet
56,Caboliv 500mg Tablet
57,Caboo 150mg Injection
58,Caboo 150mg Injection
59,Caboo 450mg Injection
60,Caboprost 125mcg Injection
61,Caboprost 250mcg Injection
62,Cabovin 250mg Tablet
63,Cabovin 250mg Tablet
64,Cabovin 500mg Tablet
65,Cabrole 20mg Tablet
66,Cabrole D 30mg/20mg Capsule SR
67,Cabrole L 75mg/20mg Capsule
68,Cabtana 60mg Injection
69,Cacef 100mg Tablet
70,Cacef 200mg Tablet
71,Cacef 50mg Syrup
72,Cacef CV Dry Syrup
73,Cacef CV Dry Syrup
74,Cacef CV Tablet
75,Caceff Tablet
76,Caceff Tablet
77,Caceff Tablet
78,Cachepime 1gm Injection
79,Cachepime 250mg Injection
80,Cachepime 500mg Injection
81,Cachepime-TZ Injection
82,Cachfix 50mg Dry Syrup
83,Cachlax 10gm/3.5gm Powder
84,Cachmik 100mg Injection
85,Cachmik 250mg Injection
86,Cachmik 500mg Injection
87,Cachof 0 200 mg/500 mg Tablet
88,Cachof 200mg Tablet
89,Cachof 400mg Tablet
90,Cachpar 120mg/5ml Suspension
91,Cachpar 500mg Tablet
92,Cachpar 500mg Tablet
93,Cachril Expectorant
94,Cacit 500mg Tablet
95,Cactra-SP Tablet
96,Cad B12 750mcg/75mg Capsule
97,Cad B12 Forte Injection
98,Cad B12 Plus Injection
99,Cad Race 5 Tablet
100,Cadabolic 25mg Injection
101,Cadabolic 50mg Injection
102,Cadace MR 100mg/325mg/250mg Tablet
103,Cadace-P Tablet
104,Cadcef 100mg Tablet
105,Cadcef 200mg Tablet
106,Cadcef 250mg Injection
107,Cadcef 250mg Injection
108,Cadcef 500mg Injection
109,Cadcef 50mg Dry Syrup
110,Cadcef O LB 200mg/200mg Tablet
111,Cadcef S 200mg/125mg Injection
112,Cadcef TZ 1000mg/125mg Injection
113,Cadcef TZ 250mg/31.25mg Injection
114,Cadcef-O Tablet
115,Cadcef-S 0.5gm/0.5gm Injection
116,Cadcit 500mg Tablet
117,Cadclav 1000mg/200mg Injection
118,Cadclav 250mg/125mg Tablet
119,Cadclav 500mg/125mg Tablet
120,Cadcof AX Syrup
121,Cadcof CX Syrup
122,Cadcof CX Syrup
123,Cadcof DX Syrup Sugar Free
124,Cadcof DX Syrup Sugar Free
125,Cadcof LX Syrup
126,Cadcof TR Syrup
127,Cadcof TR Syrup
128,Cadcold Syrup
129,Cadcold Syrup
130,Cadcold Tablet
131,Cadcort 6mg Dry Syrup
132,Cadcort 6mg Tablet
133,Caddi Syrup
134,Caddi Syrup
135,Caddy 20mg Capsule
136,Cadec 25mg Injection
137,Cadec 50mg Injection
138,Cadee Dry Syrup
139,Cadee-O Dry Syrup
140,Cadesol 25mg Injection
141,Cadesol 50mg Injection
142,Cadex Syrup
143,Cadfix 100mg Tablet DT
144,Cadfix 50mg Dry Syrup
145,Cadfix CV 200mg/125mg Tablet
146,Cadfix CV 200mg/125mg Tablet
147,Cadfix CV 200mg/125mg Tablet
148,Cadflo 20mg Capsule
149,Cadglib M 5mg/500mg Tablet
150,Cadi O M Suspension
151,Cadic 75mg Injection
152,Cadiceft 1000mg Injection
153,Cadiceft 250mg Injection
154,Cadiceft 500mg Injection
155,Cadicitron 1.4gm/5ml Syrup
156,Cadicoff Lozenges
157,Cadicrit 200mg Injection
158,Cadicrit 4000mg Injection
159,Cadictin 2mg Syrup
160,Cadictin L Syrup
161,Cadicycline 250mg Capsule
