,items
0,Cdavis T Syrup
1,Cdavis T Syrup
2,Cdcef-S 1.5gm Injection
3,Cdcon 10mg Tablet
4,Cdcon 20mg Tablet
5,Cdcon 20mg Tablet
6,Cdec 25mg Injection
7,Cdec 50mg Injection
8,Cdef 200mg Tablet DT
9,Cdef AX 125mg Syrup
10,Cdef JR 100mg Drop
11,Cdef LB Dry Syrup
12,Cdiff A Gel
13,Cdix 100mg Tablet DT
14,Cdix CV 200mg/125mg Tablet
15,Cdix CV Dry Syrup
16,Cdix LB Dry Syrup
17,Cdix LZ 200mg/600mg Tablet
18,Cdix OF Dry Syrup
19,Cdm 200mg Tablet
20,Cdmycin 200mg Tablet
21,Cdmycin 200mg Tablet
22,Cdmycin 50mg Tablet DT
23,Cdmycin Syrup
24,Cdmycin Syrup
25,Cdom 200mg Tablet
26,Cdoxin 10mg Injection
27,Cdoxin 50mg Injection
28,Cdp 500mg Syrup
29,Cdparin 60mg Injection
30,Cdpin 10 Tablet
31,Cdpin 20 Tablet
32,Cdpin 5 Tablet
33,Cdr 250mg Tablet
34,Cdtel H 40mg/12.5mg Tablet
35,Cdx 250mg Tablet
36,Cdx Kid 125mg Tablet
