,items
0,Cf3 O 200mg Tablet
1,Cfara Injection
2,Cfast S 250mg/125mg Injection
3,Cfc 500mg Tablet
4,Cfc Eye/Ear Drops
5,Cfclo D 50mg/10mg Tablet
6,Cfd 125mg Dry Syrup
7,Cfd 250mg Capsule
8,Cfd 250mg Capsule
9,Cfd 500mg Capsule
10,Cfd 500mg Syrup
11,Cfd 6mg Tablet
12,Cfd Kid 125mg Tablet
13,Cfdox-CV Tablet
14,Cfelocef 100mg Tablet DT
15,Cfelocef 100mg Tablet DT
16,Cfelocef 100mg Tablet DT
17,Cfelocef 200mg Tablet
18,Cfelocef 200mg Tablet
19,Cfex 250mg Capsule
20,Cfex 500mg Capsule
21,Cfixim 100 Tablet DT
22,Cfixim 100mg Oral Suspension
23,Cfixim 200 LB Tablet DT
24,Cfixim 200 Tablet
25,Cfixim CV 200mg/125mg Tablet
26,Cfixim Dry Syrup
27,Cfixim-AZ LB Tablet
28,Cfixime OF Oral Suspension
29,Cfl 200mg Tablet DT
30,Cflow D Tablet MR
31,Cflox 200mg Tablet
32,Cflox-TZ 500mg/600mg Tablet
33,Cfm 100mg Tablet
34,Cfm 250 Tablet
35,Cfm 500 Tablet
36,Cfm 50mg Tablet
37,Cfm 50mg Tablet
38,Cfmine CL 200mg/125mg Tablet
39,Cfo-T Injection
40,Cfodox 100mg Tablet DT
41,Cfodox 100mg Tablet DT
42,Cfodox 200mg Tablet DT
43,Cforge D 30mg/40mg Capsule
44,Cforge L 75mg/40mg Capsule
45,Cfpod 100mg Tablet
46,Cfpod 50mg Syrup
47,Cfs 500mg/500mg Injection
48,Cft 250mg Tablet
49,Cft 500mg Tablet
50,Cft TZ 500mg/600mg Tablet
51,Cfuro CV 125mg/31.25mg Dry Syrup
52,Cfuro CV 250 mg/125 mg Tablet
53,Cfuro CV 500 mg/125 mg Tablet
54,Cfuro SB Injection
55,Cfutum 250mg Tablet
56,Cfutum 250mg Tablet
57,Cfx 200mg Tablet
58,Cfx 500mg Tablet
59,Cfx 50mg Dry Syrup
60,Cfx CV Tablet
61,Cfx Kid 200mg Tablet
62,Cfx O Tablet
63,Cfxaz 200mg/250mg Tablet
64,Cfxim OF 100mg Tablet
65,Cfxotil 100 DT Tablet
66,Cfxotil 100 Dry Syrup
67,Cfxotil 200 DT Tablet
68,Cfxotil 50 Dry Syrup
69,Cfxotil CV Dry Syrup
70,Cfxotil-CV Tablet
71,Cfzole DSR Capsule
72,Cfzole DSR Capsule
73,Cfzone 1000mg/500mg Injection
74,Cfzone 500mg/500mg Injection
