,items
0,Co Trimoxazole DS 800mg/160mg Tablet
1,Co Trimoxazole SS 400mg/80mg Tablet
2,Co-Art Injection
3,Co-Diovan 160/25 Tablet
4,Co-Diovan 80/12.5 Tablet
5,Coaltoz-KZ Shampoo
6,Coaprovel 150mg/12.5mg Tablet
7,Coaprovel 300mg/12.5mg Tablet
8,Coartrin 20 mg/120 mg Tablet
9,Coastat 100mg Injection
10,Coastat 500mg Tablet
11,Coastat Plus 500 mg/250 mg Tablet
12,Coasth 650mg Tablet
13,Coatz 500mg/5ml Suspension
14,Coatz-AF Syrup
15,Coatz-AF Syrup Sugar Free
16,Coax 1.2gm Injection
17,Coax 500mg/125mg Tablet
18,Coax Dry Syrup
19,Coax-DX 250mg/250mg Tablet
20,Cob FP Tablet
21,Cob Z 500mcg Injection
22,Cob Z 500mcg Injection
23,Cob-L 2500 Injection
24,Coba C Injection
25,Coba PG Tablet
26,Cobacta S Capsule
27,Cobacta S Capsule
28,Cobaday OD Tablet
29,Cobadef Injection
30,Cobadrix P 750mcg/75mg Tablet
31,Cobafast Injection
32,Cobafem Injection
33,Cobafem Plus Injection
34,Cobafil Injection
35,Cobafil NT Tablet SR
36,Cobafil P 1500mcg/75mg Tablet SR
37,Cobafil P 1500mcg/75mg Tablet SR
38,Cobaforte Injection
39,Cobagain PG 500mcg/25mg Tablet
40,Cobagain PG 500mcg/50mg Tablet
41,Cobagen Plus Tablet
42,Cobal G 300 mg/500 mcg Tablet
43,Cobal OD Tablet
44,Cobal-P Soft Gelatin Capsule
45,Cobalab 1500 Injection
46,Cobalab 1500 Injection
47,Cobalab 2500 Injection
48,Cobalan Plus 1500mcg Injection
49,Cobalfit P 750mcg/75mg Capsule
50,Cobalfit P 750mcg/75mg Capsule
51,Cobalgin PG 750mcg/75mg Tablet
52,Cobalife P Tablet
53,Cobalio 1500mcg Injection
54,Cobalio P 750mcg/75mg Capsule
55,Cobaliv 2500 Injection
56,Cobalom 500mcg Injection
57,Cobalsure Injection
58,Cobaltus-P Capsule
59,Cobalvit GT 300mg/500mcg Tablet
60,Cobalyte 1500mcg Injection
61,Cobamax-PG Capsule
62,Cobamel 1500mcg Injection
63,Cobamel Plus Injection
64,Cobamet 500mcg Injection
65,Cobamik Injection
66,Cobamik-P Capsule
67,Cobamine Injection
68,Cobamust-P Capsule
69,Cobanerve 500mcg Injection
70,Cobanerve Plus Injection
71,Cobanerve-G 300mg/500mcg Tablet
72,Cobanett Plus Injection
73,Cobaneuron Plus Injection
74,Cobanuron Injection
75,Cobarax 1500mcg Injection
76,Cobarax Plus Injection
77,Cobarb 30mg/100mg Tablet
78,Cobarb 30mg/100mg Tablet
79,Cobarb 50mg/100mg Tablet
80,Cobard 50mg Tablet
81,Cobarik 1500mcg Injection
82,Cobarik 2500mcg Injection
83,Cobarik PG 750mcg/75mg Tablet
84,Cobarise Plus Injection
85,Cobaron P 750mcg/75mg Capsule
86,Cobaroz 1500 Injection
87,Cobaroz 2500mcg Injection
88,Cobaroz PG 750mcg/75mg Capsule
89,Cobaroz-Plus Injection
90,Cobasoft 500mcg Injection
91,Cobasure Gold Injection
92,Cobatus Injection
93,Cobatus-OD Tablet
94,Cobaven Injection
95,Cobaver 1500mcg Injection
96,Cobaver Forte Injection
97,Cobaver M 300mg/500mcg Tablet
98,Cobaver P 750mcg/75mg Capsule
99,Cobaver Plus Injection
100,Cobavin 1500 Injection
101,Cobavin 2500mcg Injection
102,Cobavin Forte Injection
103,Cobavion-PG Capsule
104,Cobavion-PNT Tablet SR
105,Cobavit Injection
106,Cobazade-NT Tablet
107,Cobazep 10mg Tablet
108,Cobazep 5mg Tablet
109,Cobcan 1500mcg Injection
110,Cobcan 2500mcg Injection
111,Cobdix P 750mcg/75mg Capsule
112,Cobdix P 750mcg/75mg Capsule
113,Cobese 120mg Capsule
114,Cobet 1500mcg Injection
115,Cobeta 0.05% Cream
116,Cobeta 0.05% Lotion
117,Cobeta 6S Cream
118,Cobeta MF Cream
119,Cobex CL 500mg/125mg Tablet
120,Cobex CL Dry Syrup
121,Cobex CL Dry Syrup
122,Cobex D Eye Drop
123,Cobhit-PG Capsule
124,Cobid D 50mg/10mg Tablet
125,Cobimep 1500mcg Injection
126,Cobimep-G 300mg/500mcg Capsule
127,Cobimep-P 500mcg/75mg Capsule
128,Cobina 1500mcg Injection
129,Cobina 1500mcg Injection
