,items
0,Cp Dilate 1% Eye Drop
1,Cp Tri 1000mg/500mg Injection
2,Cpam 10mg Injection
3,Cpcl 200mg/125mg Tablet
4,Cpcron 30mg Tablet
5,Cpcron 60mg Tablet
6,Cpdox 100mg Dry Syrup
7,Cpdox 100mg Tablet DT
8,Cpdox 200mg Tablet
9,Cpdox 200mg Tablet DT
10,Cpdox AZ 200mg/250mg Tablet
11,Cpdox CV 200mg/125mg Tablet
12,Cpdox CV Dry Syrup
13,Cpdox Oral Suspension
14,Cpdx 100mg Tablet
15,Cpdx 100mg Tablet
16,Cpdx 200mg Tablet
17,Cpf 250mg Tablet
18,Cpf 500mg Tablet
19,Cpg 150mg Tablet
20,Cpg 75mg Tablet
21,Cpg AS 150 mg/75 mg Tablet
22,Cph Eye Ointment
23,Cpine 5mg Tablet
24,Cpink  XT   20mg Injection
25,Cpn Eye Drop
26,Cpod 100mg Tablet
27,Cpod 200mg Capsule
28,Cpod 200mg Tablet
29,Cpod 50mg Syrup
30,Cpod 50mg Syrup
31,Cpod Dry Syrup
32,Cpol Syrup
33,Cpp Tablet
34,Cppan 40 Tablet
35,Cppan-D Tablet
36,Cppan-D Tablet
37,Cpred M 4mg Tablet
38,Cpred M 8mg Tablet
39,Cpressin 40IU Injection
40,Cpressin P 20IU Injection
41,Cps 1000mg/500mg Injection
42,Cpt S 1000mg/500mg Injection
43,Cpt S 500mg/500mg Injection
44,Cpz 1000mg Injection
45,Cpz S 1000mg/500mg Injection
46,Cpzone S 1000mg/500mg Injection
47,Cpzone S 1000mg/500mg Injection
48,Cpzone S 500mg/500mg Injection
