,items
0,Crab 10mg Tablet
1,Crab Plus 5mg/500mg Tablet
2,Cradic P 50mg/500mg Tablet
3,Cradol 100mg Injection
4,Cradol P 50mg/500mg Capsule
5,Cradol P 50mg/500mg Capsule
6,Cradone Ointment
7,Craft-O 1gm/20mg Syrup
8,Cral 1000mg Oral Gel
9,Cral 2gm Syrup
10,Cral-O Oral Gel
11,Cralsate O Syrup
12,Craltin O Oral Suspension
13,Cramnil Tablet
14,Crampcure 360mg Tablet
15,Cran L Ear Drop
16,Crancid D 30mg/20mg Capsule SR
17,Cranim P 100mg/500mg Tablet
18,Cranim P Suspension
19,Crash Tablet
20,Crasia 1000mg Suspension
21,Crat 6mg Tablet
22,Cratex Dmr Syrup
23,Cratex Syrup
24,Cratisone 0.1% Cream
25,Cratisone Cream
26,Cratus Plus Tablet
27,Cravcret Syrup
28,Craviz Syrup
29,Craviz Syrup
30,Crayon 75mg/500mg/15mg Tablet
31,Crazen O Syrup
32,Crazy Syrup
33,Creafine 10000 Capsule
34,Creafine 25000 Capsule
35,Creamalgin DL Gel
36,Creamee Plus Syrup
37,Creamet G 1mg/500mg Tablet
38,Creamet G 2mg/500mg Tablet
39,Creart 0.25mg Injection
40,Crease TC Syrup
41,Crecid O Syrup
42,Crecyp T Syrup
43,Crecyp T Syrup
44,Crecyp T Syrup
45,Cred Cold Tablet
46,Cred Cold Tablet
47,Credage MV 1mg/500mg/0.2mg Tablet
48,Credage MV 2mg/500mg/0.2mg Tablet
49,Credcort 6mg Tablet
50,Credcoxy TH 60mg/4mg Tablet
51,Credflox 200mg Tablet
52,Credflox OZ 200mg/500mg Tablet
53,Credflox OZ 200mg/500mg Tablet
54,Credflox OZ 200mg/500mg Tablet
55,Credmica 500mg Injection
56,Credol-A 50mg/325mg Tablet
57,Credsunate 60mg Injection
58,Cregesic P 37.5mg/325mg Tablet
59,Crekuff AT Syrup
60,Crekuff LS Syrup
61,Crel Tablet
62,Crema 10mg Tablet
63,CremaPeg Oral Solution
64,Cremadex Liquid
65,Cremadiet Duo  Granules
66,Cremadiet Duo  Granules Mixed fruit flavour
67,Cremaffin Fresh Tablet
68,Cremaffin Plus  Syrup
69,Cremaffin Plus  Syrup Refreshing Sugar Free
70,Cremafit Laxative Mint
71,Cremagel
72,Cremagel-H Cream
73,Cremagut Oral Suspension Sugar Free
74,Cremahep Syrup
75,Cremalax Liquid
76,Cremalax Tablet
77,Cremalgin DL Gel
78,Crematab 10mg Tablet
79,Cremawal Laxative
80,Cremazen Plus Oral Suspension
81,Cremesia Oral Suspension
82,Creo 100mg Tablet
83,Creo 200mg Tablet
84,Creo 200mg/5ml Suspension
85,Creo 50mg Tablet
86,Creol 250mg Tablet
87,Creol 500mg Tablet
88,Creol 500mg Tablet
89,Creolip 10mg Tablet
90,Creolip 20mg Tablet
