,items
0,DV Cef 200mg Tablet
1,DV Cef 50mg Dry Syrup
2,DV Cef CV 200mg/125mg Tablet
3,DV Cef CV 200mg/125mg Tablet
4,DV Cef CV Dry Syrup
5,DV Cet 5mg Tablet
6,DV Cifi 100mg Tablet
7,DV Cifi 200mg Tablet
8,DV Cifi 50mg Dry Syrup
9,DV Cifi AZ 200mg/250mg Tablet
10,DV Cifi O 200mg/200mg Tablet
11,DV Cof Syrup
12,DV Cort 6mg Tablet
13,DV Exel Tablet ER
14,DV Gest 200mg Soft Gelatin Capsule
15,DV Meth 1500mcg Injection
16,DV Para 250mg Oral Suspension
17,DV Para 650mg Tablet
18,DV Sul 1000mg Injection
19,DV Sul 250mg Injection
20,DV-Mef Tablet
21,DV-Para Oral Drop Banana
22,DV3 Injection
23,DVM Tablet
