,items
0,Di Elival 125mg Tablet ER
1,Di Elival 250mg Tablet ER
2,Di Elival 500mg Tablet ER
3,Dia B 500mg Tablet SR
4,Dia Bose 0.2mg Tablet
5,Dia End 200mg Tablet DT
6,Dia MF 1000mg Tablet
7,Dia Pace 500mg Tablet
8,Dia Pace G 1mg/500mg Tablet
9,Dia Pace G 1mg/500mg Tablet
10,Dia Pace G 2mg/500mg Tablet
11,Dia-MZ Syrup
12,Diaba 400 mg/600 mg Tablet
13,Diaba M 100 mg/100 mg Suspension
14,Diabanerve 500mcg Injection
15,Diabastat 4 Tablet
16,Diabecia 2mg/500mg/15mg Tablet ER
17,Diabeclaz 30 Tablet MR
18,Diabeclaz 60mg Tablet MR
19,Diabecure 80mg Tablet
20,Diabecure M 80mg/500mg Tablet
21,Diabecure M 80mg/500mg Tablet
22,Diabend -MR 60 Tablet
23,Diabend 40mg Tablet
24,Diabend 80mg Tablet
25,Diabend-M Tablet
26,Diabend-MEX 30 Tablet ER
27,Diabend-MEX 60 Tablet ER
28,Diabend-MR 30 Tablet
29,Diabent 40mg Tablet
30,Diabeta GB 500mg Tablet
31,Diabetnil 5mg Tablet
32,Diabetrol 3P 5mg/500mg/7.5mg Tablet
33,Diabetrol 3P Tablet SR
34,Diabetrol SR Tablet
35,Diabetrol Tablet
36,Diabetus Expectorant
37,Diabex 500mg Tablet
38,Diabezide 60mg Tablet
39,Diabezide M 80mg/500mg Tablet
40,Diabezide M 80mg/500mg Tablet
41,Diabic 80mg Tablet
42,Diabic M 80mg/500mg Tablet
43,Diabinese 250mg Tablet
44,Diabnil 5mg Tablet
45,Diabnorm 1000mg Tablet SR
46,Diabose 25mg Tablet
47,Diabose 50mg Tablet
48,Diabose M Tablet
49,Diacalm 10mg Tablet
50,Diacalm 5mg Tablet
51,Diacart G Tablet
52,Diace GM Tablet
53,Diacel 1.4gm Syrup
54,Diacemark-Msm Tablet
55,Diacemin-D 50mg/750mg Tablet
56,Diacer 50mg Capsule
57,Diacerene Capsule
58,Diaceron 50mg Capsule
59,Diacewal 50mg Capsule
60,Diacewal GM 50mg/750mg/250mg Tablet
61,Diachek 5mg Tablet
62,Diachek M 5mg/500mg Tablet
63,Diacip 500mg Tablet
64,Diacip 850mg Tablet
65,Diacobal Forte 500mcg Injection
66,Diacobal Plus Injection
67,Diacoff Syrup
68,Diacon 5mg Tablet
69,Diacon M 5 mg/500 mg Tablet
70,Diacor 80mg Tablet
71,Diacose 50mg/750mg/250mg Capsule
72,Diacriptin 0.8mg Tablet
