,items
0,Dm Care 10mg Tablet MD
1,Dm Spas 10mg/250mg Tablet
2,Dmbest 500mg Tablet SR
3,Dmbest TH 1000mg Tablet SR
4,Dmbest TH 1000mg Tablet SR
5,Dmbest-P 7.5mg/500mg Tablet
6,Dmbest-P TH 7.5mg/1000mg Tablet
7,Dmd 200mg Tablet
8,Dmel 150mg Injection
9,Dmentin 10mg Tablet MD
10,Dmentin 5mg Tablet MD
11,Dmeronem 500mg Injection
12,Dmeto 0.1% Nasal Drops
13,Dmfer-XT Syrup
14,Dmfix 100mg Tablet
15,Dmfix 200mg Tablet
16,Dmfix 50mg Syrup
17,Dmfix-CV Tablet
18,Dmfix-O Tablet
19,Dmine 20mg/20mg/5mg Tablet
20,Dmox 500mg Capsule
21,Dmox 500mg Capsule
22,Dmox 500mg Capsule
23,Dmox CV Dry Syrup
24,Dmox-CV 625 Tablet
25,Dmox-Clav Dry Syrup
26,Dmoxin Eye Drop
27,Dmoxy Clav 1000mg/200mg Injection
28,Dmoxy-DC Capsule
29,Dmoxy-DC Capsule
30,Dmp 5 Tablet DT
31,Dmp 5mg Tablet
32,Dmp Oral Suspension
33,Dmp Plus 10 mg/500 mg Tablet
34,Dmp Plus Oral Suspension
35,Dmp Tablet DT
36,Dmr 10mg Tablet
37,Dmr 20mg Tablet
38,Dmr 30mg Tablet
39,Dmr Syrup
40,Dmt 100mg Capsule
41,Dmt Tablet
