,items
0,Dpano 40mg Tablet
1,Dpano DSR 30mg/40mg Capsule
2,Dpanta 40mg Injection
3,Dpanta 40mg Injection
4,Dpanta 40mg Tablet
5,Dpanta D 10mg/40mg Tablet
6,Dpanta D 10mg/40mg Tablet
7,Dpazine Plus 50mg/325mg Tablet
8,Dpazine S 50mg/10mg Tablet
9,Dpazox Tablet
10,Dpc 12.5 mg/2 mg/10 mg Syrup
11,Dpc 250 mg/50 mg/500 mg Tablet
12,Dpc 4 mg/2 mg/5 mg Syrup
13,Dpc Plus Tablet
14,Dpc Tablet
15,Dpcm 650mg Tablet
16,Dpenem 500mg Injection
17,Dpf 10mg/10mg/2.5mg Tablet
18,Dpf 10mg/10mg/2.5mg Tablet
19,Dpfor 20 Tablet
20,Dpfor M 1000mg/20mg Tablet
21,Dpfor-M 500 Tablet ER
22,Dphyte Cream
23,Dphyte Tablet
24,Dpime 1000mg Injection
25,Dpime 250mg Injection
26,Dplife-OD Tablet
27,Dpm 5mg Tablet
28,Dpm Injection
29,Dpm Plus 50 mg/10 mg Tablet
30,Dpm Tablet
31,Dpmol A 100mg/500mg Tablet
32,Dpnax 10mg/10mg/2.5mg Tablet
33,Dpnp 75mg Tablet SR
34,Dpoetin 25mcg Injection
35,Dpoetin 40mcg Injection
36,Dpoetin 60mcg Injection
37,Dppin 1000mg Injection
38,Dppin 250mg Injection
39,Dppin 500mg Injection
40,Dppin S 1000mg/500mg Injection
41,Dppin S 250mg/125mg Injection
42,Dppin S 500mg/250mg Injection
43,Dppin T 1000mg/125mg Injection
44,Dpram 10mg Tablet
45,Dpressin 0.1mg Tablet
46,Dpressin Nasal Spray
47,Dps 50 mg/10 mg Tablet
48,Dpvil 50mg Tablet
49,Dpvil M 1000mg/50mg Tablet
50,Dpvil M 500mg/50mg Tablet
51,Dpzone 1000mg/500mg Injection
52,Dpzox 250mg/50mg/325mg Tablet
