,items
0,Dr Cold & Flu Tablet
1,Dr Cold Tablet
2,Dr M Tablet
3,Dr.Dec 50 mg/500 mg Tablet
4,Dra V Kit
5,Drabe 20mg Tablet
6,Drabe D 10mg/20mg Tablet
7,Drabe D 30mg/20mg Capsule SR
8,Dracam Injection
9,Dracef 100mg Tablet DT
10,Dracef 200mg Tablet
11,Dracef 50mg Dry Syrup
12,Dracef CV 200mg/125mg Tablet
13,Dracef OF 200mg/200mg Tablet
14,Dracef OF Dry Syrup
15,Dracef OZ 200mg/500mg Tablet
16,Dracef Zit Tablet
17,Dracid-GO Oral Suspension Saunf Sugar Free
18,Dracit Injection
19,Draclav 1.2 Injection
20,Draclav 250mg/125mg Tablet
21,Draclav 500mg/125mg Tablet
22,Draclav DS Dry Syrup
23,Dracold Syrup
24,Dracold Tablet
25,Dracort 6mg Oral Suspension
26,Dracuff LS Syrup
27,Dracuff-DR Syrup
28,Dracyp Syrup
29,Dradec 25mg Injection
30,Dradec 50 Injection
31,Dradon 2mg Oral Drops
32,Dradon-MD Tablet
33,Dradon-MD Tablet
34,Dradon-MD Tablet
35,Draerofit 50/100 Capsule
36,Drafate O Oral Suspension
37,Drafe 5 Injection
38,Drafeb 40mg Tablet
39,Drafeb 80mg Tablet
40,Drafex M 10mg/120mg Tablet
41,Drafex M 10mg/120mg Tablet
42,Drafur 500mg Tablet
43,Drafyl MT 400mg/10mg Tablet
44,Drag D 10mg/20mg Capsule
45,Dragab 300mg/500mcg Tablet
46,Dragest 100 Soft Gelatin Capsule
47,Dragest 200mg Capsule
48,Dragest 250mg Injection
49,Dragest 500mg Injection
50,Dragon 50mg Tablet
51,Drakast-L Kid Tablet
52,Drakast-L Tablet
53,Dralgeen 20mg Injection
54,Draliv Infusion
55,Draliv Infusion
56,Dralof 200 Tablet
57,Dralof 200 Tablet
58,Dralof 50mg Oral Suspension
59,Dralof Eye Drop
60,Dralof Eye Drop
61,Dralof-OZ Oral Suspension
62,Dralof-OZ Tablet
63,Dralof-OZ Tablet
64,Dralum 80mg/480mg Tablet
65,Dralum Dry Syrup
66,Dralum Dry Syrup
67,Dramcelon Injection
68,Dramcelon Injection
69,Dramet G 2mg/500mg Tablet SR
70,Dramic 100mg Injection
71,Dramik 100mg Injection
72,Dramik 250 Injection
73,Dramik 500 Injection
74,Draminate 15.625mg/5ml Syrup
75,Draminate 50mg Tablet
76,Dramol 650 DT Tablet
77,Dramol Infusion
78,Dramol Oral Suspension
79,Dramol-MF Oral Suspension
80,Dramox 0.5% Eye Drop
81,Dramoxy DX Capsule
82,Dramoxy DX Capsule
83,Dran Plus 40mg/100mg Tablet
84,Dranate 60 Injection
85,Dranim 200mg Tablet
86,Dranim P 100mg/325mg Tablet
87,Dranzen 10mg Tablet
88,Dranzen 10mg Tablet
89,Dranzen 2.5mg Tablet
