,items
0,Dsc Injection
1,Dsc Injection
2,Dsc-MR Tablet
3,Dsc-SP Tablet
4,Dsential 2K Chewable Tablet
5,Dserin 50mg Capsule
6,Dserin gm  50 mg/750 mg Tablet
7,Dsf 250mg Tablet
8,Dslide NP 100mg/325mg Tablet
9,Dslog K 50mg/325mg Tablet
10,Dslog MR 250mg/50mg/325mg Tablet
11,Dslog SP 50mg/325mg/15mg Tablet
12,Dslog SP 50mg/325mg/15mg Tablet
13,Dsorolen 25mg Tablet
14,Dsorolen 5mg Tablet
15,Dsorolen Forte   25mg Tablet
16,Dsorolen Lotion
17,Dsp Mix 50mg/325mg/15mg Tablet
18,Dspas 80mg/250mg Tablet
19,Dspas M 80mg/250mg Tablet
20,Dsucra 1000mg Oral Suspension
21,Dsulide 100mg Tablet
22,Dsulide P 100mg/325mg Tablet
23,Dsulide S 100mg/10mg Tablet
24,Dsunate 120mg Injection
25,Dsv Ton 20mg Injection
