,items
0,Dyamide 10 Tablet
1,Dyamide 20 Tablet
2,Dyamide 20 Tablet
3,Dyamide 5mg Tablet
4,Dyamide Plus 50 mg/10 mg Tablet
5,Dyamide Plus 50 mg/20 mg Tablet
6,Dyazide 250mg Injection
7,Dyazide 500mg Injection
8,Dybitol 800mg Tablet
9,Dycerin Capsule
10,Dycerin GM Tablet
11,Dycerin gm Plus  Tablet
12,Dycid Syrup
13,Dycif 500mg Tablet
14,Dyciflex-GM Tablet
15,Dycip 250mg Tablet
16,Dycip 500mg Tablet
17,Dycip TZ 500mg/600mg Tablet
18,Dycipar 100mg/325mg Tablet
19,Dycipar 100mg/325mg Tablet
20,Dycipar MR 250mg/50mg/325mg Tablet
21,Dycipro 500mg Tablet
22,Dycitol Infusion
23,Dycitol Infusion
24,Dycizol-DSR Capsule
25,Dyclo IN 75mg Injection
26,Dyclo SP 50mg/10mg Tablet
27,Dyclo SP 50mg/325mg/15mg Tablet
28,Dyclo SP 50mg/325mg/15mg Tablet
29,Dyclo-AQ Injection
30,Dyclone MR 250mg/50mg/325mg Tablet
31,Dyclosic 250mg/50mg/325mg Tablet
32,Dyclover 25mg Injection
33,Dycnac 75mg Injection
34,Dycnac MR 250mg/50mg/325mg Tablet
35,Dycnac Plus 50mg/325mg Tablet
36,Dycnos P 50mg/325mg Tablet
37,Dycnos SP 50mg/325mg/10mg Tablet
38,Dycnos-AQ Injection
39,Dycos 250mg/300mg Tablet
40,Dycotiam SR 300mg Tablet
41,Dycotiam Tablet
42,Dycotiam Tablet
43,Dycotif Forte 50mg/325mg/10mg Tablet
44,Dycotif MR 250mg/50mg/325mg Tablet
45,Dycotif Plus 50mg/325mg Tablet
46,Dycotif S 50mg/10mg Tablet
47,Dydroboon Tablet
48,Dydrofem 10mg Tablet
49,Dydrozole Cream
50,Dyfira 120mg Capsule
51,Dyfira 240 Capsule DR
52,Dyfor-A Tablet
53,Dygesic MR 250 mg/50 mg/500 mg Tablet
54,Dygesic P 50mg/325mg/10mg Tablet
55,Dygesic P 50mg/325mg/10mg Tablet
56,Dygesic-AQ Injection
57,Dygyl Infusion
58,Dykay 75mg Injection
59,Dykay MR 250mg/50mg/325mg Tablet
60,Dykay SP Tablet
61,Dyke 25mg Tablet
62,Dykiz SP 50mg/325mg/15mg Tablet
63,Dykiz-P Tablet
64,Dyklox Tablet
65,Dyl 5mg Tablet
66,Dyl D Tablet
67,Dylam PF 10mg/10mg/2.5mg Tablet
68,Dylan 1000mcg Injection
69,Dylasol Syrup
70,Dylasol T Syrup
71,Dylevo 500mg Tablet
72,Dylid S 100mg/10mg Capsule
73,Dylo Aqua 75mg Injection
74,Dylog 50mg/500mg Tablet
75,Dyloop 10 Tablet
76,Dyloop 100mg Tablet
77,Dyloop 100mg Tablet
78,Dyloop 10mg Tablet
79,Dyloop 20mg Tablet
80,Dyloop 20mg Tablet
81,Dyloop Plus 20 Tablet
82,Dyloop Plus 50mg/10mg Tablet
83,Dylor M 5mg/10mg Tablet
84,Dylosure MR 250mg/50mg/325mg Tablet
85,Dylosure S 50mg/325mg/15mg Tablet
86,Dymeclone Plus 20mg/500mg Tablet
87,Dymef 10mg/250mg Tablet
88,Dymeff Spas 10 mg/250 mg Tablet
89,Dymol 50mg Tablet
90,Dymol MR Tablet
91,Dyna P 50mg/500mg Tablet
92,Dynac 50mg Tablet
93,Dynac MR 250mg/50mg/500mg Tablet
94,Dynacard 100mg Tablet
95,Dynacil Plus 125mg/125mg Injection
96,Dynacil Plus 125mg/125mg Tablet
97,Dynacil Plus 250mg/250mg Capsule
98,Dynacil Plus 250mg/250mg Injection
99,Dynaclox LB Capsule
100,Dynadol Aqua 75mg Injection
101,Dynadol P 100mg/325mg Tablet
102,Dynadol SP 100mg/325mg/15mg Tablet
103,Dynadol TBR Tablet
104,Dynadril Syrup
105,Dynaflox OZ 200mg/500mg Tablet
106,Dynaford 100 mg/500 mg Injection
107,Dynaford 50 mg/500 mg Tablet
108,Dynaford Gel
109,Dynaford MR 250mg/50mg/325mg Tablet
110,Dynaglipt Tablet
111,Dynaglipt-M Forte Tablet SR
112,Dynaglipt-M Tablet SR
113,Dynaguard 1000mg/200mg Injection
114,Dynaguard 500mg/125mg Tablet
115,Dynaguard Syrup
116,Dynalid 100mg Tablet
117,Dynalix 40mg/0.4ml Injection
118,Dynalix 60mg/0.6ml Injection
119,Dynamax 50mg Injection
120,Dynamet 1000mg Tablet SR
121,Dynamox 250mg Capsule
122,Dynamox 250mg Tablet
123,Dynamox 500mg Capsule
