,items
0,Ef Stat 40mg Tablet
1,Ef Stat 80mg Tablet
2,Efac 50mg Tablet
3,Efac P 50mg/500mg Tablet
4,Efacaine 500 mg/50 mg/10 mg Suspension
5,Efact 100mg/5ml Syrup
6,Efact 50mg Syrup
7,Efadrox 250mg Tablet DT
8,Efadrox 500mg Tablet
9,Efamat 600mg Tablet
10,Efast 20mg Tablet
11,Efast Syrup
12,Efast Tablet
13,Efastenol Capsule
14,Efatop Lotion
15,Efatum 1000 mg/500 mg Injection
16,Efavir 200mg Capsule
17,Efavir 200mg Tablet
18,Efavir 600 Tablet
19,Efcan 150mg Tablet
20,Efcidal 150mg Tablet
21,Efcin 0.5% Dusting Powder
22,Efcin 150 Tablet
23,Efcoba 500mcg Injection
24,Efcold Syrup
25,Efcorlin 2.5mg Pellets
26,Efcure 200mg Tablet
27,Efcure 600mg Tablet
28,Efecet D 10mg/60mg Tablet
29,Efecin 100 Injection
30,Efecin 500 Injection
31,Efectal 1000mg Injection
32,Efectal 250mg Injection
33,Efectal 500mg Injection
34,Efectal S 1000 mg/500 mg Injection
35,Efectal TZ 1000 mg/125 mg Injection
36,Efelac 100 Tablet DT
37,Efelac 100mg/40Million spores Tablet
38,Efelac 200 Tablet DT
39,Efelac Tablet
40,Efelin PD 50 mg/1 mg Syrup
41,Efelin Tablet
42,Efemine Tablet
43,Efenac MR 250mg/50mg/325mg Tablet
44,Efepime 500mg Injection
45,Eferab-D Capsule SR
46,Eferem Tablet
47,Efespas 10 mg/250 mg Tablet
48,Efetil Tablet
49,Efex 100mg Tablet
50,Efexil 500mg Tablet
51,Efexil Kid 125mg Tablet
52,Efexim 100mg Tablet DT
53,Efexim 200mg Tablet
54,Efexim CV 200mg/125mg Tablet
55,Effahope 600mg Tablet
56,Effect 100 mg/500 mg Tablet
57,Effective 250mg Tablet
58,Effective 500mg Tablet
59,Effelyte 600mg Effervescent Tablet
60,Effenac 600 Effervescent Tablet Orange
61,Effenac AB Tablet
62,Effenerv PG 500mcg/75mg Capsule
63,Efferven 200mg Capsule
64,Efferven 600mg Tablet
65,Effibol 25mg Injection
66,Efficacio-PT 4gm/0.5gm Injection
67,Efficacio-T 1000mg/125mg Injection
