,items
0,Eqgesic 1000mg Infusion
1,Eqifresh Gel
2,Eqpred 1000mg Injection
3,Eqpred 500mg Injection
4,Equate Syrup
5,Equblam 10mg Tablet
6,Equff A Syrup
7,Equff-D Syrup
8,Equff-L Syrup
9,Equff-L Syrup
10,Equicalm 10mg/1mg Tablet
11,Equidol 100mg Tablet
12,Equidol 200mg Tablet CR
13,Equidol Forte Tablet
14,Equidol MR Tablet
15,Equidol P Tablet
16,Equiflex 100/8mg Tablet
17,Equiflex 100mg/4mg Tablet
18,Equikast-LC Tablet
19,Equil Plus 50mg/100mg Tablet
20,Equilibrium 10mg Tablet
21,Equiliser 10mg Tablet
22,Equiliser 25mg Tablet
23,Equiliser 5mg Tablet
24,Equimet-G1 Tablet PR
25,Equinil 10mg Tablet
26,Equinorm Tablet
27,Equio 100mg/500mg Tablet
28,Equipam 10mg Tablet
29,Equipam 2mg Tablet
30,Equipam 5mg Tablet
31,Equirab 1500 Injection
32,Equirex Tablet
33,Equisulin R 40IU Injection
34,Equisulin R Injection
35,Equisulin-M 30 100IU/ml
36,Equisulin-M 30 Injection 40IU/ml
37,Equisulin-M 50 Injection 40IU/ml
38,Equitrix PV Tablet
39,Equitrol 250mg Capsule
40,Equitrol 500mg Capsule
41,Equitrol Forte 500mg Capsule
42,Equivert 16mg Tablet
43,Equivert 24mg Tablet
44,Equivert 8mg Tablet
45,Equlok 0.5 mg/10 mg Tablet
46,Equlok C 0.25 mg/5 mg Tablet
47,Equlok C 0.5 mg/10 mg Tablet
48,Equnil 10mg Tablet
49,Equnil 5mg Tablet
50,Equs 12.5mg Tablet
51,Equs 25mg Tablet
52,Equvirab-D Capsule SR
53,Eqvitra 100 Capsule
54,Eqvitra 200 Capsule
