,items
0,Era S 1000mg/500mg Injection
1,Era S 500mg/500mg Injection
2,Era-H 200mg Tablet
3,Eracc 200 Capsule
4,Eracef 1gm Injection
5,Eracef 250mg Injection
6,Eracef 250mg Injection
7,Eracid 40mg Injection
8,Eracid 40mg Tablet
9,Eracid D 30 mg/40 mg Capsule SR
10,Eracillin-AD Injection
11,Eraclav 1000 Tablet
12,Eraclav 625 Tablet
13,Eracof Expectorant
14,Eracold Plus Tablet
15,Eracold Tablet
16,Eracox 120 Tablet
17,Eracox 90 Tablet
18,Eracox P 60mg/325mg Tablet
19,Eracox-T4 Tablet
20,Eracoxib 120mg Tablet
21,Eracoxib 90mg Tablet
22,Eradibact 1.5 Injection
23,Eradiclav 1000mg/200mg Injection
24,Eradiclav 500mg/125mg Tablet
25,Eradiclav DS Dry Syrup
26,Eradiclav Dry Syrup
27,Eradiclav Duo 1000mg/200mg Injection
28,Eradiclav Duo Dry Syrup
29,Eradif-BC Cream
30,Eradikit 150 mg/1000 mg/1000 mg Tablet
31,Eradin 200mg Tablet
32,Eradin 400mg Tablet
33,Eradine Ointment
34,Eradiplate-AS 75 Tablet
35,Eradiplate-AV Tablet
36,Eradivam 150mg Tablet
37,Eradix 400mg/150mg Tablet
38,Erafantrin 80mg/480mg Tablet
39,Erafantrin Dry Syrup
40,Erafate-O Oral Suspension
41,Erafenac 100mg/325mg Tablet
42,Erafenac MR 100mg/325mg/250mg Tablet
43,Erafenac SP 100mg/325mg/15mg Tablet
44,Eraflox 200mg Tablet
45,Eraflox OZ 200mg/500mg Tablet
46,Erafos 3gm Granules
47,Erakast 5mg/10mg Tablet
48,Eralet 25mg Tablet
49,Eralet 50mg Tablet
50,Eralka 1.4gm/5ml Suspension
51,Eralka 1.4gm/5ml Suspension
52,Eramadol Tablet
53,Eramol N 100mg/325mg Tablet
54,Eramol SP 50mg/325mg/10mg Tablet
55,Erap 1gm Injection
56,Erap 1gm Injection
57,Erapro 200 Softgels
58,Erase-D 50mg/10mg Tablet
59,Erasewax Ear Drop
60,Erasit Gel
61,Eratax 1gm Injection
62,Eratone RF Injection
63,Eraworm 200mg Syrup
64,Eraworm 400mg Tablet
65,Eraxib 120mg Tablet
66,Eraxib 90mg Tablet
67,Eraxib P 60mg/325mg Tablet
68,Eraxib TH 60mg/4mg Tablet
69,Eraxib TH 60mg/8mg Tablet
70,Eraxib TH 60mg/8mg Tablet
71,Eraxim 100mg Tablet DT
72,Eraxim 200mg Tablet DT
73,Eraxim AZ 200mg/250mg Tablet
74,Eraxim CV 200mg/125mg Tablet
75,Eraxim O 200mg/200mg Tablet
76,Eraxis 100mg Injection
77,Eraxol Expectorant
78,Eraze-P Tablet
79,Eraze-P Tablet
80,Erazol 0.25mg Tablet
81,Erazol 0.5mg Tablet
82,Erazole 20mg Capsule
83,Erazole D 10mg/20mg Capsule
84,Erazone-SB 1.5gm Injection
85,Erazone-SB 1gm Injection
86,Erb 20mg Tablet
87,Erb DSR 30 mg/20 mg Capsule
88,Erbact 4000mg/500mg Injection
89,Erbak 250mg Tablet
90,Erbimesh Cream
91,Erbina 1% Cream
92,Erbina Tablet
93,Erbinox Tablet
94,Erbitux 100mg Infusion
95,Erbitux 500mg Infusion
96,Erbitux 5mg/ml Solution for Infusion
97,Ercef O Dry Syrup
98,Ercef-O Tablet
