,items
0,Es 2.5mg Tablet
1,Es 5mg Tablet
2,Es Care 40mg Tablet
3,Es Omedom 30mg/40mg Capsule SR
4,Es Plus 0.5mg/10mg Tablet
5,Es-omepraz -DSR Capsule
6,Esadic 75mg Injection
7,Esadic P 50mg/325mg Tablet
8,Esam 1.25mg Tablet
9,Esam 2.5 Tablet
10,Esam 5 Tablet
11,Esam LT 50 mg/2.5 mg Tablet
12,Esam-AT Tablet
13,Esamlo 2.5mg Tablet
14,Esamlo 5mg Tablet
15,Esamlo AT 2.5 mg/50 mg Tablet
16,Esamlovin 1.25mg Tablet
17,Esamlovin 2.5mg Tablet
18,Esamlovin 5mg Tablet
19,Esamlovin N 5mg/2.5mg Tablet
20,Esaprol 40mg Tablet
21,Esartan AP Tablet
22,Esava Cream
23,Esava Lotion
24,Esava Soap
25,Esben-C Tablet
26,Esbose 25mg Tablet
27,Esbose 50mg Tablet
28,Esbrox 100mg Capsule
29,Esbrox LM 10mg/5mg/200mg Capsule
30,Escada 10mg Tablet
31,Escada 20mg Tablet
32,Escada 5mg Tablet
33,Escada Plus 0.5mg/10mg Tablet
34,Escalate 20mg Tablet
35,Escalm 10 Tablet
36,Escam Plus 0.5mg/10mg Tablet
37,Escance 10mg Tablet
38,Escance 20mg Tablet
39,Escance 20mg Tablet
40,Escance 5mg Tablet
41,Escapro 10mg Tablet
42,Escapro 20mg Tablet
43,Escapro 5mg Tablet
44,Escapro Plus 10 Tablet
45,Escapro-F Tablet
46,Escefon 1000mg Injection
47,Escefon 100mg Tablet DT
48,Escefon 200mg Tablet DT
49,Escefon 50mg Dry Syrup
50,Escefon 50mg Tablet DT
51,Escefon Duo 100mg Dry Syrup
52,Escepam 0.5mg/10mg Tablet
53,Escepam 0.5mg/5mg Tablet
54,Escepam FL 0.5mg/10mg Tablet
55,Escepam FL 0.5mg/5mg Tablet
56,Escepam Lmf 10mg/7.5mg Tablet
57,Escer 10mg Tablet
58,Escer 20mg Tablet
59,Escer 5mg Tablet
60,Escer Forte  Tablet
61,Escer Plus 0.5mg/5mg Tablet
62,Escerol 40mg Injection
63,Escerol 40mg Injection
64,Escert CZ 0.5mg/10mg Tablet
65,Escetalax 10mg Tablet
66,Escetalax 20mg Tablet
67,Escetalax 5mg Tablet
68,Esci 10mg Tablet
69,Escid 20mg Tablet
70,Escid 40mg Tablet
71,Escidant 10mg Tablet
72,Escidant plus Tablet
73,Escident 10mg Tablet
74,Escident 20mg Tablet
75,Escident 5mg Tablet
76,Escident Lite 0.25mg/10mg Tablet
77,Escident Mini 0.25mg/5mg Tablet
78,Escident Plus 0.5mg/10mg Tablet
79,Escigold 10mg Tablet
80,Escigold 20mg Tablet
81,Escigold 5mg Tablet
82,Escigold Plus 0.5mg/10mg Tablet
83,Escigress 10 Tablet
